"%s is not supported currency.","%s non è una valuta supportata."
"Accept","Accetta"
"Basic","Di Base"
"Cannot retreive rate from strikeirion.","Non è possibile recuperarare i dati da strikeirion."
"Cannot retrieve rate from %s to %s","Cannot retrieve rate from %s to %s"
"Check all email servers","Controlla tutti i server email"
"Complete","Completo"
"Country/Region/Postal code combination","Combinazione Stato/Regione/CAP"
"Customer Tax Class","Classe fiscale Cliente"
"Email Verification","Verifica Email"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","L'indirizzo Email non può essere verificato. Controlla ancora e assicurati di aver inserito l'indirizzo corretto."
"Enable US address verification","Impossibile verificare l'indirizzo"
"Enable email verification","Impossibile verificare l'email"
"Enable foreign exchange rate","Abilita tassi di cambio esteri"
"Enable global address verification","Abilita la verifica globale degli indirizzi"
"Enable sales and use tax","Abilita vendite e usa tasse"
"Error Email Recipient","Errore Ricezione Email"
"Error Email Sender","Errore Mittente Email"
"Error Email Template","Errore Template Email"
"Error address action","Errore Azione Indirizzo"
"Foreign Exchange Rates","Tassi di Cambio Esteri"
"Global Address Verification","Verifica globale Indirizzi"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Se il tipo è completo e il CAP dipende da tassi fiscali multipli, scegli per applicare il tasso fiscale minimo o il tasso fiscale massimo."
"Invalid email address","Indirizzo email NON valido"
"Maximum tax rate","Tasso Fiscale Massimo"
"Minimum tax rate","Tasso Fiscale Minimo"
"Password","Password"
"Pop up warning and accept","Pop up warning and accept"
"Product Tax Class","Classe Fiscale Prodotto"
"Reject","Rifiuta"
"Sales and Use Tax","Sales and Use Tax"
"Sales and Use Tax Type","Sales and Use Tax Type"
"Strikeiron","Strikeiron"
"Strikeiron Config","Config Strikeiron"
"Strikeiron Section","Sezione Strikeiron"
"Strikeiron foreign exchange rate is disabled","Strikeiron foreign exchange rate is disabled"
"Tax","Tassa"
"There is an error in retrieving tax rate. Please contact us","C'è stato un errore durante il recupero del tasso fiscale. Contattaci"
"There is an error in verifying an email. Please contact us.","Errore durante la verifica dell'email. Contattaci."
"There is no more hits remaining for the foreign Exchange Rate Service.","There is no more hits remaining for the foreign Exchange Rate Service."
"There is no response back from Strikeiron server","Non c'è alcuna risposta dal server Strikeiron"
"US Address Verification","US Address Verification"
"Undetermined email action","Undetermined email action"
"Use","Use"
"User ID","Utente ID"
"Verify address in admin","Verifica indirizzo in admin"
"Verify email in admin","Verifica Email in admin"
