"Add Recipient","Aggiungi destinatario"
"Allow for Guests","Disponibili per gli ospiti"
"Email Address","Indirizzo email"
"Email Address:","Indirizzo email:"
"Email templates","Templates Email"
"Email to a Friend","Invia Email ad un amico"
"Email:","Email:"
"Enabled","Attivato"
"Limit Sending By","Limite di invio da"
"Link to a friend was sent.","Link inviato ad un amico."
"Max Products Sent in 1 Hour","Massimo prodotti inviati in un'ora"
"Max Recipients","Massimo dei destinatari"
"Maximum %d email addresses allowed.","Sono consentiti al massimo %d email "
"Message:","Messaggio:"
"Name","Nome"
"Name:","Nome:"
"Recipient:","Mittente:"
"Remove Email","Rimuovi email"
"Select email template","Seleziona email template"
"Send email","Invia email"
"Send product to a friend","Invia prodotto ad un amico"
"Sender:","Mittente:"
"Some emails was not sent","Alcune email non sono state inviate"
"Some problems with data.","Qualche problema con i dati."
"You cannot email this product to a friend","Non puoi inviare questo prodotto ad un amico"
"You cannot send more than %d times in an hour","Non puoi inviare più di %d volte in un'ora"
