"* Required Fields","* Campi Obbligatori"
"Add","Aggiungi"
"Add Gift Message","Aggiungi Messaggio di Auguri"
"Allow Gift Messages for Order Items","Consenti messaggi regalo per oggetti ordinati"
"Allow Gift Messages on Order Level","Aggiungi messaggio regalo nel livello dell'ordine"
"Are you sure?","Sei sicuro?"
"Cancel","Annulla"
"Check this checkbox if you want to add gift messages to your items.","Seleziona questa casella se vuoi aggiungere messaggi di auguri ai tuoi articoli."
"Check this checkbox if you want to add gift messages.","Seleziona questa casella se vuoi aggiungere messaggi di auguri."
"Close","Chiudi"
"Do you have any gift items in your order?","Hai qualche oggetto in regalo nel tuo ordine?"
"Edit","Modifica"
"Edit Gift Message","Modifica Messaggio di Auguri"
"Enter a gift message for each item in your order.","Inserisci un messaggio di auguri per ogni articolo del tuo ordine."
"Enter a gift message for entire order.","Inserisci un messaggio di auguri per tutto l'ordine."
"Enter a gift message for this address.","Inserisci un messaggio di auguri per questo indirizzo."
"Error while saving gift message","Errore durante il salvataggio del messaggio di auguri"
"From","Da"
"Gift Message","Messaggio regalo"
"Gift Messages","Messaggi di Auguri"
"Gift message has been successfully saved","Messaggio di auguri salvato con successo"
"Item %d of %d","Oggetto %d di %d"
"Message","Messaggio"
"No","No"
"Remove","Rimuovi"
"Save","Salva"
"Save Gift Message","Salva messaggio regalo"
"To","A"
"Unknown entity type","Tipo di entità sconosciuto"
"Use config","Usa configurazioni"
"Yes","Sì"
"You can leave a box blank if you don't wish to add a gift message for the item.","Puoi lasciare bianca la casella se non desideri aggiungere un biglietto di auguri per l'articolo."
"You can leave a box blank if you don't wish to add a gift message for this address.","Puoi lasciare il box vuoto se non desideri aggiungere un messaggio d'auguri per questo indirizzo"
"You can leave a box blank if you don't wish to add a gift message for whole order.","Puoi lasciare il box vuoto se non desideri aggiungere un messaggio d'auguri per l'intero ordine."
"Your gift message has been successfully removed","Il tuo messaggio d'auguri è stato rimosso con successo"
"Your gift message has been successfully saved","Il tuo messaggio d'auguri è stato salvato con successo"
"Your gift message successfully removed","Messaggio di Auguri rimosso correttamente"
"Your gift message successfully saved","Messaggio di Auguri salvato correttamente"
