"(eg: domain.com/identifier)","(es: dominio.com/identificatore)"
"Action","Azione"
"Add New Block","Aggiungi un nuovo blocco"
"Add New Page","Aggiungi una nuova pagina"
"All countries","Tutte le nazioni"
"Block Information","Informazioni blocco"
"Block Title","Titolo blocco"
"Block was successfully deleted","Il blocco è stato cancellato con successo"
"Block was successfully saved","Blocco salvato correttamente"
"CMS","CMS"
"CMS Home Page","Home Page CMS"
"CMS No Route Page","CMS nessun percorso pagina"
"Content","Contenuto"
"Custom Design","Design personalizzato"
"Custom Theme","Tema personalizzato"
"Custom Theme From","Tema Personalizzato Da"
"Custom Theme To","Tema Personalizzato A"
"Customer Tax Class Information","Informazioni classe fiscale cliente"
"Date Created","Data creazione"
"Delete Block","Cancella blocco"
"Delete Page","Cancella pagina"
"Description","Descrizione"
"Disabled","Disabilitato"
"Edit Block","Modifica blocco"
"Edit Block '%s'","Modifica blocco '%s'"
"Edit Page","Modifica pagina"
"Edit Page '%s'","Modifica pagina '%s'"
"Enabled","Abilitato"
"General Information","Informazioni generali"
"Go to Home Page","Vai alla Home Page"
"Home","Home"
"Identifier","Identificativo"
"Keywords","Parole chiave"
"Last Modified","Ultima modifica"
"Layout","Layout"
"Layout Update XML","Layout aggiornamento XML"
"Manage Pages","Gestisci pagine"
"Meta Data","Meta Data"
"Meta Description","Descrizione Meta"
"Meta Keywords","Meta Keywords"
"New Block","Nuovo blocco"
"New Page","Nuova pagina"
"Page Identifier cannot consist only of numbers.","L'Identificatore Pagina non può consistere solo in numeri."
"Page Identifier for specified store already exist.","L'identificatore della Pagina per questo negozio esiste già."
"Page Information","Informazioni pagina"
"Page Status","Stato pagina"
"Page Title","Titolo pagina"
"Page was successfully deleted","Pagina eliminata correttamente"
"Page was successfully saved","Pagina salvata correttamente"
"Poll Manager","Amministrazione sondaggi"
"Product Tax Class Information","Informazioni classe imposte prodotto"
"SEF URL Identifier","Identificatore SEF URL"
"Save Block","Salva blocco"
"Save Page","Salva pagina"
"Show breadcrumbs for CMS pages","Mostra breadcrumbs per le pagine del CMS"
"Static Blocks","Blocchi Statici"
"Status","Stato"
"Store View","Vista negozio"
"Such a block identifier in selected store already exist.","Tale identificatore del blocco nel negozio selezionato esiste già."
"The page you are trying to save no longer exists","La pagina che stai tentando di salvare non esiste più"
"This block no longer exists","Questo blocco non esiste più"
"This page no longer exists","Questa pagina non esiste più"
"Title","Titolo"
"Unable to find a block to delete","Impossibile trovare un blocco da eliminare"
"Unable to find a page to delete","Impossibile trovare una pagina da eliminare"
