"Actions","Azioni"
"Active","Attivo"
"Add New Rule","Aggiungi nuova regola"
"Apply","Applica"
"Apply the rule only if the following conditions are met (leave blank for all products)","Applica la regola solo alle seguenti condizioni (lascia vuoto per tutti i prodotti)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Applica la regola soltanto agli oggetti del carrello che hanno le seguenti condizioni (lascia vuoto per tutti gli oggetti)"
"Apply the rule to cart items matching the following conditions","Applica la regola soltanto agli oggetti del carrello che hanno le seguenti condizioni"
"Apply to","Applica a"
"Buy X get Y free (discount amount is Y)","Compra X per avere Y gratis (lo sconto dell'importo è Y)"
"By Fixed Amount","Per importo fisso"
"By Fixed value","Per valore fisso"
"By Percentage","Per percentuale"
"By Percentage of the original price","A percentuale sul prezzo originale"
"Cart Attribute","Attributi carrello"
"Catalog","Catalogo"
"Conditions","Condizioni"
"Conditions combination","Combinazione condizioni"
"Coupon Code","Codice coupon"
"Coupon code","Codice coupon"
"Customer Groups","Gruppo utenti"
"Customer is new buyer: %s","L'utente è il nuovo acquirente: %s"
"Customer registered: %s","Utente registrato: %s"
"Date Expire","Data di scandenza"
"Date Start","Data di inizio"
"Delete Rule","Elimina regola"
"Description","Descrizione"
"Description: %s","Descrizione: %s"
"Discount Qty Step (Buy X)","Step Qtà sconto (Compra X)"
"Discount amount","Importo sconto"
"Edit Rule","Modifica regola"
"Edit Rule '%s'","Modifica regola '%s'"
"Expire at: %s","Scadenza a: %s"
"Fixed amount discount","Blocca sconto dell'importo"
"Fixed amount discount for whole cart","Blocca sconto dell'importo per tutto il carrello"
"For matching items only","Solo per oggetti corripondenti"
"For shipment with matching items","Per spedizione di oggetti corrispondenti"
"Free shipping","Spedizione Gratuita"
"From Date","Dalla data"
"General Information","Informazioni generali"
"ID","ID"
"Inactive","Inattivo"
"Maximum Qty Discount is Applied to","La quantità massima di sconto è applicata a"
"NOT LOGGED IN","ACCESSO NON EFFETTUATO"
"Name: %s","Nome: %s"
"New Rule","Nuova regola"
"No","No"
"Payment Method","Metodo di pagamento"
"Percent of product price discount","Percentuali di prodotti scontati"
"Price in cart","Prezzo nel carrello"
"Priority","Priorità"
"Product attribute combination","Combinazioni attributi prodotto"
"Products subselection","Prodotti sottoselezionati"
"Promotions","Promozioni"
"Public In RSS Feed","Pubblica in RSS Feed"
"Quantity in cart","Quantità nel carrello"
"Row total in cart","Riga totale nel carrello"
"Rule Information","Informazioni regola"
"Rule Name","Nome regola"
"Rule was successfully deleted","La regola è stata eliminata correttamente"
"Rule was successfully saved","La regola è stata salvata"
"Save Rule","Salva regola"
"Shipping Country","Paese di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping Postcode","CAP di spedizione"
"Shipping Region","Regione di spedizione"
"Shipping State/Province","Stato/Provincia di spedizione"
"Shopping Cart Price Rule","Regola prezzo carrello"
"Shopping Cart Price Rules","Regole prezzo carrello"
"Special price","Prezzo speciale"
"Start at: %s","Inizia da: %s"
"Status","Stato"
"Stop further rules processing","Ferma elaborazione altre regole"
"Subtotal","Subtotale"
"The page you are trying to save no longer exists","La pagina che vuoi salvare non esiste più"
"This rule no longer exists","Questa regola non esiste più"
"To Date","Per data"
"To Fixed Amount","Per importo fisso"
"To Fixed Value","Per valore fisso"
"To Percentage","Per percentuale"
"To Percentage of the original price","A percentuale sul prezzo originale"
"Total Items Quantity","Quantità totale oggetti"
"Total Weight","Peso totale"
"Unable to find a page to delete","Impossibile trovare una pagina da eliminare"
"Update prices using the following information","Aggiornamento prezzi usando le seguenti informazioni"
"Update product's %s %s: %s","Aggiornamento prodotti %s %s: %s"
"Update the Product","Aggiornamento prodotti"
"Uses per coupon","Utilizzi per coupon"
"Uses per customer","Utilità per cliente"
"Yes","Sì"
