"Action","Azione"
"All types","Tutti i tipi"
"Backup file ""%s"" can't read or write","Il file di Backup ""%s"" non può essere letto o scritto"
"Backup file ""%s"" doesn't exist","Il file di Backup ""%s"" non esiste"
"Backup file doesn't exist","Il file di Backup non esiste"
"Backup file handler don't specify","Il responsabile del file di backup non è specificato"
"Backup file path don't specify","Il percorso del file non è specificato"
"Backups","Backup"
"Cannot read backup file","Non è possibile leggere la cartella del backup"
"Create Backup","Crea Backup"
"DB","DB"
"Database was successfuly backed up.","Il backup del Database è riuscito."
"Download","Download"
"Error write to Backup file ""%s""","Errore durante la scrittura sul file di Backup ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Il File è compresso con Zlib, ma questa estensione non è installata sul server"
"Size, byte","Grandezza, byte"
"Time","Ora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Impossibile creare il backup. Riprovare più tardi."
"Wrong order of creation for new backup","Ordine di creazione errato per il nuovo backup"
