"Actions","Azioni"
"Are you sure?","Sei sicuro?"
"Date Added","Data aggiornata"
"Error while marking as read. Please try again later.","Errore mentre si marcava il messaggio come letto , riprovare."
"Error while marking. Please try again later.","Errore , provare nuovamente a marcare il messaggio."
"Error while removing. Please try again later.","Errore durante la rimozione, prova ancora."
"Last update","Ultimo aggiornamento"
"Mark as Read","Marca come già letto"
"Mark as read","Marca come già letto"
"Message","Messaggio"
"Message was successfully marked as read","Il messaggio è stato marcato come letto"
"Message was successfully removed","Il messaggio è stato rimosso con successo"
"Messages Inbox","Messaggi in arrivo"
"Notifications","Notifiche"
"Please select messages","Seleziona messaggi"
"Read Details","Leggi i dettagli"
"Remove","Rimuovi"
"Severity","Difficoltà"
"Show List","Mostra elenco"
"Show Toolbar","Mostra barra degli strumenti"
"Total of %d record(s) were successfully marked as read","%d record(s) sono stati marcati come letti"
"Total of %d record(s) were successfully removed","%d record(s) sono stati rimossi correttamente"
"Unable to proceed. Please, try again","Impossibile procedere , Prova ancora."
"Update frequency","Frequenza di aggiornamento"
"Use HTTPS to get feed","Usa HTTPS per avere i feed"
"critical","critico"
"major","principale"
"minor","secondario"
"notice","notifica"
