"%d Review(s)","%d Recensione(i)"
"%s Review(s)","%s Recensione(i)"
"(Posted on %s)","(pubblicato su %s)"
"1 star","1 stella"
"2 stars","2 stelle"
"3 stars","3 stelle"
"4 stars","4 stelle"
"5 stars","5 stelle"
"Add New Review","Aggiungi nuova recensione"
"Add Your Review","Aggiungi la tua recensione"
"Administrator","Amministratore"
"All Reviews","Tutte le recensioni"
"All reviews of customer `%s`","Tutte le recensioni dei clienti `%s`"
"Allow guests to write reviews","Permetti agli ospiti di scrivere recensioni"
"Are you sure you want to do this?","Se sicuro di volerlo fare?"
"Are you sure?","Sei sicuro?"
"Average Customer Rating","Votazione media utente"
"Average Customer Rating:","Votazione media utente:"
"Back","Indietro"
"Back to Main Product Info","Indietro alle informazioni dei prodotti principali"
"Back to My Reviews","Indietro alle mie recensioni"
"Back to Product Reviews","Indietro ai prodotti recensiti"
"Be the first to review this product","Recensisci per primo questo prodotto"
"Created On","Creato su"
"Customer","Utente"
"Customer Reviews","Recensioni utente"
"Delete","Cancella"
"Delete Review","Cancella recensione"
"Detailed Rating","Votazione dettagliata"
"Edit Review '%s'","Modifica recensione'%s'"
"Guest","Ospite"
"How do you rate this product?","Come consideri questo prodotto?"
"ID","ID"
"Manage Ratings","Gestisci votazioni"
"My Product Reviews","Le mie recensioni prodotti"
"My Recent Reviews","Le mie recensioni recenti"
"Name","Nome"
"Name In Store","Nome nel negozio"
"New Review","Nuova recensione"
"Nickname","Nickname"
"Pending Reviews","Recensioni in attesa"
"Pending reviews","Recensioni in Attesa"
"Pending reviews of customer `%s`","Valutazioni di clienti in Attesa `%s`"
"Please select a product","Seleziona un prodotto"
"Please select one of each of the ratings above","Selezionare uno per ciascuna delle valutazioni qui sopra"
"Posted By","Pubblicato da"
"Price","Prezzo"
"Product","Prodotto"
"Product Name","Nome prodotto"
"Product Rating","Votazione prodotto"
"Product Rating:","Votazione prodotto:"
"Product Review (submitted on %s):","Recensione prodotto (inviata il %s):"
"Product Reviews","Recensioni prodotto"
"Product SKU","Prodotti SKU"
"Qty","Qtà"
"Rating:","Votazione:"
"Review","Recensione"
"Review Details","Dettagli recensione"
"Review by %s","Recensito da <em>%s</em>"
"Reviews and Ratings","Recensioni e votazioni"
"SKU","Cod"
"Save Review","Salva recensione"
"Status","Stato"
"Submit Review","Invia recensione"
"Summary Rating","Sommario votazione"
"Summary of Review","Sommario recensione"
"Summary of Your Review","Sommario della tua recensione"
"Summary of review","Sommario recensione"
"Title","Titolo"
"Type","Tipo"
"Unable to post review. Please, try again later.","Impossibile inviare Recensione. Riprova più tardi."
"Update status","Stato degli aggiornamenti"
"View All Reviews","Visualizza tutte le recensioni"
"View Details","Visualizza dettagli"
"Visible In","Visibile su"
"Websites","Siti"
"Write Your Own Review","Scrivi la tua recensione"
"You have submitted no reviews.","Non hai inviato la recensione"
"You're reviewing: %s","Stai recensendo: %s"
"Your Rating:","Il tuo voto:"
"Your Review (submitted on %s):","La tua recensione (inviata il %s):"
"Your review has been accepted for moderation","La tua recensione è stata annunciata"
"OR","OR"
"My Product Reviews","My Product Reviews"
