"--Please Select--","--Selezionare--"
"<label>Make Check payable to:</label> %s","<label>Rendere l'assegno pagabile a:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Rendi Assegno pagabile a</label>: %s"
"Automatically invoice all items","Fattura automaticamente tutti gli Articoli"
"Can not configuration for payment method with code: %s","Impossibile configurare il metodo di pagamento con codice: %s"
"Can not retrieve payment info model object.","Impossibile recuperare informazione di pagamento del model object."
"Can not retrieve payment method instance","Impossibile recuperare i dettagli sul metodo di pagamento"
"Can not retrieve payment method model object.","Impossibile recuperare il model object del metodo di pagamento."
"Card Verification Number","Numero verifica carta"
"Check / Money order","Assegno / Vaglia"
"Credit Card Number","Numero carta di credito"
"Credit Card Number: %s","<strong>Numero Carta di Credito:</strong> <span class=nowrap>%s</span>"
"Credit Card Number: xxxx-%s","Numero Carta di Credito: xxxx-%s"
"Credit Card Type","Tipo Carta di Credito"
"Credit Card Type: %s","Tipo Carta di Credito: %s"
"Credit Card Types","Tipi carta di credito"
"Credit Card Verification","Verifica Carta di Credito"
"Enabled","Abilitato"
"Expiration Date","Data Scadenza"
"Expiration Date: %s/%s","Data Scadenza: %s/%s"
"Make Check payable to","Rendi assegno pagabile a"
"Make Check payable to: %s","Rendi l'assegno pagabile a: %s"
"Maximum Order Total","Massimo ordine totale"
"Minimum Order Total","Minimo Ordine Totale"
"Month","Mese"
"Name on Card","Nome sulla Carta"
"Name on the Card: %s","Nome sulla Carta: %s"
"New order status","Nuovo stato dell'ordine"
"Payment Methods","Metodi Pagamento"
"Payment Methods Section","Sezione Metodi Pagamento"
"Payment from Specific countries","Pagamento da paesi Specifici"
"Payment from applicable countries","Pagamento da paesi applicabili"
"Purchase Order Number","Numero ordine d'acquisto"
"Purchase Order Number: %s","Numero ordine d'acquisto: %s"
"Purchase order","Ordine di acquisto"
"Saved CC","CC Salvato"
"Send Check to","Invia assegno a"
"Send Check to:","Invia assegno a:"
"Sort order","Ordinamento"
"Title","Titolo"
"What is this?","Cos'è questo?"
"Year","Anno"
"Zero Subtotal Checkout","Subtotale Cassa Zero"
