"%s and greater","%s e superiore"
"Advanced Search","Ricerca avanzata"
"All","Tutto"
"Applies for ""Like"" Search type only","Applica solo per il tipo di Ricerca ""Come"""
"Apply Layered Navigation if search results are less than","Applica Navigazione a Livelli se i risultati della ricerca sono meno di"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Le modifiche delle impostazioni degli attributi sono correlate all'indice della ricerca. Si prega di <a href=""%s"">Ricostruire l'Indice di Ricerca</a>"
"Autogenerated site map","Mappa del sito autogenerata"
"Catalog Advanced Search","Ricerca avanzata catalogo"
"Catalog Search","Cerca nel catalogo"
"Don't see what you're looking for?","Non trovi quello che stai cercando?"
"Go","Vai"
"Go to Home Page","Vai alla Home Page"
"Grid","Griglia"
"Home","Home"
"List","Lista"
"Maximum Query Length","Lungezza massima Query"
"Maximum Query Words Count","Conteggio massimo parole Query"
"Maximum Search query  length is %s. Your query was cut.","Lunghezza massima ricerca query è %s. La tua query è stata tagliata."
"Minimal Query Length","Lunghezza minima Query"
"Modify your search","Modifica la tua ricerca"
"No","No"
"No items were found using the following search criteria.","Non sono stati trovati articoli utilizzando i seguenti criteri di ricerca."
"Please enter ""0"" to enable layered navigation for any number of results","Inserisci ""0"" per permettere la navigazione a livelli per qualunque numero di risultati"
"Popular Search Terms","Termini di ricerca popolari"
"Popular search terms","Le Ricerche Più Frequenti"
"Relevance","Importanza"
"Required Fields","Campi Obbligatori"
"Results","Risultati"
"Search","Ricerca"
"Search Settings","Impostazioni di ricerca"
"Search Site","Cerca nel Sito"
"Search Terms","Termini di ricerca"
"Search Type","Tipo ricerca"
"Search entire store here...","Cerca intero negozio qui..."
"Search results for '%s'","Risultati ricerca per '%s'"
"Search results for: '%s'","Risultati ricerca per: '%s'"
"Subscribe to Feed","Iscriviti ai Feed"
"There are no search terms available.","Non ci sono termini di ricerca disponibili."
"Yes","Si"
"You have to specify at least one search term","Devi specificare almeno un termine di ricerca"
"Your search returns no results.","La tua ricerca non ha prodotto risultati."
"up to %s","fino a %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d Articoli/o</strong> sono stati trovati usando i seguenti criteri di ricerca"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
