"Billing Information","Informazioni Fatturazione"
"Change Payment Method","Cambia Modalità di Pagamento"
"Change Shipping Address","Cambia Indirizzo di Spedizione"
"Edit Shopping Cart","Modifica Carello"
"Email","Email"
"Incl. Tax","Tasse Incl."
"Items in Your Shopping Cart","Articoli nel Carrello"
"No shipping method required.","No shipping method required."
"PayPal Account","Conto PayPal"
"PayPal Email","Email PayPal"
"Payment Method","Metodo di Pagamento"
"Place an Order","Inserisci un Ordine
Please select a shipping method..."""
"Please select a shipping method...","Seleziona un metodo di spedizione..."
"Price","Prezzo"
"Product Name","Nome Prodotto"
"Qty","Qtà"
"Review Order","Controlla Ordine"
"Shipping Address","Indirizzo Spedizione"
"Shipping Information","Informazioni Spedizione"
"Shipping Method","Metodo di Spedizione"
"Sorry, no quotes are available for this order at this time.","Spiacente, al momento non ci sono preventivi disponibili per l'ordine."
"Submitting order information...","Invio informazioni ordine..."
"Subtotal","Subtotale"
"Update Shipping Method","Aggiorna Metodo di Spedizione"
"You will be redirected to PayPal website when you place an order.","Sarai reindirizzato al sito di PayPal quando inserisci un ordine."
"You will be redirected to Paypal in a few seconds.","Sarai reindirizzato a Paypal in pochi secondi."
"Your billing address will be ignored and you will be redirected to PayPal website","Il tuo indirizzo di fatturazione verr&agrave; ignorato e sarai rediretto entro pochi secondi al sito di PayPal"
