"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s E' stato aggiunto alla wishlist. Clicca <a href=""%2$s"">qui</a> per continuare."
"%s's Wishlist","Wishlist di %s"
"* Required Fields","* Campi richiesti"
"Add All to Cart","Aggiungi tutto al carrello."
"Add to Cart","Aggiungi al carrello."
"Add to Wishlist","Aggiungi alla wishlist"
"Added On","Aggiunto su"
"Are You sure?","Sei sicuro?"
"Are you sure you want to remove this product from your wishlist?","Sei sicuro di voler rimuovere il prodotto dalla wishlist?"
"Are you sure you would like to remove this item from the wishlist?","Sei sicuro di voler rimuovere questo oggetto dalla wishlist?"
"Back","Indietro"
"Can't save description %s","Impossibile salvare descrizione %s"
"Cannot create wishlist","Non è possibile creare la Wishlist"
"Cannot specify product","Impossibile specificare prodotto"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Seleziona il markatore per aggiungere un link rss alla tua wishlist."
"Comment","Commento"
"Email Sender","Invia email"
"Email Template","Templare email"
"Email address can't be empty.","Indirizzo email non può essere vuoto"
"Email addresses, separated by commas","indirizzi email separati da virgole"
"Enabled","Attivato"
"General Options","Opzioni generali"
"Go to Wishlist","Vai alla wishlist"
"Last Added Items","Ultimi oggetti aggiuntu"
"Message","Messaggi"
"My Wishlist","La mia wishlist"
"My Wishlist (%d item)","La mia wishlist (%d oggetti)"
"My Wishlist (%d items)","La mia wishlist (%d oggetti)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Inserire emails valide separate da virgole. Per esempio johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Inserisci i tuoi commenti"
"Product","Prodotti"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","RSS link a %s's wishlist"
"Remove Item","Rimuovi oggetto"
"Share Wishlist","Condividi wishlist"
"Share Your Wishlist","Condividi la tua wishlist"
"Share options","Opzioni condivisione"
"Sharing Information","Condividi informazioni"
"There was an error while adding item to wishlist.","Si è verificato un errore aggiungendo prodotti alla wishlist."
"There was an error while adding item to wishlist: %s","Si è verificato un errore aggiungendo un prodotto alla wishlist: %s"
"There was an error while deleting item from wishlist.","Si è verificato un errore nel rimuovere prodotti dalla wishlist."
"There was an error while deleting item from wishlist: %s","Si è verificato un errore nel rimuovere prodotti dalla wishlist: %s"
"This product(s) is currently out of stock:","Questo prodotto(i) è attualmente esaurito:"
"Update Wishlist","Aggiorna wishlist"
"View Product","Visualizza prodotto"
"Wishlist","Wishlist"
"Wishlist Section","Sezione wishlist"
"Wishlist Sharing","Condivisione Wishlist"
"Wishlist is empty now.","Wishlist vuolta"
"You have no items in your wishlist.","Non hai oggetti nella wishlist"
"You input not valid email address.","Non hai inserito una email valida."
"Your Wishlist was successfully shared","La tua Wishlist è stata condivisa"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","La mia Wishlist"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
