"Abandoned carts","Carrelli abbandonati"
"Action","Azioni"
"Add to Cart","Aggiungi al carrello"
"Add to Compare","Aggiungi per confrontare"
"Add to Wishlist","Aggiungi a wishlist"
"Applied Coupon","Coupon applicato"
"Avg. approved rating","Media Voti Approvati"
"Avg. rating","Media Voti"
"Bestsellers","Più venduti"
"Bought from wishlists","Comprato dalla wishlist"
"CSV","CSV"
"Carrier/Method","Metodo di Spedizione"
"Carts","Carrelli"
"Coupons","Buoni"
"Created at","Creato il"
"Customer","Utente"
"Customer Name","Nome utente"
"Customer Tags","Tags utente"
"Customers","Utenti"
"Customers Report","Rapporto utenti"
"Customers Reviews","Recensioni utenti"
"Customers Tags","Tags utenti"
"Customers by number of orders","Utenti per numero di ordini"
"Customers by orders total","Utenti per ordini totali"
"Customers that have wishlist: %s%","Utenti che hanno wishlist: %s%"
"Day","Giorno"
"Default Recently Compared Products count","Totale prodotti confrontati recentemente di default"
"Default Recently Viewed Products count","Totale Prodotti visti di Recente di Default"
"Detail","Dettagli"
"Discounts","Sconti"
"Downloads","Downloads"
"Email","Email"
"Excel","Excel"
"First Name","Nome utente"
"Guest","Ospite"
"Hits","Accessi"
"ID","ID"
"Invalid date specified","Data Specificata non valida"
"Invoiced","Fatturato"
"Items Ordered","Articoli ordinati"
"Items in Cart","Oggetto nel carrello"
"Last Name","Cognome"
"Last Review","Ultima recensione"
"Link","Link"
"Low stock","Scorte in esaurimento"
"Month","Mese"
"Most Viewed","Più visti"
"Most viewed","Più visti"
"Name","Nome"
"New Accounts","Nuovi accounts"
"Number Added","Numero aggiunto"
"Number Fulfilled","Numero pieno"
"Number Of Historical Uses","Numero di Usi Storici"
"Number Of Reviews","Numero di recensioni"
"Number Of Uses","Numero di Usi"
"Number Purchased","Numero acquisti"
"Number Viewed","Numero visualizzazione"
"Number of Items","Numero oggetti"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Numero nuovi account"
"Number of Orders","Numero di Ordini"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Numero di recensioni"
"Number of Total Tags","Numero di tags totali"
"Number of Unique Tags","Numero di tags singole"
"Number of Views","Numero di visualizzazioni"
"Number of items bought from a wishlist: %s","Numero di oggetti comprati da una wishlist: %s"
"Number of times deleted","Numero di volte eliminato"
"Number of times wishlists have been shared (emailed): %s","Numero di volte in cui la wishlist è stata condivisa (spedita via email): %s"
"Number of wishlist conversions: %s","Numero di conversioni wishlist: %s"
"Number of wishlist referrals: %s","Numero di riferimenti wishlist: %s"
"Number of wishlists: %s","Numero di wishlist: %s"
"Offline Refunded","Rimborsato Offline"
"Online Refunded","Rimborsato Online"
"Orders","Ordine"
"Out of stock","Esaurito"
"Poducts Report","Genera rapporto"
"Popular Tags","Tags popolari"
"Popularity","Popolarità"
"Price","Prezzo"
"Product Name","Nome prodotto"
"Product Reviews","Prodotti recensiti"
"Product Sku","Cod Prodotto"
"Product Tags","Tags prodotti"
"Products","Prodotti"
"Products Report","Rapporto prodotti"
"Products Reviews","Recensioni prodotti"
"Products Sold","Prodotti Venduti"
"Products Tags","Tags prodotti"
"Products in carts","Prodotti nel carrello"
"Purchases","Acquistati"
"Quantity Ordered","Quantità di ordini"
"Quantity of Items","Quantità di oggetti"
"Rate","Tasso"
"Recently Compared Products","Prodotti confrontati di recente"
"Recently Viewed Products","Prodotti visualizzati di recente"
"Recently Viewed/Compared Products","Prodotti visualizzati/confrontati di recente"
"Refunded","Rimborsato"
"Reports","Rapporti"
"Results","Risultati"
"Revenue","Entrata"
"Review","Recensione"
"Reviews","Recensioni"
"Reviews for %s","Recensioni per %s"
"Sales","Vendite"
"Sales Report","Rapporto vendite"
"Search Terms","Cerca termine"
"Shipping","Spedizione"
"Shopping Cart","Carrello"
"Show for Current","Visualizza per corrente"
"Stock Qty","Scorte Qty"
"Submitted In","Inviato in"
"Submitted On","Inviato su"
"Subtotal","Subtotale"
"Tag","Tag"
"Tag ""%s"" details","Tag ""%s"" dettagli"
"Tag Detail","Tag dettaglio"
"Tag Name","Nome tag"
"Tag use","Utilizzo tag"
"Tags submited by %s","Tags proposti da %s"
"Tags submitted to %s","Tags inviata a %s"
"Tax","Tasse"
"Tax Amount","Importo imposte"
"Title","Titolo"
"Total","Totale"
"Total Invoiced","Totale Fatturato"
"Total Invoiced Captured","Totale Fatturato Acquisito"
"Total Invoiced not Captured","Totale Fatturato non Acquisito"
"Total Refunded","Totale Rimborsato"
"Total Shipping","Totale Spedito"
"Total Tags","Tags totali"
"Total invoiced","Fattura totale"
"Total refunded","Rimborso totale"
"Updated at","Aggiornato a"
"Visible In","Visibile su"
"Wishlist Report","Rapporto wishlist"
"Wishlist vs. Regular Order","Wishlist per ordini predefiniti"
"Wishlists","Le Wishlist"
"Year","Anno"
"Your Recently Compared","I tuoi comparati di recente"
"Your Recently Viewed","I tuoi visualizzati di recente"
