"All Websites","Tutti i siti"
"Apply Percent Discounts To FPT","Applica una percentuale di sconto all' FPT"
"Apply Tax To FPT","Applica tasse a  FPT"
"Display Prices In Emails","Visualizza prezzi nella email"
"Display Prices In Product Lists","Visualizza prezzi nella lista dei prodotti"
"Display Prices In Sales Modules","Visualizza prezzi nei moduli di sconto"
"Display Prices On Product View Page","Visualizza prezzi nella pagina di visualizzazione prodotto"
"Enable FPT","Attiva FPT"
"Excluding FPT","Escludi FPT"
"Excluding FPT, FPT description, final price","Escludi FPT, FPT descrizione, prezzo finale"
"Fixed Product Tax","Fissa tassa prodotto"
"Fixed Product Taxes","Fissa tasse prodotto"
"Include FPT In Subtotal","Includi FPT nel subtotola"
"Including FPT and FPT description [excl. FPT VAT]","Includi FPT e descrizione FPT [excl. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","Includi descrizione FPT e FPT  [incl. FPT VAT]"
"Including FPT only","Includi solo FPT "
"Total","Totale"
"Total incl. tax","Totale tasse incluse"
