"Add New Row","Aggiungi nuova riga"
"An error occurred while saving the file(s).","Errore durante il salvataggio dei file"
"Availability: In stock.","Disponibilità: Disponibile"
"Availability: Out of stock.","Disponibilità : Non Disponibile"
"Back","Indietro"
"Can't connect to remote host, error: %s","Impossibile conttersi all' host remoto , errore : %s"
"Canceled","Annullato"
"Date","Data"
"Default Link Title","Titolo link predefinito"
"Default Maximum Number of Downloads","Imposta numero massimo di downloads"
"Default Sample Title","Titolo di esempio predefinito"
"Disable Guest Checkout if cart contains downloadable items","Disabilita il checkout ospite se il carrello contiene articoli downloadabili"
"Downloadable Information","Informazioni scaricabili"
"Downloadable Product","Prodotti scaricabili"
"Downloadable Product Options","Opzioni prodotto scaricabili"
"Downloadable product Section","Sezione prodotto scaricabile"
"Excl. Tax","Tasse escluse"
"File","File"
"File does not exists","Il file non esiste"
"From:","Da:"
"Gift Message","Messaggio regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Vai a  <a href=""%s""> I miei prodotti scaricabili</a>"
"Guest checkout will only work with shareable","Il checkout come ospite funzionerà solo con i condivisibili"
"Incl. Tax","Tasse incluse"
"Invalid download URL host","Download url host non valido"
"Invalid download URL scheme","sistema download URL non valido"
"Invalid download link type","Tipo di download link non valido"
"Invoiced","Fatturato"
"Link has expired.","Il Link è scaduto"
"Link is not available.","Link non disponibile"
"Links can be purchased separately","I Links possono essere acquistati separatamente"
"Max. Downloads","Download Massimi."
"Message:","Messaggio:"
"My Downloadable Products","I mie prodotti scaricabili"
"Open Links in New Window","Apri link in una nuova finistra"
"Order #","Ordine #"
"Order Item Status to enable Downloads","Stato dell'ordine per abilitare il download"
"Ordered","Ordinato"
"Pending","In attesa"
"Please log in to download your product.","Accedi al download del prodotto."
"Please set resource file and link type","Imposta il file sorgente e il tipo di link"
"Please specify product link(s).","Specifica link prodotto"
"Price","Prezzo"
"Refunded","Rimborsati"
"Remaining Downloads","Download rimasti:"
"Remove item","Cancella articolo"
"Requested link doesn't exist.","Il link richiesto non è disponibile"
"Sample","Esempio"
"Shareable","Condivisibile"
"Shipped","Spedito"
"Sorry, the was an error getting requested content. Please contact store owner.","C'è stato un errore sul contenuto richiesto. Contatto il proprietario del negozio."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Siamo spiacenti, si è verificato un errore nell' ottenere i contenuti richiesti. Conattare il proprietario del negozio"
"Sort Order","Ordina"
"Start Download","Inizia download"
"Status","Stato"
"Title","Titolo"
"To:","A:"
"U","U"
"Unlimited","Illimitato"
"View Order","Visualizza ordine"
"You have not purchased any downloadable products yet.","Non hai ancora acquistato nessun prodotto scaricabile"
"attachment","Allegato"
"download","Download"
"inline","in coda"
"sample","Esempio"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
