"%s is not correct comparsion method.","%s non è una modalità corretta di paragone."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Attenzione</strong>, queste Impostazioni si applicano agli articoli in riga nel carrello, non all'intero Carrello"
"Allow Qty Below 0","Permetti Qtà al di sotto di 0"
"Allow Qty Below 0 and Notify Customer","Permetti Qtà al di sotto di 0 e avvisa il cliente"
"Backorders","Ordini inevasi"
"By Fixed value","Con valore fisso"
"By Percentage","In base alla percentuale"
"Can not specify product identifier for order item","Non puoi specificare l'identificatore prodotto per questo ordine."
"Catalog Inventory","Inventario catalogo"
"Decrease Stock When Order is Placed","Diminuisci scorta quando l'ordine è piazzato"
"In Stock","Disponibile"
"Inventory","Inventario"
"Inventory API","Inventario API"
"Inventory Section","Sezione inventario"
"Manage Stock","Gestione scorte"
"Maximum Qty Allowed in Shopping Cart","Qtà massima ammessa nel carrello"
"Minimum Qty Allowed in Shopping Cart","Qtà minima ammessa nel carrello"
"No Backorders","Nessun ordine inevaso"
"Notify for Quantity Below","Avvisa per quantità sotto"
"Out of Stock","Non disponibile"
"Product Stock Options","Opzioni scorte prodotto"
"Qty for Items' Status to become Out of Stock","Qtà affinchè lo Status dell'Articolo diventi Esaurito"
"Retrieve stock data","Recuperare dati scorte"
"Retrieve stock data by product ids","Recuperari dati scorte dagli id prodotti"
"Rule price","Regole prezzo"
"Set Items' Status to be In Stock When Order is Cancelled","Imposta stato articoli a disponibile quando l'ordine viene cancellato"
"Some of the products are currently out of stock","Alcuni dei prodotti sono attualmente non disponibili"
"Some of the products can not be ordered in requested quantity","Alcuni di questi prodotti non possono essere acquistati nella quantità richiesta"
"Some of the products cannot be ordered in the requested quantity","Alcuni di questi prodotti non possono essere ordinati nella quantità richiesta"
"Stock Options","Opzioni scorte"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","La quantità massima permessa per l'acquisto è %s."
"The minimum quantity allowed for purchase is %s.","La quantità minima permessa per l'acquisto è %s."
"The requested quantity for ""%s"" is not available.","La quantità richiesta di ""%s"" non è disponibile."
"The requested quantity is not available.","La quantità richiesta non è disponibile."
"This product is currently out of stock.","Questo prodotto è attualmente non disponibile."
"To Fixed Value","A valore fisso"
"To Percentage","A percentuale"
"Update","Aggiornare"
"Update product stock data","Aggiorna dati scorta prodotto"
"Update the Product","Aggiorna prodotto"
