"1 star","1 seren"
"2 stars","2 seren"
"3 stars","3 seren"
"4 stars","4 seren"
"5 stars","5 seren"
"Add New Rating","Ychwanegu Cyfraddiad Newydd"
"Assigned Options","Assigned Options"
"Be the first to review this product","Be the first to review this product"
"Default Value","Gwerth Gwreiddiol"
"Delete Rating","Dileu Cyfraddiad"
"Edit Rating","Golygu Cyfraddiad"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Manage Ratings","Manage Ratings"
"New Rating","Cyfraddiad Newydd"
"Option Label","Dewis Label"
"Option Title","Dewis Teitl"
"Option Title:","Dewis Teitl:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Gwybodaeth Cyfraddiad"
"Rating Name","Enw Cyfraddiad"
"Rating Options","Dewisiadau Cyfraddiad"
"Rating Title","Teitl Cyfraddiad"
"Rating Visibility","Rating Visibility"
"Rating isn't Available","Cyfraddiad ddim ar gael"
"Rating with the same title","Cyfraddiadau gyda theitl yr un fath"
"Save Rating","Arbed Cyfraddiad"
"Visible In","Gweladwy Mewn"
