"ALL","HOLL"
"ANY","UNRHYW"
"Add","Ychwanegu"
"Apply","Ymgeisio"
"Description: %s","Disgrifiad: %s"
"Expire at: %s","Gorffen am: %s"
"FALSE","FFUG"
"If %s of these conditions are %s:","If %s of these conditions are %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Enw: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Perfformio gweithred canlynol"
"Please choose a condition to add...","Dewiswch amod i ychwanegu os gwelwch yn dda..."
"Please choose an action to add...","Dewiswch gweithred i ychwanegu os gwelwch yn dda…"
"Remove","Diddymu"
"Start at: %s","Dechrau am: %s"
"TRUE","GWIR"
"by","a"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","yw"
"is not","yw ddim"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","i"
