"Add Recipient","Ychwanegu Derbynnydd"
"Allow for Guests","caniatáu i g?r gwadd"
"Email Address","Cyfeiriad E-bost"
"Email Address:","Cyfeiriad E-bost:"
"Email templates","Templedi ebost"
"Email to a Friend","Ebost i Ffrind"
"Email:","Ebost"
"Enabled","Wedi Galluogi"
"Limit Sending By","Limit Sending By"
"Link to a friend was sent.","Link to a friend was sent."
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Max Recipients","Uchafrif o derbynyddion"
"Maximum %d email addresses allowed.","Uchafrif o %d cyfeiriadau ebost caniataedig."
"Message:","Neges:"
"Name","Enw"
"Name:","Enw:"
"Recipient:","Derbynnydd:"
"Remove Email","Tynnu Ebost"
"Select email template","Dewis templed ebost"
"Send email","Anfon ebost"
"Send product to a friend","Anfon cynnyrch i ffrind"
"Sender:","Anfonwr:"
"Some emails was not sent","Some emails was not sent"
"Some problems with data.","Some problems with data."
"You cannot email this product to a friend","You cannot email this product to a friend"
"You cannot send more than %d times in an hour","Gellwch ddim gyrru mwy na %d o weithiau mewn awr"
