"ALL","KAIKKI"
"ANY","MIKÄ TAHANSA"
"Add","Lisää"
"Apply","Ota käyttöön"
"Description: %s","Kuvaus: %s"
"Expire at: %s","Päättyy: %s"
"FALSE","EPÄTOSI"
"If %s of these conditions are %s:","Jos %s ehdot ovat %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Nimi: %s"
"Open Chooser","Avaa valitsin"
"Perform following actions","Suorita seuraavat toiminnot"
"Please choose a condition to add...","Valitse lisättävä ehto..."
"Please choose an action to add...","Valitse lisättävä toiminto..."
"Remove","Poista"
"Start at: %s","Alkaa: %s"
"TRUE","TOSI"
"by","millä"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","on"
"is not","ei ole"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","mihin"
