"1 star","1 tähti"
"2 stars","2 tähteä"
"3 stars","3 tähteä"
"4 stars","4 tähteä"
"5 stars","5 tähteä"
"Add New Rating","Lisää uusi arvio"
"Assigned Options","Asetetut vaihtoehdot"
"Be the first to review this product","Arvostele tuote ensimmäisenä"
"Default Value","Oletusarvo"
"Delete Rating","Poista arvio"
"Edit Rating","Muokkaa arvioita"
"ID","Tunniste"
"If you do not specify a rating title for a store, the default value will be used.","Jos et määritä arvion otsikkoa kaupalle niin oletusarvo käytetään."
"Manage Ratings","Hallinnoi arvioita"
"New Rating","Uusi arvio"
"Option Label","Vaihtoehdon nimiö"
"Option Title","Vaihtoehdon otsikko"
"Option Title:","Vaihtoehdon otsikko:"
"Please select one of each ratings above","Valitse jokin yllä olevista arvioista"
"Rating Information","Arvion tiedot"
"Rating Name","Arvion nimi"
"Rating Options","Arvion vaihtoehdot"
"Rating Title","Arvion otsikko"
"Rating Visibility","Arvion näkyvyys"
"Rating isn't Available","Arvio ei ole saatavilla"
"Rating with the same title","Arvio jolla on sama nimi on jo olemassa"
"Save Rating","Tallenna arvio"
"Visible In","Näkyvillä"
