"-- Please select --","-- Valitse --"
"Allowed currencies","Sallitut valuutat"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Kurssia ei voida noutaa osoitteesta %s"
"Connection timeout in seconds","Yhteyden aikakatkaisu sekunteina"
"Continue &raquo;","Jatka &raquo;"
"Country","Maa"
"Country Api","Country Api"
"Country and Format Type combination should be unique","Maan ja muodon yhdistelmätyyppi täytyy olla yksilöllinen"
"Currency","Valuutta"
"Currency Options","Valuutan vaihtoehdot"
"Currency Setup","Valuutan asetukset"
"Currency Update Warnings","Valuutan päivitysvaroitukset"
"Currency will be used for all online payment transactions","Valuuttaa käytetään kaikissa verkkomaksuissa"
"Default display currency","Oletuksena näytettävä valuutta"
"Directory","Directory"
"Enabled","Käytössä"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin pohja"
"FATAL ERROR:","VAKAVA VIRHE:"
"Frequency","Yleisyys"
"Installed Currencies","Asennetut valuutat"
"Invalid Import Service Specified","Virheellinen tuontipalvelu määritelty"
"Invalid country code: %s","Virheellinen maakoodi: %s"
"Invalid rates received","Virheellisiä kursseja vastaanotettu"
"Invalid target currency","Virheellinen kohdevaluutta"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Poista välilyönti valuutan merkistä"
"Scheduled Import Settings","Ajastetun tuomisen asetukset"
"Select Your Currency","Valitse valuutta"
"Service","Palvelu"
"Start Time","Aloitusaika"
"State/Province","Osavaltio / Provinssi"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Tuomismallia ei voida ottaa käyttöön"
"Undefined rate from ""%s-%s""","Määrittelemätön valuuttakurssi ""%s-%s"""
"WARNING:","VAROITUS:"
"Webservicex","Webservicex"
"Your current currency is: %s","Tämänhetkinen valuuttasi on: %s"
