"Abandoned carts","Hylätyt ostoskorit"
"Action","Action"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää toivelistaan"
"Applied Coupon","Anottu kuponki"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Myydyimmät"
"Bought from wishlists","Toivelistoilta ostetut"
"CSV","CSV"
"Carrier/Method","Kuljettaja/tapa"
"Carts","Ostoskorit"
"Coupons","Kupongit"
"Created at","Luotu (missä)"
"Customer","Asiakas"
"Customer Name","Asiakkaan nimi"
"Customer Tags","Asiakkaan asiasanat"
"Customers","Asiakkaat"
"Customers Report","Asiakasraportti"
"Customers Reviews","Asiakkaiden arvostelut"
"Customers Tags","Asiakkaiden asiasanat"
"Customers by number of orders","Asiakkaat tilausmäärittäin"
"Customers by orders total","Asiakkaat kokonaissummittain"
"Customers that have wishlist: %s%","Asiakkaat joilla on toivelista: %s%"
"Day","Päivä"
"Default Recently Compared Products count","Oletusarvo viimeksi vertailtujen tuotteiden määrälle"
"Default Recently Viewed Products count","Oletusarvo viimeksi katsottujen tuotteiden määrälle"
"Detail","Yksityiskohta"
"Discounts","Alennukset"
"Downloads","Downloads"
"Email","Sähköposti"
"Excel","Excel"
"First Name","Etunimi"
"Guest","Vieras"
"Hits","Osumat"
"ID","Tunniste"
"Invalid date specified","Invalid date specified"
"Invoiced","Laskutettu"
"Items Ordered","Tilatut tuotteet"
"Items in Cart","Ostoskorissa olevat tuotteet"
"Last Name","Sukunimi"
"Last Review","Viimeinen arvostelu"
"Link","Link"
"Low stock","Pieni varastotilanne"
"Month","Kuukausi"
"Most Viewed","Katsotuimmat"
"Most viewed","Katsotuimmat"
"Name","Nimi"
"New Accounts","Uudet asiakastilit"
"Number Added","Lisätty"
"Number Fulfilled","Täytetty"
"Number Of Historical Uses","Kaikki käyttökerrat"
"Number Of Reviews","Arvosteluja"
"Number Of Uses","Käytetty"
"Number Purchased","Ostettu"
"Number Viewed","Katsottu"
"Number of Items","Tuotteita"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Uusien asiakastilien määrä"
"Number of Orders","Tilauksia"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Arvosteluja"
"Number of Total Tags","Asiasanojen kokonaismäärä"
"Number of Unique Tags","Yksilöllisten asiasanojen lukumäärä"
"Number of Views","Katsottu"
"Number of items bought from a wishlist: %s","Tuotteita ostettu toivelistoilta: %s"
"Number of times deleted","Poistetut kerrat"
"Number of times wishlists have been shared (emailed): %s","Sähköpostitse jaetut toivelistat: %s"
"Number of wishlist conversions: %s","Toivelistoja muunnettu: %s"
"Number of wishlist referrals: %s","Toivelistoja ohjattu: %s"
"Number of wishlists: %s","Toivelistoja: %s"
"Offline Refunded","Offline-hyvitetyt"
"Online Refunded","Online-hyvitetyt"
"Orders","Tilaukset"
"Out of stock","Loppu varastosta"
"Poducts Report","Tuoteraportti"
"Popular Tags","Suositut asiasanat"
"Popularity","Suosio"
"Price","Hinta"
"Product Name","Tuotteen nimi"
"Product Reviews","Tuotteen arvostelut"
"Product Sku","Tuotteen tuotekoodi"
"Product Tags","Tuotteen asiasanat"
"Products","Tuotteet"
"Products Report","Tuoteraportteja"
"Products Reviews","Tuotearvosteluja"
"Products Sold","Products Sold"
"Products Tags","Tuotteiden asiasanat"
"Products in carts","Ostoskoreissa olevat tuotteet"
"Purchases","Purchases"
"Quantity Ordered","Tilattu määrä"
"Quantity of Items","Tuotemäärät"
"Rate","Rate"
"Recently Compared Products","Hiljattain vertaillut tuotteet"
"Recently Viewed Products","Hiljattain tarkastellut tuotteet"
"Recently Viewed/Compared Products","Hiljattain tarkastellut/vertaillut tuotteet"
"Refunded","Hyvitetty"
"Reports","Raportit"
"Results","Tulokset"
"Revenue","Liikevaihto"
"Review","Arvostelu"
"Reviews","Arvostelut"
"Reviews for %s","Arvostelut %s"
"Sales","Myynti"
"Sales Report","Myyntiraportti"
"Search Terms","Hakusanat"
"Shipping","Lähetys"
"Shopping Cart","Ostoskori"
"Show for Current","Näytä nykyiselle"
"Stock Qty","Varaston kpl"
"Submitted In","Lähetetty (missä)"
"Submitted On","Lähetetty (milloin)"
"Subtotal","Välisumma"
"Tag","Asiasana"
"Tag ""%s"" details","Asiasanan ""%s"" yksityiskohdat"
"Tag Detail","Asiasanan yksityiskohta"
"Tag Name","Asiasanan nimi"
"Tag use","Asiasanan käyttö"
"Tags submited by %s","Asiasanan lähettänyt %s"
"Tags submitted to %s","Asiasana lähetetty %s"
"Tax","Verot"
"Tax Amount","Veron määrä"
"Title","Otsikko"
"Total","Kokonaissumma"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Vastaanotetut suoritukset yhteensä"
"Total Invoiced not Captured","Avoimet saatavat yhteensä"
"Total Refunded","Hyvitetty kokonaissumma"
"Total Shipping","Lähetysten kokonaissumma"
"Total Tags","Asiasanojen kokonaismäärä"
"Total invoiced","Laskutettu kokonaissumma"
"Total refunded","Hyvitetty kokonaissumma"
"Updated at","Päivitetty (missä)"
"Visible In","Näkyvillä"
"Wishlist Report","Toivelistaraportti"
"Wishlist vs. Regular Order","Toivelista vastaan tavallinen tilaus"
"Wishlists","Toivelistat"
"Year","Vuosi"
"Your Recently Compared","Hiljattain vertailemasi"
"Your Recently Viewed","Hiljattain tarkastelemasi"
