" Copy"," Kopioi"
"Action","Toiminto"
"Add New Template","Lisää uusi pohja"
"Add to Queue","Lisää lähetysjonoon"
"Are you sure that you want to delete this template?","Haluatko varmasti tuhota tämän pohjan?"
"Are you sure that you want to strip all tags?","Haluatko varmasti poistaa kaikki asiasanat?"
"Back","Takaisin"
"Cancel","Peruuta"
"Cancelled","Peruutettu"
"Cannot delete subscriber","Tilaajaa ei voida poistaa"
"Cannot delete template","Pohjaa ei voida poistaa"
"Cannot mark as received subscriber","Ei voida merkitä tilaajaksi"
"Cannot save your subscription: %s","Tilaustasi ei voida tallentaa: %s"
"Confirmation Email Sender","Vahvistussähköpostin tilaaja"
"Confirmation Email Template","Vahvistussähköpostin pohja"
"Confirmation request has been sent","Vahvistuspyyntö on lähetetty"
"Convert to Plain Text","Muunna pelkäksi tekstiksi"
"Create Newsletter Template","Luo uusi uutiskirjeen pohja"
"Customer","Asiakas"
"Customer Firstname","Asiakkaan etunimi"
"Customer Lastname","Asiakkaan sukunimi"
"Date Added","Lisätty"
"Date Updated","Päivitetty"
"Delete Selected Problems","Poista valitut ongelmat"
"Delete Template","Poista pohja"
"Do you really want to cancel the queue?","Haluatko varmasti peruuttaa lähetysjonon?"
"Duplicate of template code","Pohjakoodin kopio"
"Edit Newsletter","Muokkaa uutiskirjettä"
"Edit Newsletter Template","Muokkaa uutiskirjeen pohjaa"
"Edit Queue","Muokkaa lähetysjonoa"
"Edit Template","Muokkaa pohjaa"
"Email","Sähköposti"
"Enter your email address","Kirjoita sähköpostiosoitteesi"
"Error Code","Virhekoodi"
"Error Text","Virheteksti"
"Form was filled incorrectly","Lomakkeen täysössä virhe"
"Guest","Vieras"
"ID","tunniste"
"Invalid queue selected","Virheellinen lähetyjono valittu"
"Invalid subscriber ID","Virheellinen tilaajatunniste"
"Invalid subscription ID","Virheellinen tilaustunniste"
"Invalid subscription confirmation code","Virheellinen tilauksen vahvistuskoodi"
"Message","Viesti"
"Need to Confirm","Vaatii vahvistuksen"
"New Newsletter Template","Uusi uutiskirjeen pohja"
"New Template","Uusi pohja"
"Newsletter","Uutiskirje"
"Newsletter Message Preview","Uutiskirjeen viestin esikatselu"
"Newsletter Problem Reports","Uutiskirjeiden ongelmaraportit"
"Newsletter Queue","Uutiskirjeen lähetysjono"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Uutiskirjeen tilaus"
"Newsletter Subscribers","Uutiskirjeen tilaajat"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Uutiskirjeiden tilaukset"
"Newsletter Templates","Uutiskirjeiden pohjat"
"Newsletter subscription confirmation","Uutiskirjeen tilauksen vahvistaminen"
"Newsletter subscription success","Uutiskirjeen tilaus onnistui"
"Newsletter unsubscription success","Uutiskirjeen tilaus peruttu"
"No Templates Found","Pohjia ei löydetty"
"No problems found","Ongelmia ei löydetty"
"No subscribers selected","Tilaajia ei ole valittu"
"Not Sent","Ei lähetetty"
"Not activated","Ei aktivoitu"
"Pause","Pysäytä"
"Paused","Pysäytetty"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Anna uusi pohjan nimi"
"Please select subscriber(s)","Valitse tilaaja(t)"
"Preview","Esikatselu"
"Preview Template","Esikatsele pohja"
"Processed","Prosessoitu"
"Queue Date Start","Lähetysjonon aloituspäivä"
"Queue Finish","Lähetysjonon loppu"
"Queue Information","Lähetysjonon tiedot"
"Queue Newsletter","Uutiskirje lähetysjonoon"
"Queue Start","Lähetysjonon alku"
"Queue Subject","Lähetysjonon aihe"
"Recipients","Vastaanottajat"
"Reset","Tyhjennä"
"Resume","Jatka"
"Return Html Version","Palaa html-versioon"
"Save And Resume","Tallenna ja jatka"
"Save As","Tallenna nimellä"
"Save Newsletter","Tallenna uutiskirje"
"Save Template","Tallenna pohja"
"Selected problem subscribers successfully unsubscribed","Valitut ongelmat poistettu"
"Selected problems successfully deleted","Valitut ongelmat poistettu"
"Sender","Lähettäjä"
"Sender Email","Lähettäjän sähköposti"
"Sender Name","Lähettäjän nimi"
"Sending","Lähetetään"
"Sending Options","Sending Options"
"Sent","Lähetetty"
"Set Return-Path","Set Return-Path"
"Sign me up","Tilaa"
"Sign up for our newsletter:","Tilaa uutiskirjeemme."
"Start","Aloita"
"Status","Tila"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Subject","Aihe"
"Subscribe","Tilaa"
"Subscribed","Subscribed"
"Subscriber","Tilaaja"
"Subscribers","Tilaajat"
"Subscribers From","Tilaajien lähettäjä-kenttä"
"Subscription Options","Tilauksen asetukset"
"Success Email Sender","Onnistumisilmoituksen sähköpostin lähettäjä-kenttä"
"Success Email Template","Onnistumisilmoituksen sähköpostin pohja"
"Template Content","Pohjan sisältö"
"Template Information","Pohjan tiedot"
"Template Name","Pohjan nimi"
"Template Subject","Pohjan aihe"
"Template Type","Pohjan tyyppi"
"Thank you for your subscription","Kiitos uutiskirjeen tilauksesta!"
"The subscription was successfully saved","Tilaus tallennettu"
"There was a problem with the subscription","Tilaamisessa on ongelma"
"There was a problem with the subscription: %s","Tilaamisessa on ongelma: %s"
"There was a problem with the un-subscription.","Tilauksesi peruutuksessa on ongelma"
"There was an error while saving your subscription","Tilauksen tallennuksessa tapahtui virhe"
"Toggle Editor","Käytä editoria"
"Type","Tyyppi"
"Unsubscribe","Peruuta tilaus"
"Unsubscribe Selected","Peruuta valitut"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Perumisilmoituksen sähköpostin lähettäjä-kenttä"
"Unsubscription Email Template","Perumisilmoituksen sähköpostin pohja"
"View Newsletter","Katso uutiskirjettä"
"Website","Sivusto"
"You have been successfully unsubscribed.","Tilauksesi on peruttu."
"Your subscription was successfully confirmed","Tilauksesi on vahvistettu"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
