"# of Use","# käyttökertaa"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s tuote(tta)"
"(Copy data from: %s)","(Kopio data: %s)"
"(Will make search for the query above return results for this search.)","(Tekee haun yllä olevalla lausekkeella ja palauttaa tulokset tälle haulle)"
"* Required Fields","* Vaaditut tiedot"
"-- Please Select --","-- Valitse --"
"A name is required","Vaaditaan nimi"
"ALL GROUPS","KAIKKI RYHMÄT"
"AM","AM"
"Action","Toiminto"
"Add Attribute","Lisää ominaisuus"
"Add Design Change","Lisää ulkoasun muutos"
"Add Group","Lisää ryhmä"
"Add Items to Cart","Laita tuotteet ostoskoriin"
"Add New","Lisää uusi"
"Add New Attribute","Lisää uusi ominaisuus"
"Add New Attribute Set","Lisää uusi ominaisuuskokonaisuus"
"Add New Group","Lisää uusi ryhmä"
"Add New Images","Lisää uusia kuvia"
"Add New Option","Lisää uusi vaihtoehto"
"Add New Row","Lisää uusi rivi"
"Add New Search Term","Lisää uusi hakusana"
"Add New Set","Lisää uusi kokonaisuus"
"Add Option","Lisää asetus"
"Add Product","Lisää tuote"
"Add Product To Websites","Lisää tuote sivustoille"
"Add Root Category","Lisää juurikategoria"
"Add Subcategory","Lisää alakategoria"
"Add Tax","Add Tax"
"Add Tier","Lisää määräalennus"
"Add to Cart","Laita ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to My Wishlist","Lisää toivelistaani"
"Add to Wishlist","Lisää toivelistaan"
"Additional Information","Lisätiedot"
"All","Kaikki"
"All Product Types","Kaikki tuotetyypit"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Salli HTML-sisältö asiakasnäkymässä"
"Allowed File Extensions","Sallitut tiedostopäätteet"
"Allowed file extensions to upload","Sallitut tiedostopäätteet"
"Amount","Amount"
"Apply To","Ota käyttöön"
"Apply To Configurable/Grouped Product","Ota käyttöön muokattavalle-/ryhmätuotteelle"
"Approved","Hyväksytty"
"Are you sure you want to delete this category?","Haluatko varmasti poistaa tämän kategorian?"
"Are you sure you would like to remove all products from your comparison?","Haluatko varmasti poistaa kaikki tuotteet vertailusta?"
"Are you sure you would like to remove this item from the compare products?","Haluatko varmasti poistaa tämän tuotteen tuotevertailusta?"
"Are you sure?","Oletko varma?"
"As low as:","Niinkin matala kuin:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Liitännäistuotteet"
"Attrib. Set Name","Ominaisuuskokonaisuuden nimi"
"Attribute Code","Ominaisuuden koodi"
"Attribute Information","Ominaisuuden tiedot"
"Attribute Label","Ominaisuuden nimike"
"Attribute Model","Ominaisuuden malli"
"Attribute Name:","Ominaisuuden nimi:"
"Attribute Properties","Ominaisuuden asetukset"
"Attribute Set","Ominaisuuksien kokonaisuus"
"Attribute group with the ""/name/"" name already exists","Nimi ""/name/"" on jo käytössä"
"Attribute model not defined","Ominaisuuden mallia ei ole määritelty"
"Attribute with the same code already exists","Ominaisuus samalla koodilla on jo olemassa"
"Attributes","Ominaisuudet"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Luo automaattisesti"
"Availability","Saatavuus"
"Availability: In stock.","Saatavuus: Varastossa."
"Availability: Out of stock.","Saatavuus: Loppu varastosta."
"Back","Takaisin"
"Backend Model","Hallinnoinnin malli"
"Backend Table","Hallinnoinnin taulukko"
"Backend Table Title","Hallinnoinnin taulukon otsikko"
"Backorders","Jälkitoimitukset"
"Base directory to upload image file is not specified","Juurihakemistoa kuvan siirtämistä varten ei ole määritelty"
"Based On","Perustuen"
"Best Value","Järjestysnumero"
"Block after Info Column","Omassa lohkossa tuotetietojen jälkeen"
"Bottom/Left","Alhaalla/vasemmalla"
"Bottom/Right","Alhaalla/oikealla"
"Browse By","Selaa"
"Buy %1$s for %2$s","Osta %1$s hintaan %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Osta %1$s hintaan %2$s (%3$s sis. verot) /kpl"
"Buy %1$s for %2$s each","Osta %1$s hintaan %2$s /kpl"
"Can be used only with catalog input type Dropdown","Voidaan käyttää vain katalogin syöttötyypin 'pudotus' kanssa"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Voidaan käyttää vain katalogin syöttötyypin 'pudotus' kanssa, moninkertainen valinta ja hinta"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Ostoskorin tuotteen ominaisuus"
"Catalog","Katalogi"
"Catalog Input Type for Store Owner","Katalogin syöttötyyppi kaupan omistajalle"
"Catalog Price Scope","Katalogin hintanäkymä"
"Catalog Section","Catalog Section"
"Catalog, Search","Katalogi, haku"
"Categories","Kategoriat"
"Categories Sitemap","Kategorioiden sivukartta"
"Category","Kategoria"
"Category API","Category API"
"Category Data","Kategorian data"
"Category Navigation:","Kategorian navigaatio:"
"Category Products","Kategorian tuotteet"
"Category Top Navigation","Kategorian ylänavigaatio"
"Category URL Suffix","Kategorioiden URL:n pääte"
"Category attributes API","Category attributes API"
"Category delete error","Kategorian poistossa tapahtui virhe"
"Category deleted","Kategoria poistettu"
"Category move error","Kategorian siirrossa tapahtui virhe"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Kategoria tallennettu"
"Change","Muuta"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Muuta tilaa"
"Check items to add to the cart or","Valitse ostoskoriin lisättävät tuotteet tai"
"Choose an Option...","Valitse vaihtoehto..."
"Choose option...","Valitse vaihtoehto..."
"Clear All","Clear All"
"Clear All Items","Tyhjennä kaikki rajaukset..."
"Close Window","Sulje ikkuna"
"Collapse All","Sulje kaikki"
"Comparable","Vertailtava"
"Comparable on Front-end","Vertailtava kaupan asiakasnäkymässä"
"Compare Items","Vertaile tuotteita"
"Compare Products","Tuotevertailu"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Tuotevertailu - %d tuotetta"
"Compare Products List","Tuotevertailun lista"
"Compare list successfully cleared","Tuotevertailun lista tyhjennetty"
"Conditions Combination","Ehtojen yhdistelmä"
"Configurable Product","Muokattava tuote"
"Configurable Product Settings","Muokattavan tuotteen asetukset"
"Continue","Jatka"
"Copy From Configurable","Kopioi muokattavasta"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Luo tyhjä"
"Create Product Settings","Luo tuotteen asetukset"
"Create Simple Associated Product","Luo yksinkertainen liitännäistuote"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","Tyrkytettävät tuotteet"
"Currently Shopping by","Tämänhetkinen rajaus:"
"Custom Design","Mukailtu ulkomuoto"
"Custom Options","Muokattavat ominaisuudet"
"Customer Group","Asiakasryhmä"
"Customers Reviews","Asiakkaiden arvostelut"
"Customers Tagged Product","Asiakkaat merkitsivät tuotteen asiasanoilla"
"Customers for alert %s was successfuly added to queue","Hintahälytykselle %s lisätty asiakkaat jonoon."
"Data Type for Saving in Database","Tiedostotyyppi tietokantaan tallennusta varten"
"Date","Päivämäärä"
"Date & Time Custom Options","Päivämäärän ja ajan lisäasetukset"
"Date Subscribed","Tilauspäivä"
"Date fields order","Päivämäärän tietojen järjestys"
"Datetime","Aika"
"Decimal","Desimaali"
"Decimal Number","Desimaalinumero"
"Declare attribute value saving scope","Aseta ominaisuuden arvon tallennusnäkymä"
"Default Qty","Oletetusmäärä"
"Default Values","Oletusarvot"
"Default price","Oletushinta"
"Default value","Oletusarvo"
"Delete","Poista"
"Delete Attribute","Poista ominaisuus"
"Delete Attribute Set","Poista ominaisuuskokonaisuus"
"Delete Category","Poista kategoria"
"Delete Option","Poista vaihtoehto"
"Delete Row","Delete Row"
"Delete Search","Poista haku"
"Delete Selected Group","Poista valittu ryhmä"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Riippuvainen teemasta"
"Design","Ulkoasu"
"Disabled","Ei käytössä"
"Display in Suggested Terms","Näytä ehdotetuissa hakusanoissa"
"Double click on a group to rename it","Tuplaklikkaa ryhmään nimetäksesi se uudelleen"
"Double click on above image to view full picture","Tuplaklikkaa kuvaa nähdäksesi sen kokonaan"
"Dropdown","Pudotus"
"Duplicate","Kaksoiskappale"
"Duplicate website tier price customer group and quantity.","Kahdenna (tee kaksoiskappale) sivuston määräalennus, asiakasryhmä ja määrä."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","Muokkaa"
"Edit Attribute Set '%s'","Muokkaa ominaisuuksien joukkoa '%s'"
"Edit Product Attribute","Muokkaa tuotteen ominaisuutta"
"Edit Product Attribute ""%s""","Muokkaa tuotteen ominaisuutta ""%s"""
"Edit Search","Muokkaa hakua"
