"* Required Fields","* Vaaditut tiedot"
"A new password was sent","Uusi salasana lähetetty"
"Account Dashboard","Asiakastilin kojelauta"
"Account Information","Käyttäjätiedot"
"Account Sharing Options","Asiakastilin jakamisen vaihtoehdot"
"Account information was successfully saved","Tilitietojen tallennus onnistui"
"Action","Toiminto"
"Add New Address","Lisää uusi osoite"
"Add New Customer","Lisää uusi asiakas"
"Add New Customer Group","Lisää uusi asiakasryhmä"
"Added From","Lisätty kohteesta"
"Additional Address Entries","Lisäosoitteet"
"Address","Osoite"
"Address Book","Osoitekirjani"
"Address Information","Osoitetiedot"
"Addresses","Osoitteet"
"Admin","Ylläpitäjä"
"All","Kaikki"
"All Store Views","Kaikki kauppanäkymät"
"All countries","Kaikki maat"
"Always optional","Always optional"
"Amount","Summa"
"Approved","Hyväksytty"
"Are you sure that you want to remove this item?","Haluatko varmasti poistaa tämän tuotteen?"
"Are you sure you want to cancel adding of this address?","Haluatko varmasti peruuttaa tämän osoitelisäyksen?"
"Are you sure you want to delete this address?","Haluatko varmasti poistaa tämän osoitteen?"
"Are you sure?","Oletko varma?"
"Array of Entity collections is expected","Kokonaisuuskokoelman joukko on odotettavissa"
"Assign a customer group","Aseta käyttäjäryhmä"
"Average Sale","Myynnin keskiarvo"
"Back","Takaisin"
"Back to Login","Takaisin kirjautumiseen"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Laskutustiedot"
"Bought From","Ostettu kohteesta"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Asiakastilin luominen kauppaamme nopeuttaa tilauksen käsittelyä ja sallii useiden toimitusosoitteiden käytön, sekä antaa mahdollisuuden seurata tilaushistoriaa."
"CSV","CSV"
"Can't save address","Osoitetta ei voida tallentaa"
"Can't save customer","Asiakasta ei voida tallentaa"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Peruuta"
"Change Account Password","Vaihda asiakastilin salasana"
"Change Billing Address","Muokkaa laskutusosoitetta"
"Change Password","Vaihda salasana"
"Change Shipping Address","Muokkaa lähetysosoitetta"
"City","Kaupunki"
"Company","Yritys"
"Config","Asetukset"
"Confirm New Password","Vahvista uusi salasana"
"Confirm Password","Vahvista salasana"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Vahvistettu"
"Contact Information","Yhteystiedot"
"Continue Shopping","Jatka ostoksia"
"Country","Maa"
"Create","Create"
"Create New Account Options","Uuden tilin luomisen vaihtoehdot"
"Create New Customer Account","Luo uusi asiakastili"
"Create Order","Luo tilaus"
"Create an Account","Luo asiakastili"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Nykyinen salasana"
"Customer","Asiakas"
"Customer Addresses","Asiakkaiden osoitteet"
"Customer Api","Customer Api"
"Customer Configuration","Asiakasasetukset"
"Customer Group","Asiakasryhmä"
"Customer Group was successfully deleted","Asiakasryhmä poistettu"
"Customer Group was successfully saved","Asiakasryhmä tallennettu"
"Customer Groups","Asiakasryhmät"
"Customer Information","Asiakstiedot"
"Customer Login","Asiakaskirjautuminen"
"Customer Since","Asiakas alkaen"
"Customer View","Asiasnäkymä"
"Customer collection expected","Asiakaskokoelma odotettavissa"
"Customer doesn't have primary billing address","Asiakkaalla ei ole ensisijaista laskutusosoitetta"
"Customer email already exists","Sähköpostiosoite on jo olemassa."
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Asiakkaat"
"Customers Only","Vain asiakkaille"
"Customers Section","Customers Section"
"DD","DD"
"Date","Päivämäärä"
"Date Added","Lisätty"
"Date of Birth","Syntymäaika"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Päiviä toivelistalla"
"Default Addresses","Ensisijaiset osoitteet"
"Default Billing Address","Ensisijainen laskutusosoite"
"Default Email Domain","Oletussähköpostin domain"
"Default Group","Oletusryhmä"
"Default Shipping Address","Ensisijainen lähetysosoite"
"Default Welcome Email","Default Welcome Email"
"Delete","Poista"
"Delete Address","Poista osoite"
"Delete Customer","Poista asiakas"
"Delete Customer Group","Poista asiakasryhmä"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Poistetut kaupat"
"Details","Yksityiskohdat"
"Disabled","Ei käytössä"
"Edit","Muokkaa"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Muokkaa asiakastilin tietoja"
"Edit Address","Muokkaa osoitetta"
"Edit Address Entry","Muokkaa osoitetietoa"
"Edit Customer Group ""%s""","Muokkaa asiakasryhmää ""%s"""
"Edit Customer Groups","Muokkaa asiakasryhmiä"
"Edit Customer's Address","Muokkaa asiakkaan osoitetta"
"Edit Group","Muokkaa ryhmää"
"Edit Newsletter Subscription","Muokkaa uutiskirjeen tilausta"
"Edit Newsletters","Muokkaa uutiskirjeitä"
"Edit Personal Information","Muokkaa henkilökohtaisia tietoja"
"Email","Sähköposti"
"Email Address","Sähköpostiosoite"
"Email Sender","Sähköpostin lähettäjä"
"Entity collection is expected","Kokonaisuuskokoelma on odotettavissa"
"Error during retrieval of option value: %s","Virhe haettaessa arvoa vaihtoehdolle: %s"
"Ext. Price","Tarkka hinta"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Faksi"
"First Name","Etunimi"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Uuden salasanan lähettäjä"
"Forgot Email Template","Sähköpostipohja uuden salasanan kyselylle"
"Forgot Your Password?","Unohditko salasanasi?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Voit luoda pikakatsauksen kojelaudassa viimeisimmistä tapahtumista asiakastililläsi, sekä muuttaa tilisi tietoja. Pääset katselemaan tai muokkaamaan tietojasi seuraavasta linkistä."
"General Subscription","Yleinen tilaus"
"Global","Globaali"
"Go to Address Book","Osoitekirjaan"
"Grand Total","Loppusumma"
"Grand Total: %s","Loppusumma: %s"
"Group","Ryhmä"
"Group ""%s"" can not be deleted","Ryhmää ""%s"" ei voida poista"
"Group Information","Ryhmän tiedot"
"Group Name","Ryhmän nimi"
"Guest","Vieras"
"HTML","HTML"
"Hello, %s!","Hei, %s!"
"ID","ID"
"IP Address","IP-osoite"
"If you have an account with us, please log in.","Jos sinulla on jo asiakastili, ole hyvä ja kirjaudu sisään."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Virheellinen ominaisuuden vaihtoehto määritelty ominaisuudelle %s (%s), hypätään tietueen yli"
"Invalid attribute set specified, skipping the record","Virheellinen ominaisuuksien joukko määritetty, hypätään tietueen yli"
"Invalid current password","Nykyinen salasana on väärä"
"Invalid customer data","Virheellinen asiakastieto"
"Invalid email address","Virheellinen sähköpostiosoite"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Väärä käyttäjätunnus tai salasana."
"Invalid option id specified for %s (%s), skipping the record","Virheellinen vaihtoehdon tunnus määritelty %s (%s), hypätään tietueen yli"
"Invalid store specified, skipping the record","Virheellinen kauppa määritelty, hypätään tietueen yli"
"Items Order","Tuotetilaus"
"Last 5 Orders","Viimeiset 5 tilausta"
"Last Activity","Viimeisin aktiviteetti"
"Last Name","Sukunimi"
"Last Url","Viimeinen osoite"
"Last Viewed Items","Viimeisimmäksi katsotut tuotteet"
"Last date subscribed","Viimeksi tilattu"
"Last date unsubscribed","Viimeisin päivä jolloin peruttu"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Kaikki myynnit"
"Log In","Kirjaudu sisään"
"Log Out","Kirjaudu ulos"
"Log in or Create an Account","Kirjaudu sisään tai luo uusi asiakastili"
"Login","Kirjaudu"
"Login Information","Kirjautumisen tiedot"
"Login and password are required","Vaaditaan käyttäjätunnus ja salasana"
"Login or Create an Account","Kirjaudu sisään tai luo uusi asiakastili"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Hallinnoi osoitteita"
"Manage Customers","Hallinnoi asiakkaita"
"Missing email, skipping the record","Sähköposti puuttuu, hypätään tietueen yli"
"Missing firstname, skipping the record","Etunimi puuttuu, hypätään tietueen yli"
"Missing lastname, skipping the record","Sukunimi puutuu, hypätään tietueen yli"
"Month","Month"
"My Account","Omat tiedot "
"My Account Dashboard","Asiakastilin ohjauspaneeli"
"My Dashboard","Kojelautani"
"My Orders","Tilaukseni "
"My Reviews","Arvosteluni"
"My Tags","Asiasanani"
"My Wishlist","Toivelistani"
"Name","Nimi"
"Name and Address Options","Name and Address Options"
"Never","Ei koskaan"
"New Address","Uusi osoite"
"New Address Entry","Uusi osoite"
"New Customer","Uusi asiakas"
"New Customer Address","Uusi asiakkaan osoite"
"New Customer Group","Uusi asiakasryhmä"
"New Customer Groups","Uudet asiakasryhmät"
"New Customers","Uudet asiakkaat"
"New Group","Uusi ryhmä"
"New Password","Uusi salasana"
"New account","Uusi asiakastili"
"New account confirmation key","New account confirmation key"
"New account confirmed","Uusi asiakastili vahvistettu"
"New password","Uusi salasana"
"Newsletter","Uutiskirje"
"Newsletter Finish","Uutiskirjeen loppu"
"Newsletter Information","Uutiskirjeen tiedot"
"Newsletter Received","Uutiskirje vastaanotettu"
"Newsletter Start","Uutiskirjeen alku"
"Newsletter Subscription","Uutiskirjeiden tilaukset"
"Newsletters","Uutiskirjeet"
"No Items Found","Ei löydettyjä kohtia"
"No Newsletter Found","Uutiskirjettä ei löytynyt"
"No item specified.","No item specified."
"No product collections found","Tuotekokoelmaa ei löytynyt"
"Not Sent","Ei lähetetty"
"Not confirmed, can login","Ei vahvistettu, kirjautuminen sallittu"
"Not confirmed, cannot login","Ei vahvistettu, kirjautuminen estetty"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Offline"
"Online","Online"
"Online Customers","ONLINE-asiakkaat"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Tilaus #"
"Order #%s (%s)","Tilaus #%s (%s)"
"Order List...","Tilauslista"
"Order Total","Tilauksen kokonaissumma"
"Orders","Tilaukset"
"PDF","PDF"
"Password","Salasana"
"Password Management","Salasanojen hallinta"
"Password Options","Salasanan vaihtoehdot"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Salasanakenttiä ei voi jättää tyhjiksi."
