"-- Please Select --","-- Valitse --"
"Add New Class","Lisää uusi luokka"
"Add New Tax Rate","Lisää uusi verokanta"
"Add New Tax Rule","Lisää uusi verosääntö"
"Apply Discount On Prices Including Tax","Lisää alennus verollisiin hintoihin"
"Apply Tax After Discount","Lisää vero alennuksen jälkeen"
"Apply Tax On","Lisää vero"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Back","Takaisin"
"CSV","CSV"
"Calculation","Laskenta"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Luokan nimi"
"Code","Code"
"Country","Maa"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Kunta"
"Custom price if available","Muokattuun hintaan jos saatavilla"
"Customer Tax Class","Asiakkaan veroluokka"
"Customer Tax Class Information","Asiakkaan veroluokan tiedot"
"Customer Tax Classes","Asiakkaiden veroluokat"
"Default Country","Oletusmaa"
"Default Post Code","Oletuspostinumero"
"Default State","Oletusosavaltio"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Poista luokka"
"Delete Rate","Poista verokanta"
"Delete Rule","Poista sääntö"
"Display","Näkymä"
"Display Cart/Order Prices","Näytä ostoskorin/tilauksen hinnat"
"Display Product Prices","Näytä tuotteiden hinnat"
"Display Shipping Prices","Näytä toimitusten hinnat"
"Display Zero Tax Subtotal","Näytä veroton välisumma"
"Display full tax summary","Näytä veroerittely"
"Edit Class","Muokkaa luokkaa"
"Edit Class '%s'","Muokkaa luokkaa '%s'"
"Edit Rule","Muokkaa sääntöä"
"Edit Tax Rate","Muokkaa verokantaa"
"Error while deleting this class. Please try again later.","Veroluokkaa poistettaessa tapahtui virhe. Yritä myöhemmin uudestaan."
"Error while deleting this rate. Incorrect rate ID","Verokantaa poistettaessa tapahtui virhe. Verokannalla on väärä Tunniste."
"Error while deleting this rate. Please try again later.","Verokantaa poistettaessa tapahtui virhe. Yritä myöhemmin uudestaan."
"Error while deleting this tax rule. Please try again later.","Verosääntöä poistettaessa tapahtui virhe. Yritä myöhemmin uudestaan."
"Error while saving this rate. Please try again later.","Verokantaa poistettaessa tapahtui virhe. Yritä myöhemmin uudestaan."
"Error while saving this tax class. Class with the same name ","Veroluokkaa tallennettaessa tapahtui virhe. Luokka samalla nimellä."
"Error while saving this tax class. Please try again later.","Veroluokkaa tallennettaessa tapahtui virhe. Yritä myöhemmin uudestaan."
"Error while saving this tax rule. Please try again later.","Verosääntöä tallennettaessa tapahtui virhe. Yritä myöhemmin uudestaan."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Veroton"
"Excl. Tax:","Veroton:"
"Excluding tax","Ilman veroja"
"Export Tax Rates","Vie verokannat"
"Ignored when 'Apply Tax After Discount' option is enabled","Ohitetaan jos 'Lisää vero alennuksen jälkeen' on käytössä"
"Import / Export Tax Rates","Tuo/vie verokantoja"
"Import Tax Rates","Tuo verokantoja"
"Inc. Tax","Verollinen hinta"
"Incl. Tax","Verollinen"
"Incl. Tax:","Verollinen:"
"Including and excluding tax","Ilman veroja ja sisältäen verot"
"Including tax","Sisältäen verot"
"Incorrect rate Data","Virheellinen verokannan data"
"Invalid data for tax rate calculation","Virheellinen data verokannan laskemiselle"
"Invalid file format upload attempt","Virheellinen tiedostotyyppi siirtoyritykselle"
"Invalid file upload attempt","Virheellinen tiedostonsiirtoyritys"
"Manage Customer Tax Classes","Hallinnoi asiakkaiden veroluokkia"
"Manage Product Tax Classes","Hallinnoi tuotteiden veroluokkia"
"Manage Tax Rates","Hallinnoi verokantoja"
"Manage Tax Rules","Hallinnoi verosääntöjä"
"Manage Tax Zones & Rates","Hallinnoi verokantoja"
"Name","Name"
"New Class","Uusi luokka"
"New Rule","Uusi sääntö"
"New Tax Rate","Uusi verokanta"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Vain alkuperäiseen hintaan"
"Please select Country","Valitse maa"
"Please select County","Valitse kunta"
"Please select State","Valitse osavaltio"
"Priority","Priority"
"Product Tax Class","Tuotteen veroluokka"
"Product Tax Class Information","Tuotteen veroluokan tiedot"
"Product Tax Classes","Tuotteiden veroluokat"
"Rate","Rate"
"Reset","Tyhjennä"
"Sales","Myynti"
"Save Class","Tallenna luokka"
"Save Rate","Tallenna kanta"
"Save Rule","Tallenna sääntö"
