"Add New Row","Lisää uusi rivi"
"An error occurred while saving the file(s).","Virhe tiedoston tallennuksessa."
"Availability: In stock.","Saatavuus: Varastossa."
"Availability: Out of stock.","Saatavuus: Loppu varastosta."
"Back","Takaisin"
"Can't connect to remote host, error: %s","Osoitteeseen ei saada yhteyttä, virhe: %s"
"Canceled","Peruttu"
"Date","Päivämäärä"
"Default Link Title","Oletusarvo linkkien otsikolle"
"Default Maximum Number of Downloads","Oletusarvo latausten enimmäismäärälle"
"Default Sample Title","Oletusarvo näytteiden otsikolle"
"Disable Guest Checkout if cart contains downloadable items","Estä tilaaminen vierailta, jos ostoskorissa on ladattavia tuotteita"
"Downloadable Information","Downloadable Information"
"Downloadable Product","Ladattava tuote"
"Downloadable Product Options","Ladattavien tuotteiden asetukset"
"Downloadable product Section","Ladattava tuote -osio"
"Excl. Tax","Veroton"
"File","Tiedosto"
"File does not exists","Tiedostoa ei ole olemassa"
"From:","Alkaen:"
"Gift Message","Lahjaviesti"
"Go to <a href=""%s"">My Downloadable Products</a>","Mene <a href=""%s"">ladattaviin tuotteisiin</a>"
"Guest checkout will only work with shareable","Tilaaminen toimii vierailla vain, jos tuote on jaettava"
"Incl. Tax","Verollinen"
"Invalid download URL host","Väärä URL:n osoite"
"Invalid download URL scheme","Väärä URL:n skeema"
"Invalid download link type","Väärä linkin tyyppi"
"Invoiced","Laskutettu"
"Link has expired.","Linkki on vanhentunut."
"Link is not available.","Linkki ei ole saatavilla."
"Links can be purchased separately","Linkit voidaan ostaa erikseen"
"Max. Downloads","Latausten enimmäismäärä"
"Message:","Viesti:"
"My Downloadable Products","Ladattavat tuotteeni"
"Open Links in New Window","Avaa linkit uudessa ikkunassa"
"Order #","Tilaus #"
"Order Item Status to enable Downloads","Salli tilatun tuotteen lataus, kun sen tila on"
"Ordered","Tilattu"
"Pending","Odottaa"
"Please log in to download your product.","Kirjaudu sisään latausta varten."
"Please set resource file and link type","Aseta tiedosto ja linkin tyyppi"
"Please specify product link(s).","Määrittele tuotteen linkit."
"Price","Hinta"
"Refunded","Palautettu"
"Remaining Downloads","Jäljellä olevat lataukset"
"Remove item","Poista"
"Requested link doesn't exist.","Linkkiä ei ole olemassa."
"Sample","Näyte"
"Shareable","Jaettava"
"Shipped","Toimitettu"
"Sorry, the was an error getting requested content. Please contact store owner.","Virhe haettaessa pyydettyä sisältöä. Ota yhteyttä kaupan asiakaspalveluun."
"Sorry, there was an error getting requested content","Virhe haettaessa pyydettyä sisältöä."
"Sorry, there was an error getting requested content. Please contact store owner.","Virhe haettaessa pyydettyä sisältöä. Ota yhteyttä kaupan asiakaspalveluun."
"Sort Order","Järjestys"
"Start Download","Aloita lataaminen"
"Status","Tila"
"Title","Otsikko"
"To:","Päättyen:"
"U","U"
"Unlimited","Rajoittamaton"
"View Order","Tarkastele tilausta"
"You have not purchased any downloadable products yet.","Et ole vielä ostanut yhtään ladattavaa tuotetta."
"attachment","Liite"
"download","lataa"
"inline","inline"
"sample","näyte"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
