"-- Please Select --","-- Valitse --"
"Account Registration","Tilin rekisteröinti"
"All fields of script types have to be filled.","All fields of script types have to be filled."
"Attributes","Attributes"
"Category View Optimization","Category View Optimization"
"Control Script","Control Script"
"Conversion Page","Conversion Page"
"Conversion Page URL","Conversion Page URL"
"Conversion Script","Conversion Script"
"Enable","Käytössä"
"Google Optimizer Scripts","Google Optimizer Scripts"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Asennusskriptit"
"Limit is 8 attributes only.","Limit is 8 attributes only."
"Multi Address Checkout","Multi Address Checkout"
"One Page Checkout","One Page Checkout"
"Order Success (Multi Address Checkout)","Order Success (Multi Address Checkout)"
"Order Success (One Page Checkout)","Order Success (One Page Checkout)"
"Original Page","Original Page"
"Other","Muu"
"Page Type","Sivun tyyppi"
"Page View Optimization","Sivunäkymän optimointi"
"Please copy and paste this value to experiment edit form","Please copy and paste this value to experiment edit form"
"Please select store view to see the URL","Please select store view to see the URL"
"Product View Optimization","Tuotenäkymän optimointi"
"Scripts Install URL","Skriptien asennus URL"
"Shopping Cart","Ostoskori"
"Tracking Script","Seurantaskripti"
"Use Default","Käytä oletusta"
"Use Default Values","Käytä oletusarvoja"
"Variant Page","Variant Page"
