"* Select shipping method","* Valitse toimitustapa"
"AVS Status: %s","Osoitteenvahvistuksen tila: %s"
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"Allowed Methods","Allowed Methods"
"Amount: %s","Summa: %s"
"Auto-generated from GoogleCheckout Charge","Automaattisesti muodostettu GoogleCheckout-maksusta"
"Buyer account age: %s days","Ostajan tili olemassa: %s päivää"
"CC Partial: xxxx-%s","Luottokortin tunnusosa: xxxx-%s"
"CID Status: %s","Asiakastunnisteen tila: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"Cart Discount","Ostoskorin alennus"
"Checkout Image Style","Tarkista kuvan muoto"
"Continue Shopping URL","'Jatka ostamista'-osoite"
"Debug","Etsi ja poista virheet"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Default price:","Oletushinta:"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","Suojauskelpoisuus: %s"
"Enable","Ota käyttöön"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","Erääntyy: %s"
"Financial: %s -> %s","Varat: %s -> %s"
"Free Shipping","Free Shipping"
"Fulfillment: %s -> %s","Täyttyminen: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google-maksun varmenne:"
"Google Buyer Id: %s","Google-ostajan tunniste: %s"
"Google Charge:","Google-maksu:"
"Google Checkout","Google-oston kassa"
"Google Checkout Shipping - Carrier Calculated","Google-oston toimitus - Toimittajan laskema"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google-oston toimitus - Kiinteä hinta"
"Google Checkout Shipping - Merchant Calculated","Google-oston toimitus - Myyjän laskema"
"Google Checkout: %s","Google Checkout (kassa): %s"
"Google Order Number: %s","Google-tilauksen numero: %s"
"Google Refund:","Google-tilauksen palautus:"
"Google Risk Information:","Google-ostojen riskit:"
"Google order status change:","Google-tilauksen tilan muuttaminen:"
"Hide Cart Contents During Checkout","*Piiloita Ostoskorin sisältö kassalle mentäessä"
"IP Address: %s","IP-osoite: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","Automaattinen laskun luonti: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Large - %s"
"Latest Charge: %s","Viimeisin maksu: %s"
"Latest Refund: %s","Viimeisin palautus: %s"
"Location","Alue"
"Medium - %s","Medium - %s"
"Merchant ID","Myyjän tunniste (ID)"
"Merchant Key","Myyjän avain"
"Method","Method"
"New order status","Uuden tilauksen tila"
"No","No"
"Optional, leave empty for home page.","Vapaaehtoinen, jätä tyhjäksi kotisivua varten."
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Sandbox","Testiympäristö"
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Total Charged: %s","Yhteensä laskutettu: %s"
"Total Refunded: %s","Yhteensä palautettu: %s"
"Transparent","Transparent"
"United Kingdom","United Kingdom"
"United States","United States"
"Virtual item to reflect discount total","Näennäistuote kuvaamaan kokonaisalennusta"
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
