"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Linkki</a>"
"Access denied to destination folder ""%s""","Pääsy kielletty kansioon ""%s"""
"Could not load file: ""%s""","Tiedoston lataus epäonnistui: ""%s"""
"Could not save file: %s","Tiedoston tallennus epäonnistui: %s"
"Declared adapter %s not found","Ilmoitettua sovitinta %s ei löydetä"
"Destination folder ""%s"" does not exist or not access to create","Kohdekansiota ""%s"" ei ole olemassa tai ei voida luoda"
"Destination folder ""%s"" is not a directory","Kohdekansio ""%s"" ei ole kansio"
"Destination folder ""%s"" is not a writeable","Kohdekansio ""%s"" ei ole kirjoitettavissa"
"Done","Tehty"
"Dry run set, stopping execution","Testi-ajo asetettu, suoritus lopetetaan"
"ETA: %s","Arvioitu aika: %s"
"Error field mapping! Fields list for mapping is not defined","Virhe kenttien kartoituksessa! Kenttien listaa kartoitukselle ei ole määritetty"
"Error occured during file opening: ""%s""","Tapahtui virhe avatessa tiedostoa: ""%s"""
"File ""%s"" don't exist","Tiedostoa ""%s"" ei ole olemassa"
"Found %d rows","Löydettiin %d riviä"
"Less than a minute","Alle yksi minuutti"
"Loaded successfully: ""%s""","Lataaminen onnistui: ""%s"""
"Memory Used: %s","Muistia käytetty: %s"
"Method ""%s"" not defined in adapter %s","Menetelmää ""%s"" ei ole määritetty sovittimessa %s"
"Please declare ""adapter"" and ""method"" node first","Aseta ""sovitin"" ja ""menetelmä"" ensin"
"Processed records: %s","Prosessoidut tietueet: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Tallennus onnistui: ""%s"" [%d tavu(a)]"
"Sheet 1","Liuska 1"
"Skip undefined row","Ohitetaan tunnistamaton rivi"
"Starting %s :: %s","Aloitetaan %s :: %s"
"Total records: %s","Tietueiden kokonaismäärä: %s"
"hour","tunti"
"hours","tunnit"
"minute","minuutti"
"minutes","minuuttia"
