"%s already exist","%s on jo olemassa"
"%s already exists","%s on jo olemassa"
"-- Please Select --","-- Valitse --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Lisää kaupan koodi osoitteisiin"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Edistynyt"
"Allow countries","Salli maat"
"Allowed IPs (comma separated)","Sallitut IP:t (erotettu pilkuin)"
"Are you sure?","Oletko varma?"
"Back","Takaisin"
"Backup options","Backup options"
"Base JavaScript URL","JavaScript juuriosoite"
"Base Link URL","Linkkien juuriosoite"
"Base Media URL","Median juuriosoite"
"Base Skin URL","Ulkoasun tyylin osoite"
"Base URL","Juuriosoite"
"Before modifying the store view code please make sure that it is not used in index.php","Ennen kuin muutat kaupan näkymän koodia, tarkista ettei index.php käytä sitä"
"Before modifying the website code please make sure that it is not used in index.php","Ennen kuin muutat sivuston koodia, tarkista ettei index.php käytä sitä."
"Block with name ""%s"" already exists","Sisältölohko nimellä ""%s"" on jo olemassa"
"Blocks HTML output","Lohkojen HTML-sisällöt"
"Can't retrieve request object","Pyydettyä kohdetta ei voida noutaa"
"Can't retrieve entity config: %s","Ei voida noutaa kokonaisuuden kokoonpanoa: %s"
"Cancel","Peruuta"
"Cannot Delete Email Template","Sähköpostipohjaa ei voida poistaa"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Koodi"
"Collections Data","Kerätyt tiedot"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Ohjaustiedosto latautui mutta luokkaa ei ole olemassa"
"Cookie Domain","Evästeen domain"
"Cookie Lifetime","Evästeen elinaika"
"Cookie Path","Evästeen polku"
"Copyright","Copyright"
"Countries options","Maa-asetukset"
"Create Store","Luo kauppa"
"Create Store View","Luo kauppanäkymä"
"Create Website","Luo sivusto"
"Current package name","Nykyisen paketin nimi"
"Custom Design","Muokattu ulkoasu"
"Custom admin URL","Custom admin URL"
"Custom email 1","Mukautettu sähköposti 1"
"Custom email 2","Mukautettu sähköposti 2"
"Customer support","Asiakastuki"
"Date From","Päivämäärästä"
"Date To","Päivämäärään"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Virheenkorjaus"
"Default","Oletus"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","Oletussivut"
"Default Robots","Default Robots"
"Default Store","Oletuskauppa"
"Default Store View","Oletettu kauppanäkymä"
"Default Title","Oletusotsikko"
"Default country","Oletusmaa"
"Default no-route url","Oletus 'ei reittiä'-osoite"
"Default web url","Oletussivun osoite"
"Delete","Poista"
"Delete Store","Poista kauppa"
"Delete Store View","Poista kauppaäkymä"
"Delete Website","Poista sivusto"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Ulkoasu"
"Design Change","Ulkomuodon vaihdos"
"Developer","Kehittäjä"
"Developer Client Restrictions","Kehittäjän rajoitukset"
"Disable email communications","Poista sähköpostien lähetys käytöstä"
"Disable modules output","Poista moduulit näkyvistä"
"Duplicate Of Template Code","Ulkoasukoodin kopio"
"Edit Design Change","Muokkaa ulkomuodon vaihdosta"
"Edit Store","Muokkaa kauppaa"
"Edit Store View","Muokkaa kauppanäkymää"
