"%s and greater","%s ja suurempi"
"Advanced Search","Laajennettu Haku"
"All","Kaikki"
"Applies for ""Like"" Search type only","Käytetään vain ""Like""-tyyppisessä haussa"
"Apply Layered Navigation if search results are less than","Näytä rajausvaihtoehdot, jos hakutuloksia on vähemmän kuin"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Ominaisuuden asetuksien muuttaminen vaikuttaa hakuindeksiin. <a href=""%s"">Suorita hakuindeksin uudelleenrakennus.</a>"
"Autogenerated site map","Automaattinen sivukartta"
"Catalog Advanced Search","Katalogin laajennettu haku"
"Catalog Search","Katalogin haku"
"Don't see what you're looking for?","Etkö löytänyt haluamaasi tuotetta?"
"Go","Hae"
"Go to Home Page","Etusivulle"
"Grid","Ruudukko"
"Home","Etusivu"
"List","Lista"
"Maximum Query Length","Hakulausekkeen pituus enintään"
"Maximum Query Words Count","Hakulausekkeen sanojen määrä enintään"
"Maximum Search query  length is %s. Your query was cut.","Pisin sallittu hakulauseke on %s. Hakulausekettasi lyhennettiin."
"Minimal Query Length","Hakulausekkeen pituus vähintään"
"Modify your search","Muokkaa hakua"
"No","Ei"
"No items were found using the following search criteria.","Yhtään tuotetta ei löytynyt seuraavilla hakuehdoilla."
"Please enter ""0"" to enable layered navigation for any number of results","Syötä kenttään ""0"" näyttääksesi rajausvaihtoehdot riippumatta hakutulosten määrästä"
"Popular Search Terms","Suosituimmat hakutermit"
"Popular search terms","Suosituimmat hakutermit"
"Relevance","Vastaavuus"
"Required Fields","Vaaditut kentät"
"Results","Hakutulokset"
"Search","Hae"
"Search Settings","Hakuehdot"
"Search Site","Etsi sivustolta"
"Search Terms","Hakutermit"
"Search Type","Haun tyyppi"
"Search entire store here...","Etsi koko verkkokaupasta..."
"Search results for '%s'","Hakutulos haulle '%s'"
"Search results for: '%s'","Hakutulos haulle: '%s'"
"Subscribe to Feed","Tilaa syöte"
"There are no search terms available.","Ei hakuehtoja saatavilla."
"Yes","Kyllä"
"You have to specify at least one search term","Valitse vähintään yksi hakuehto"
"Your search returns no results.","Ei osumia haulle."
"up to %s","%s asti"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d tuote(tta)</strong> löytyi seuraavilla hakuehdoilla"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
