"Actions","Toiminnot"
"Active","Aktiivinen"
"Add New Rule","Lisää uusi Sääntö"
"Apply Rules","Liitä Sääntöjä"
"Attribute Set","Anna nimike"
"Catalog","Tuotekatalogi"
"Catalog Price Rule","Tuotealennus"
"Catalog Price Rules","Tuotealennusten säännöt"
"Category","Kategoria"
"Comments History","Kommenttihistoria"
"Conditions","Ehdot"
"Conditions (leave blank for all products)","Ehdot (jätä tyhjäksi kun valitset kaikki tuotteet)"
"Conditions Combination","Ehtoyhdistelmä"
"Credit Memos","Luottotilaukset"
"Customer Groups","Asiakasryhmät"
"Customer is new buyer: %s","Asiakas on uusi ostaja: %s"
"Customer registered: %s","Asiakas rekisteröity: %s"
"Date Expire","Eräpäivä"
"Date From","Päivämäärästä lähtien"
"Date Start","Alkamispäivä"
"Date To","Loppumispäivä"
"Delete Rule","Poista Sääntö"
"Description","Kuvaus"
"Description: %s","Kuvaus: %s"
"Edit Rule","Muokkaa Sääntöä"
"Edit Rule '%s'","Muokkaa Sääntöä '%s'"
"Expire at: %s","Erääntyy: %s"
"From Date","Päivämäärästä"
"General Information","Perustiedot"
"Gift Messages","Lahja-viestit"
"ID","ID"
"Inactive","Passiivinen"
"Invoices","Laskut"
"NOT LOGGED IN","EI KIRJAUTUNEENA SISÄÄN"
"Name: %s","Nimi: %s"
"New Rule","Uusi Sääntö"
"No","Ei"
"Options","Vaihtoehdot"
"Order Credit Memos","Tilauksen luottotiedot"
"Order Gift Messages","Lahjatilauksen viesti"
"Order History","Tilaushistoria"
"Order Invoices","Tilausten laskut"
"Order Shipments","Tilausten toimitukset"
"Priority","Prioriteetti"
"Product Attribute","Tuoteominaisuus"
"Promotions","Kampanjat"
"Rule Information","Sääntöjen tiedot"
"Rule Name","Säännön nimi"
"Rule was successfully deleted","Sääntö poistettu"
"Rule was successfully saved","Sääntö tallennettu"
"Rules were successfully applied","Sääntö liitetty"
"Save Rule","Tallenna sääntö"
"Save and Apply","Tallenna ja ota käyttöön"
"Shipments","Lähetykset"
"Start at: %s","Aloitus: %s"
"Status","Tila"
"Stop further rules processing","Keskeytä sääntöjen prosessointi"
"The page you are trying to save no longer exists","Sivu jota yrität tallentaa ei ole enää olemassa"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Sääntöä ei ole enää olemassa"
"To Date","Päivämäärään"
"Unable to apply rules","Sääntöjä ei voitu liittää"
"Unable to find a page to delete","Poistettavaa sivua ei löydy"
"Update product's %s %s: %s","Päivitä tuotteen %s %s: %s"
"Websites","Sivustot"
"Yes","Kyllä"
