"All Websites","Kaikki sivustot"
"Apply Percent Discounts To FPT","Lisää prosenttialennukset kiinteisiin veroihin"
"Apply Tax To FPT","Lisää normaali vero kiinteisiin veroihin"
"Display Prices In Emails","Näytä hinnat sähköposteissa"
"Display Prices In Product Lists","Näytä hinnat tuotelistassa"
"Display Prices In Sales Modules","Näytä hinnat myyntimoduuleissa"
"Display Prices On Product View Page","Näytä hinnat tuotesivulla"
"Enable FPT","Ota kiinteät verot käyttöön"
"Excluding FPT","Ilman kiinteää veroa"
"Excluding FPT, FPT description, final price","Sisältäen vain kuvauksen ja lopullisen hinnan"
"Fixed Product Tax","Fixed Product Tax"
"Fixed Product Taxes","Tuotteiden kiinteät verot"
"Include FPT In Subtotal","Sisällytä kiinteä vero välisummaan"
"Including FPT and FPT description [excl. FPT VAT]","Sisältäen kiinteän veron ja kuvauksen [ilman ALVia]"
"Including FPT and FPT description [incl. FPT VAT]","Sisältäen kiinteän veron ja kuvauksen [sis. ALV]"
"Including FPT only","Sisältäen vain kiinteän veron"
"Total","Yhteensä"
"Total incl. tax","Yhteensä verollinen"
