"--Please Select--","--Valitse--"
"<label>Make Check payable to:</label> %s","<label>Kirjoita maksuosoitus henkilölle:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Kirjoita maksuosoitus henkilölle</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Maksutapaa ei voida muokata koodilla: %s"
"Can not retrieve payment info model object.","Maksutietomallin kohdetta ei voida noutaa."
"Can not retrieve payment method instance","Maksutavan tapahtumaa ei voida noutaa."
"Can not retrieve payment method model object.","Maksutapamallin kohdetta ei voida noutaa."
"Card Verification Number","Kortin varmistusnumero"
"Check / Money order","Maksuosoitus"
"Credit Card Number","Luottokortin numero"
"Credit Card Number: %s","Luottokortin numero: %s"
"Credit Card Number: xxxx-%s","Luottokortin tunniste: xxxx-%s"
"Credit Card Type","Luottokorttityyppi"
"Credit Card Type: %s","Luottokorttityyppi: %s"
"Credit Card Types","Luottokorttityypit"
"Credit Card Verification","Luottokortin varmistaminen"
"Enabled","Käytössä"
"Expiration Date","Erääntymispäivä"
"Expiration Date: %s/%s","Erääntymispäivä: %s/%s"
"Make Check payable to","Kirjoita maksuosoitus henkilölle"
"Make Check payable to: %s","Kirjoita maksuosoitus henkilölle: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Month","Kuukausi"
"Name on Card","Kortinhaltija"
"Name on the Card: %s","Kortinhaltija: %s"
"New order status","Uuden tilauksen tila"
"Payment Methods","Maksutavat"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","Maksut määrätyistä maista"
"Payment from applicable countries","Maksu sallituista maista"
"Purchase Order Number","Ostoksen tilausnumero"
"Purchase Order Number: %s","Ostoksen tilausnumero: %s"
"Purchase order","Maksa tilaus"
"Saved CC","Tallennettu luottokortti"
"Send Check to","Lähetä maksuosoitus (kenelle)"
"Send Check to:","Lähetä maksuosoitus (kenelle):"
"Sort order","Järjestys"
"Title","Otsikko"
"What is this?","Mikä tämä on?"
"Year","Vuosi"
"Zero Subtotal Checkout","Tilauksen loppusumma"
