"Actions","Toiminnot"
"Add Answer","Lisää vastaus"
"Add New Answer","Lisää uusi vastaus"
"Add New Poll","Lisää uusi kysely"
"Answer Title","Vastauksen otsikko"
"Answer Title:","Vastauksen otsikko:"
"Answer was successfully saved","Vastaus tallennettu"
"Answer with the same title in this poll","Samalla otsikolla on jo vastaus tässä kyselyssä"
"Are you sure you want to delete it?","Haluatko varmasti poistaa sen?"
"Assigned Answers","Asetetut vastaukset"
"Closed","Kiinni"
"Community Poll","Yleisökysely"
"Date Closed","Sulkemispäivä"
"Date Posted","Osallistumispäivä"
"Delete","Poista"
"Delete Answer","Poista vastaus"
"Delete Poll","Poista kysely"
"Disallow voting in a poll multiple times from same IP-address","Estä kyseilyihin vastaaminen monta kertaa samasta IP-osoitteesta"
"Edit Answer '%s'","Muokkaa vastausta '%s'"
"Edit Poll '%s'","Muokkaa kyselyä '%s'"
"Edit Poll Answer","Muokkaa kyselyn vastausta"
"ID","tunniste"
"Invalid Answer","Virheellinen vastaus"
"New Poll","Uusi kysely"
"Number of Responses","Vastausten määrä"
"Open","Auki"
"Poll Answers","Kyselyn vastaukset"
"Poll Information","Kyselyn tiedot"
"Poll Manager","Kyselyjen hallinnointi"
"Poll Question","Kyselyn kysymys"
"Poll information","Kyselyn tiedot"
"Poll not exists","Kyselyä ei ole olemassa"
"Poll with the same question","Kysely samalla kysymyksellä"
"Save Answer","Tallenna vastaus"
"Save Poll","Tallenna kysely"
"Status","Tila"
"Unable to find answer to delete.","Poistettavaa vastausta ei löydetty"
"Visible In","Nähtävillä"
"Vote","Äänestä"
"Votes Count","Vastausten määrä"
"Votes Count:","Vastausten määrä:"
