"Add Recipient","Lisää vastaanottaja"
"Allow for Guests","Salli vieraille"
"Email Address","Sähköpostiosoite"
"Email Address:","Sähköpostiosoite:"
"Email templates","Sähköpostipohjat"
"Email to a Friend","Kerro kaverille"
"Email:","Sähköposti:"
"Enabled","Käytössä"
"Limit Sending By","Lähettämisen rajaus"
"Link to a friend was sent.","Linkki lähetettiin kaverillesi."
"Max Products Sent in 1 Hour","Tuotteiden enimmäismäärä tunnin sisällä"
"Max Recipients","Vastaanottajien enimmäismäärä"
"Maximum %d email addresses allowed.","Enintään %d sähköpostiosoitetta sallitaan."
"Message:","Viesti:"
"Name","Nimi"
"Name:","Nimi:"
"Recipient:","Vastaanottaja:"
"Remove Email","Poista sähköposti"
"Select email template","Valitse sähköpostipohja"
"Send email","Lähetä sähköposti"
"Send product to a friend","Lähetä tuotetieto kaverille"
"Sender:","Lähettäjä:"
"Some emails was not sent","Joitain sähköposteja ei lähetetty"
"Some problems with data.","Joitain ongelmia datan kanssa."
"You cannot email this product to a friend","Tuotetietoa ei voida lähettää kaverille"
"You cannot send more than %d times in an hour","Et voi lähettää useammin kuin %d kertaa tunnissa"
