"Alert Email Sender","Hälytyssähköpostin lähettäjä"
"Alert subscription was deleted successfully","Hälytyksen tilaus poistettu"
"Alert subscription was saved successfully","Hälytyksen tilaus tallennettu"
"Allow alert when product comes back in stock","Salli hälyttäminen kun tuotetta on taas varastossa"
"Allow alert when product price changes","Salli hälyttäminen kun tuotteen hinta muuttuu"
"Click here not to receive alerts for this product","Klikkaa tästä jos et halua hälytyksiä tästä tuotteesta"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin pohja"
"Frequency","Tiheys"
"Not enough parameters","Ei tarpeeksi parametreja"
"Please try again later","Ole hyvä ja yritä myöhemmin uudelleen"
"Price alert Email Template","Hintahälytyksen sähköpostipohja"
"Price:","Hinta:"
"Product Alerts","Tuotehälytykset"
"Product Alerts Run Settings","Tuotehälytysten ajojen asetukset"
"Product alerts Cron error","Tuotehälytysten cron-virhe"
"Product not found","Tuotetta ei löydetty"
"Product price alert","Tuotteen hintahälytys"
"Product stock alert","Tuotteen varastohälytys"
"Sign up for price alert","Tilaa hintahälytys"
"Sign up to get notified when this product is back in stock","Tilaa hälytys, jossa ilmoitetaan kun tätä tuotetta on jälleen varastossa."
"Special price:","Tarjoushinta:"
"Start Time","Aloitusaika"
"Stock alert Email Template","Varastohälytyksen sähköpostipohja"
"Unsubscribe from all price alerts","Peru kaikki hintahälytykset"
"Unsubscribe from all stock alerts","Peru kaikki varastohälytykset"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Tämä viesti lähetettiin sinulle, koska olet tilannut hälytyksen kun seuraavat tuotteet ovat jälleen varastossamme:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Tämä viesti lähetettiin sinulle, koska olet tilannut hälytyksen kun seuraavien tuotteiden hinnat muuttuvat:"
"You will no longer receive price alerts for this product","Et enää vastaanota hintahälytyksiä tästä tuotteesta"
"You will no longer receive stock alerts","Et enää vastaanota varastohälytyksiä"
"You will no longer receive stock alerts for this product","Et enää vastaanota varastohälytyksiä tästä tuotteesta"
