"Actions","Toiminnot"
"Active","Aktiivinen"
"Add New Rule","Lisää uusi sääntö"
"Apply","Ota käyttöön"
"Apply the rule only if the following conditions are met (leave blank for all products)","Ota sääntö käyttöön vain jos seuraavat ehdot täyttyvät (jätä tyhjäksi kaikille tuotteille)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Ota sääntö käyttöön vain ostoskorin tuotteille jotka täyttävät seuraavat ehdot (jätä tyhjäksi kaikille tuotteille)"
"Apply the rule to cart items matching the following conditions","Ota sääntö käyttöön ostoskorin tuotteille jotka täyttävät seuraavat ehdot"
"Apply to","Ota käyttöön (mihin?)"
"Buy X get Y free (discount amount is Y)","Osta X saat Y:n ilmaiseksi (alennuksen määrä on Y)"
"By Fixed Amount","Kiinteällä määrällä"
"By Fixed value","Kiinteällä arvolla"
"By Percentage","Prosenttiosuudella"
"By Percentage of the original price","Prosenttiosuudella alkuperäisestä hinnasta"
"Cart Attribute","Ostoskorin ominaisuus"
"Catalog","Katalogi"
"Conditions","Ehdot"
"Conditions combination","Ehtojen yhdistelmä"
"Coupon Code","Alennuskoodi"
"Coupon code","Alennuskoodi"
"Customer Groups","Asiakasryhmät"
"Customer is new buyer: %s","Asiakas on uusi ostaja: %s"
"Customer registered: %s","Asiakas rekisteröitynyt: %s"
"Date Expire","Päättymispäivä"
"Date Start","Alkamispäivämäärä"
"Delete Rule","Poista sääntö"
"Description","Kuvaus"
"Description: %s","Kuvaus: %s"
"Discount Qty Step (Buy X)","Määräalennukseen oikeuttavan myyntierän koko"
"Discount amount","Alennuksen määrä"
"Edit Rule","Muokkaa sääntöä"
"Edit Rule '%s'","Muokkaa sääntöä '%s'"
"Expire at: %s","Päättyy: %s"
"Fixed amount discount","Kiinteämääräinen alennus"
"Fixed amount discount for whole cart","Kiinteämääräinen alennus koko ostoskorille"
"For matching items only","Vain yhteensopiville tuotteille"
"For shipment with matching items","Lähetykselle jossa osuvia tuotteita (?)"
"Free shipping","Ilmainen lähetys"
"From Date","Mistä"
"General Information","Yleiset tiedot"
"ID","Tunniste"
"Inactive","Ei aktiivinen"
"Maximum Qty Discount is Applied to","Alennettuja tuotteita enintään"
"NOT LOGGED IN","EI KIRJAUTUNEENA SISÄÄN"
"Name: %s","Nimi: %s"
"New Rule","Uusi sääntö"
"No","Ei"
"Payment Method","Maksutapa"
"Percent of product price discount","Prosenttiosuus tuotteen hinnasta -alennus"
"Price in cart","Hinta ostoskorissa"
"Priority","Prioriteetti"
"Product attribute combination","Tuotteen ominaisuuksien yhdistelmä"
"Products subselection","Products subselection"
"Promotions","Myynninedistäminen"
"Public In RSS Feed","Julkinen RSS-syötteessä"
"Quantity in cart","Määrä ostoskorissa"
"Row total in cart","Rivien määrä ostoskorissa"
"Rule Information","Säännön tiedot"
"Rule Name","Säännön nimi"
"Rule was successfully deleted","Sääntö poistettu"
"Rule was successfully saved","Sääntö tallennettu"
"Save Rule","Tallenna sääntö"
"Shipping Country","Lähetysmaa"
"Shipping Method","Lähetystapa"
"Shipping Postcode","Lähetyksen postinumero"
"Shipping Region","Lähetyksen alue"
"Shipping State/Province","Lähetyksen osavaltio / provinssi"
"Shopping Cart Price Rule","Ostoskorin hintasääntö"
"Shopping Cart Price Rules","Ostoskorin hintasäännöt"
"Special price","Erikoishinta"
"Start at: %s","Alkaa: %s"
"Status","Tila"
"Stop further rules processing","Estä seuraavien hintasääntöjen käsittely"
"Subtotal","Välisumma"
"The page you are trying to save no longer exists","Tallentamaasi sivua ei enää ole olemassa"
"This rule no longer exists","Tätä sääntöä ei enää ole olemassa"
"To Date","Mihin"
"To Fixed Amount","Kiinteään summaan/määrään"
"To Fixed Value","Kiinteään arvoon"
"To Percentage","Prosenttiosuuteen"
"To Percentage of the original price","Prosenttiosuuteen alkuperäisestä hinnasta"
"Total Items Quantity","Tuotteiden kokonaismäärä"
"Total Weight","Kokonaispaino"
"Unable to find a page to delete","Poistettavaa sivua ei löydetä"
"Update prices using the following information","Päivitä hinnat käyttäen seuraavia tietoja"
"Update product's %s %s: %s","Päivitä tuotteen %s %s: %s"
"Update the Product","Päivitä tuote"
"Uses per coupon","Käyttökerrat / kuponki"
"Uses per customer","Käyttökerrat / asiakas"
"Yes","Kyllä"
