"%d Review(s)","%d arvostelu(a)"
"%s Review(s)","%s arvostelu(a)"
"(Posted on %s)","(Lähetetty %s)"
"1 star","1 tähti"
"2 stars","2 tähteä"
"3 stars","3 tähteä"
"4 stars","4 tähteä"
"5 stars","5 tähteä"
"Add New Review","Lisää uusi arvostelu"
"Add Your Review","Lisää arvostelusi"
"Administrator","Ylläpitäjä"
"All Reviews","Kaikki arvostelut"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Salli vieraiden kirjoittaa arvosteluja"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Are you sure?","Oletko varma?"
"Average Customer Rating","Arvioiden keskiarvo"
"Average Customer Rating:","Arvioiden keskiarvo:"
"Back","Takaisin"
"Back to Main Product Info","Takaisin tuotteen tietoihin"
"Back to My Reviews","Takaisin arvosteluihini"
"Back to Product Reviews","Takaisin tuotteiden arvosteluihin"
"Be the first to review this product","Arvostele ensimmäisenä tämä tuote"
"Created On","Luotu"
"Customer","Asiakas"
"Customer Reviews","Asiakkaiden arvostelut"
"Delete","Poista"
"Delete Review","Poista arvostelu"
"Detailed Rating","Yksityiskohtainen arvio"
"Edit Review '%s'","Muokkaa arvostelua '%s'"
"Guest","Vieras"
"How do you rate this product?","Miten arvioisit tämän tuotteen?"
"ID","Tunniste"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Tuotearviot"
"My Recent Reviews","Viimeisimmät arvosteluni"
"Name","Nimi"
"Name In Store","Nimi kaupassa"
"New Review","Uusi arvostelu"
"Nickname","Nimimerkki"
"Pending Reviews","Arvosteluja odottaa"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Valitse tuote"
"Please select one of each of the ratings above","Valitse jokin yllä olevista arvioista"
"Posted By","Postittanut"
"Price","Hinta"
"Product","Tuote"
"Product Name","Tuotteen nimi"
"Product Rating","Tuotearvio"
"Product Rating:","Tuotearvio:"
"Product Review (submitted on %s):","Tuotearvostelu (lähetetty %s):"
"Product Reviews","Tuotearvostelut"
"Product SKU","Tuotteen tuotekoodi"
"Qty","Kpl"
"Rating:","Arvio:"
"Review","Arvostelu"
"Review Details","Arvostelun yksityiskohta"
"Review by %s","Arvostellut %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","Tuotekoodi"
"Save Review","Tallenna arvostelu"
"Status","Tila"
"Submit Review","Lähetä arvostelu"
"Summary Rating","Arvion yhteenveto"
"Summary of Review","Arvostelun yhteenveto"
"Summary of Your Review","Arvostelusi yhteenveto"
"Summary of review","Arvostelun yhteenveto"
"Title","Otsikko"
"Type","Tyyppi"
"Unable to post review. Please, try again later.","Arvostelua ei voida lähettää. Ole hyvä ja yritä myöhemmin uudelleen."
"Update status","Päivitä Tila"
"View All Reviews","Katso kaikki arvostelut"
"View Details","Katso yksityiskohdat"
"Visible In","Näkyvillä"
"Websites","Websites"
"Write Your Own Review","Kirjoita oma arvostelusi"
"You have submitted no reviews.","Et ole lähettänyt yhtään arvostelua."
"You're reviewing: %s","Arvosteltava tuote: %s"
"Your Rating:","Arviosi:"
"Your Review (submitted on %s):","Arvostelusi (lähetetty %s):"
"Your review has been accepted for moderation","Arvostelusi on hyväksytty tarkastettavaksi."
"OR","OR"
"My Product Reviews","My Product Reviews"
