"--Please Select--","--Vælg venligst--"
"<label>Make Check payable to:</label> %s","<label>Udsted checken til:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Udsted checken til</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Kunne ikke indlæse konfiguration til betalingsform. Fejlkode: %s"
"Can not retrieve payment info model object.","Kunne ikke indlæse model til betalingsinformation."
"Can not retrieve payment method instance","Kunne ikke indlæse instans til betalingsform"
"Can not retrieve payment method model object.","Kunne ikke indlæse model til betalingsform."
"Card Verification Number","Kontrolcifre"
"Check / Money order","Check/kontant-ordre"
"Credit Card Number","Kortnummer"
"Credit Card Number: %s","Kreditkortnummer: %s"
"Credit Card Number: xxxx-%s","Kreditkortnummer: xxxx-%s"
"Credit Card Type","Korttype"
"Credit Card Type: %s","Kreditkorttype: %s"
"Credit Card Types","Kreditkorttyper"
"Credit Card Verification","Verifikation af kreditkort"
"Enabled","Aktiv"
"Expiration Date","Udløbsdato"
"Expiration Date: %s/%s","Udløbsdato: %s/%s"
"Make Check payable to","Udsted checken til"
"Make Check payable to: %s","Udsted check til: %s"
"Maximum Order Total","Maximum ordretotal"
"Minimum Order Total","Minimum ordretotal"
"Month","Måned"
"Name on Card","Kortholders navn"
"Name on the Card: %s","Kortholders navn: %s"
"New order status","Ny ordrestatus"
"Payment Methods","Betalingsformer"
"Payment Methods Section","Sektion for betalingsmetoder"
"Payment from Specific countries","Betaling fra specifikke lande"
"Payment from applicable countries","Betaling fra gældende lande"
"Purchase Order Number","Købsordrenummer"
"Purchase Order Number: %s","Købsordrenr.: %s"
"Purchase order","Købsordre (køb på regning)"
"Saved CC","Gemt kreditkort"
"Send Check to","Send check til"
"Send Check to:","Send check til:"
"Sort order","Sorteringsrækkefølge"
"Title","Titel"
"What is this?","Hvad er det?"
"Year","År"
"Zero Subtotal Checkout","Bestilling med subtotal nul"
