" Copy"," Kopier"
"Action","Handling"
"Add New Template","Tilføj ny skabelon"
"Add to Queue","Tilføj til kø"
"Are you sure that you want to delete this template?","Er du sikker på, at skabelonen skal slettes?"
"Are you sure that you want to strip all tags?","Er du sikker på, at du ønsker at fjerne alle tags?"
"Back","Tilbage"
"Cancel","Annuller"
"Cancelled","Annulleret"
"Cannot delete subscriber","Modtager kan ikke fjernes"
"Cannot delete template","Skabelon kan ikke slettes"
"Cannot mark as received subscriber","Status kunne ikke sættes til 'modtaget'"
"Cannot save your subscription: %s","Kan ikke gemme din tilmelding: %s"
"Confirmation Email Sender","Bekræftelsesmail - afsender"
"Confirmation Email Template","Bekræftelsesmail - skabelon"
"Confirmation request has been sent","Vi takker for din tilmelding. Vi har sendt en mail til den e-mailadresse, du angav, og vi beder dig bekræfte modtagelsen af denne mail."
"Convert to Plain Text","Konverter til tekst"
"Create Newsletter Template","Opret skabelon til nyhedsbrev"
"Customer","Kunde"
"Customer Firstname","Kundes fornavn"
"Customer Lastname","Kundes efternavn"
"Date Added","Tilføjet d."
"Date Updated","Opdateret den"
"Delete Selected Problems","Slet valgte problemer"
"Delete Template","Slet skabelon"
"Do you really want to cancel the queue?","Er du sikker på, at køen skal annulleres?"
"Duplicate of template code","Kopi af skabelon"
"Edit Newsletter","Rediger nyhedsbrev"
"Edit Newsletter Template","Rediger skabelon"
"Edit Queue","Rediger kø"
"Edit Template","Rediger skabelon"
"Email","E-mail"
"Enter your email address","Indtast din e-mail-adresse"
"Error Code","Fejlkode"
"Error Text","Fejlbesked"
"Form was filled incorrectly","Formularen er ikke udfyldt korrekt."
"Guest","Gæst"
"ID","ID"
"Invalid queue selected","Den valgte kø er ugyldig"
"Invalid subscriber ID","Ugyldigt abonnent-ID"
"Invalid subscription ID","Ugyldigt abonnement-ID"
"Invalid subscription confirmation code","Ugydlig kode for abonnementbekræftelse"
"Message","Besked"
"Need to Confirm","Bekræft venligst"
"New Newsletter Template","Ny skabelon til nyhedsbreve"
"New Template","Ny skabelon"
"Newsletter","Nyhedsbrev"
"Newsletter Message Preview","Vis nyhedsbrev"
"Newsletter Problem Reports","Problemrapporter"
"Newsletter Queue","Køsystem"
"Newsletter Section","Nyhedsbrevssektion"
"Newsletter Sign-up","Tilmelding til nyhedsbrev"
"Newsletter Subscribers","Tilmeldte"
"Newsletter Subscription","Nyhedsbrevsabonnent"
"Newsletter Subscriptions","Nyhedsbrevsabonnenter"
"Newsletter Templates","Skabeloner"
"Newsletter subscription confirmation","Nyhedsbrev - bekræftelse på tilmelding"
"Newsletter subscription success","Nyhedsbrev - tilmelding"
"Newsletter unsubscription success","Nyhedsbrev - afmelding"
"No Templates Found","Ingen skabeloner"
"No problems found","Der er ikke registreret nogen problemer"
"No subscribers selected","Ingen modtagere er valgt"
"Not Sent","Ikke sendt"
"Not activated","Inaktiv"
"Pause","Pause"
"Paused","Sat på pause"
"Please enter a valid email address","Skriv venligst en gyldig e-mail-adresse"
"Please enter new template name","Indtast navn på skabelon"
"Please select subscriber(s)","Vælg venligst modtager(e)"
"Preview","Vis"
"Preview Template","Vis skabelon"
"Processed","Udført"
"Queue Date Start","Startdato"
"Queue Finish","Slutdato"
"Queue Information","Kø - detaljer"
"Queue Newsletter","Kø nyhedsbrev"
"Queue Start","Startdato"
"Queue Subject","Emne (kø)"
"Recipients","Modtagere"
"Reset","Nulstil"
"Resume","Genoptag"
"Return Html Version","Returner HTML-version"
"Save And Resume","Gem og fortsæt"
"Save As","Gem som"
"Save Newsletter","Gem nyhedsbrev"
"Save Template","Gem skabelon"
"Selected problem subscribers successfully unsubscribed","De valgte abonnenter blev fjernet fra problemlisten"
"Selected problems successfully deleted","Valgte problemer er slettet"
"Sender","Afsender"
"Sender Email","E-mail (afsender)"
"Sender Name","Navn (afsender)"
"Sending","Sender"
"Sending Options","Afsendelsesmuligheder"
"Sent","Sendt"
"Set Return-Path","Sæt retursti"
"Sign me up","Tilmeld mig"
"Sign up for our newsletter:","Tilmeld dig vores nyhedsbrev:"
"Start","Start"
"Status","Status"
"Store","Forretning"
"Store View","Visning af forretning"
"Subject","Overskrift"
"Subscribe","Tilmeld"
"Subscribed","Tilmeldt"
"Subscriber","Abonnent"
"Subscribers","Administrer tilmeldte"
"Subscribers From","Tilmeldte fra"
"Subscription Options","Abonnement (indstillinger)"
"Success Email Sender","Tilmeldingsmail - afsender"
"Success Email Template","Tilmeldingsmail - skabelon"
"Template Content","Indhold"
"Template Information","Skabelon - detaljer"
"Template Name","Navn"
"Template Subject","Overskrift"
"Template Type","Type"
"Thank you for your subscription","Tak for din tilmelding"
"The subscription was successfully saved","Tilmelding blev gemt"
"There was a problem with the subscription","Der var et problem med tilmeldelsen"
"There was a problem with the subscription: %s","Et problem opstod under tilmelding: %s"
"There was a problem with the un-subscription.","Der opstod et problem ved afmeldelsen."
"There was an error while saving your subscription","Der skete en fejl ved tilmeldelse til nyhedsbrev"
"Toggle Editor","Slå editor til/fra"
"Type","Type"
"Unsubscribe","Afmeld"
"Unsubscribe Selected","Afmeld de valgte"
"Unsubscribed","Afmeldt"
"Unsubscription Email Sender","Afmeldingsmail - afsender"
"Unsubscription Email Template","Afmeldingsmail - skabelon"
"View Newsletter","Vis nyhedsbrev"
"Website","Website"
"You have been successfully unsubscribed.","Du er blevet afmeldt."
"Your subscription was successfully confirmed","Du er nu tilmeldt nyhedbrevet"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
