"(eg: domain.com/identifier)","(eks: minshop.dk/sti)"
"Action","Handling"
"Add New Block","Tilføj ny blok"
"Add New Page","Tilføj ny side"
"All countries","Alle lande"
"Block Information","Blok - detaljer"
"Block Title","Navn"
"Block was successfully deleted","Blokken er slettet"
"Block was successfully saved","Blokken er gemt"
"CMS","CMS"
"CMS Home Page","CMS - Forside"
"CMS No Route Page","CMS - 'Kunne ikke findes'-side"
"Content","Indhold"
"Custom Design","Eget design"
"Custom Theme","Eget tema"
"Custom Theme From","Eget tema - Til"
"Custom Theme To","Eget tema - Fra"
"Customer Tax Class Information","Gruppe - detaljer"
"Date Created","Oprettet den"
"Delete Block","Slet blok"
"Delete Page","Slet side"
"Description","Beskrivelse"
"Disabled","Inaktiv"
"Edit Block","Rediger blok"
"Edit Block '%s'","Rediger Blok '%s'"
"Edit Page","Rediger side"
"Edit Page '%s'","Rediger side '%s'"
"Enabled","Aktiv"
"General Information","Indhold"
"Go to Home Page","Gå til forside"
"Home","Til forsiden"
"Identifier","Identifikator"
"Keywords","Nøgleord"
"Last Modified","Sidst redigeret"
"Layout","Opsætning"
"Layout Update XML","Layoutopdaterings-XML"
"Manage Pages","Sider"
"Meta Data","Metadata"
"Meta Description","Meta-beskrivelse"
"Meta Keywords","Meta-nøgleord"
"New Block","Ny blok"
"New Page","Ny side"
"Page Identifier cannot consist only of numbers.","Side-ID må ikke kun indeholde tal."
"Page Identifier for specified store already exist.","Side-ID for den valgte butik eksisterer allerede."
"Page Information","Side - detaljer"
"Page Status","Sidestatus"
"Page Title","Overskrift"
"Page was successfully deleted","Siden er slettet"
"Page was successfully saved","Siden er gemt"
"Poll Manager","Afstemninger"
"Product Tax Class Information","Gruppe - detaljer"
"SEF URL Identifier","SEF URL sti"
"Save Block","Gem blok"
"Save Page","Gem side"
"Show breadcrumbs for CMS pages","Vis brødkrummesti for CMS-sider"
"Static Blocks","Statiske blokke"
"Status","Status"
"Store View","Visning af forretning"
"Such a block identifier in selected store already exist.","Blok-ID'et for den valgte butik eksisterer allerede."
"The page you are trying to save no longer exists","Siden du forsøger at gemme eksisterer ikke længere"
"This block no longer exists","Denne blok eksisterer ikke længere"
"This page no longer exists","Siden eksisterer ikke længere"
"Title","Titel"
"Unable to find a block to delete","Systemet kunne ikke finde blokken, som skulle slettes"
"Unable to find a page to delete","Systemet kunne ikke finde nogen sider"
