"Action","Handling"
"Add Sitemap","Tilføj sitemap"
"Always","Altid"
"CMS Pages Options","CMS-sider"
"Categories Options","Kategorier"
"Daily","Hver dag"
"Edit Sitemap","Rediger sitemap"
"Enabled","Aktiv"
"Error Email Recipient","Fejl - modtager"
"Error Email Sender","Fejl - afsender"
"Error Email Template","Fejl - skabelon"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","Filnavn"
"Frequency","Hyppighed"
"Generate","Generer"
"Generation Settings","Genereringsindstillinger"
"Google Sitemap","Google Sitemap"
"Google Sitemap Section","Google Sitemap-sektion"
"Hourly","Hver time"
"ID","ID"
"Last Time Generated","Sidst genereret"
"Link for Google","Link til Google"
"Monthly","Hver måned"
"Never","Aldrig"
"New Sitemap","Nyt sitemap"
"Path","Sti"
"Please create the specified folder ""%s"" before saving the sitemap.","Opret mappen ""%s"" før du gemmer sitemappet."
"Please define correct path","Angiv venligst en korrekt sti"
"Please make sure that ""%s"" is writable by web-server.","Sørg for at ""%s"" er skrivbar for serveren."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Brug kun bogstaver (a-z or A-Z), tal (0-9) eller underscore (_) i filnavnet. Ingen mellemrum eller andre tegn er tilladt."
"Priority","Prioritet"
"Priority must be between 0 and 1","Prioritet skal være mellem 0 og 1"
"Products Options","Produktmuligheder"
"Sitemap","Sitemap"
"Sitemap ""%s"" has been successfully generated","Sitemappet ""%s"" er genereret"
"Sitemap generate Warnings","Sitemap - advarsler for generering"
"Sitemap was successfully deleted","Sitemap er slettet"
"Sitemap was successfully saved","Sitemap blev gemt"
"Start Time","Starttidspunkt"
"Store View","Visning af forretning"
"This sitemap no longer exists","Sitemap findes ikke længere"
"Unable to find a sitemap to delete","Sitemap kunne ikke findes."
"Unable to find a sitemap to generate","Kunne ikke finde et sitemap at generere"
"Unable to generate a sitemap","Kunne ikke generere et sitemap"
"Valid values range from 0.0 to 1.0","Intervallet for gyldige værdier er 0.0 til 1.0"
"Weekly","Hver uge"
"Yearly","Hvert år"
