"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Rating","Tilføj ny karakter"
"Assigned Options","Tildelte muligheder"
"Be the first to review this product","Vær den første til at bedømme dette produkt"
"Default Value","Standardværdi"
"Delete Rating","Slet karakter"
"Edit Rating","Rediger karakter: %s"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Hvis du ikke angiver en karaktertitel for en butik bruges standardværdien."
"Manage Ratings","Administrer karakterer"
"New Rating","Ny karakter"
"Option Label","Label"
"Option Title","Titel"
"Option Title:","Titel:"
"Please select one of each ratings above","Vælg venligst en af bedømmelserne ovenfor."
"Rating Information","Karakter - detaljer"
"Rating Name","Navn"
"Rating Options","Indstillinger for karakter"
"Rating Title","Navn"
"Rating Visibility","Synlighed - bedømmelse:"
"Rating isn't Available","Karakter er ikke tilgængelig"
"Rating with the same title","Bedømmelse med samme overskrift"
"Save Rating","Gem karakter"
"Visible In","Synlig i"
