"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Tilføj ny regel"
"Apply","Giv"
"Apply the rule only if the following conditions are met (leave blank for all products)","Anvend kun regel, hvis følgende betingelser er opfyldt (lad stå tom for alle produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Anvend kun reglen på varer i indkøbskurv, som lever op til følgende betingelser (lad stå tom hvis det skal gælde alle varer)"
"Apply the rule to cart items matching the following conditions","Anvend reglen på varer i indkøbskurv, som lever op til følgende betingelser"
"Apply to","Anvend på"
"Buy X get Y free (discount amount is Y)","Køb X, få Y gratis (mængde er Y)"
"By Fixed Amount","Rabat som fast beløb"
"By Fixed value","Med fast værdi"
"By Percentage","Med procent"
"By Percentage of the original price","Rabat i procent af originalpris"
"Cart Attribute","Egenskaber for kurv"
"Catalog","Katalog"
"Conditions","Betingelser"
"Conditions combination","Betingelseskombination"
"Coupon Code","Rabatkode"
"Coupon code","Rabatkode"
"Customer Groups","Kundegrupper"
"Customer is new buyer: %s","Kunden er førstegangskøber: %s"
"Customer registered: %s","Kunden oprettede konto: %s"
"Date Expire","Udløbsdato"
"Date Start","Startdato"
"Delete Rule","Slet regel"
"Description","Beskrivelse"
"Description: %s","Beskrivelse: %s"
"Discount Qty Step (Buy X)","Rabat mængdetrin (Køb X)"
"Discount amount","Beløb/procent/mængde"
"Edit Rule","Rediger regel"
"Edit Rule '%s'","Rediger regel '%s'"
"Expire at: %s","Udløber ved: %s"
"Fixed amount discount","Rabat (fast beløb)"
"Fixed amount discount for whole cart","Fast rabatbeløb for hele indkøbskurven"
"For matching items only","Gælder kun matchende varer"
"For shipment with matching items","Til levering af matchende produkter"
"Free shipping","Gratis levering"
"From Date","Startdato"
"General Information","Indhold"
"ID","ID"
"Inactive","Inaktiv"
"Maximum Qty Discount is Applied to","Maks. antal varer som rabatten gives til"
"NOT LOGGED IN","Ikke logget ind"
"Name: %s","Navn: %s"
"New Rule","Ny regel"
"No","Nej"
"Payment Method","Betalingsform"
"Percent of product price discount","Rabat (procent af pris)"
"Price in cart","Pris i kurv"
"Priority","Prioritet"
"Product attribute combination","Kombination af produktegenskaber"
"Products subselection","Kombination af produkter"
"Promotions","Prisregler"
"Public In RSS Feed","Offentlig i RSS Feed"
"Quantity in cart","Antal i kurv"
"Row total in cart","Antal varer i kurv"
"Rule Information","Regel - detaljer"
"Rule Name","Navn"
"Rule was successfully deleted","Regel er slettet"
"Rule was successfully saved","Regel er gemt"
"Save Rule","Gem regel"
"Shipping Country","Levering - land"
"Shipping Method","Forsendelsesmetode"
"Shipping Postcode","Levering - postnummer"
"Shipping Region","Levering - område"
"Shipping State/Province","Levering - stat/provins"
"Shopping Cart Price Rule","Prisregel for indkøbskurv"
"Shopping Cart Price Rules","Prisregler for indkøbskurv"
"Special price","Specialpris"
"Start at: %s","Starter ved: %s"
"Status","Status"
"Stop further rules processing","Stop regelkørsel herefter"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","Siden du forsøger at gemme eksisterer ikke længere"
"This rule no longer exists","Denne regel eksisterer ikke længere"
"To Date","Udløbsdato"
"To Fixed Amount","Pris som fast beløb"
"To Fixed Value","Til fast værdi"
"To Percentage","Til procent"
"To Percentage of the original price","Pris som procent af originalprisen"
"Total Items Quantity","Samlet antal varer"
"Total Weight","Samlet vægt"
"Unable to find a page to delete","Systemet kunne ikke finde nogen sider"
"Update prices using the following information","Opdater priser med følgende information"
"Update product's %s %s: %s","Opdater produkterne %s %s: %s"
"Update the Product","Opdater produktet"
"Uses per coupon","Anvendelser pr. kupon"
"Uses per customer","Anvendelser pr. kunde"
"Yes","Ja"
