"%s Item(s)","%s vare(r)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. Alle rettigheder forbeholdes."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","Klik <a href=""%s"">her</a> hvis der ikke sker noget"
"Close","Close"
"Close Window","Luk vindue"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","Standardbeskrivelse"
"Default welcome msg!","Velkommen til butikken!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Hjælp os med at holde Magento fejlfri"
"Interface Language","Sprog"
"Items %s to %s of %s total","<strong>%s</strong> til <strong>%s</strong> af <strong>%s</strong>"
"Next Page","Næste side"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","Side:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","Forrige side"
"Redirecting...","Omdirigerer..."
"Report All Bugs","Indrapporter alle fejl"
"Select Store","Vælg shop"
"Select date","Select date"
"Show","Vis"
"Skip to Footer","Gå til footer"
"Skip to Left Column","Gå til venstre kolonne"
"Skip to Main Content","Gå til hovedindhold"
"Skip to Right Column","Gå til højre kolonne"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demoshop. Ordrer afgivet igennem denne shop vil ikke blive gennemført."
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","Velkommen, %s!"
"You're currently on:","Du er her:"
"Your Language","Dit sprog"
"Your Language:","Dit sprog:"
"per page","pr. side"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
