"* Select shipping method","* Vælg forsendelsesmetode"
"AVS Status: %s","AVS Status: %s"
"Add","Tilføj"
"Add Shipping Method","Tilføj leveringsmetode"
"Allowed Methods","Tilladte metoder"
"Amount: %s","Beløb: %s"
"Auto-generated from GoogleCheckout Charge","Autooprettet fra Google Checkout betaling"
"Buyer account age: %s days","Købers konto er: %s dage gammel"
"CC Partial: xxxx-%s","CC Delvis: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Fragtselskabs udregnede metoder"
"Cart Discount","Kurv rabat"
"Checkout Image Style","Bestillingens billedstil"
"Continue Shopping URL","Fortsæt med at handle-URL"
"Debug","Debug"
"Default Package Height (in)","Standardpakkehøjde (in)"
"Default Package Length (in)","Standardpakkelængde (in)"
"Default Package Width (in)","Standardpakkebredde (in)"
"Default price for methods","Standardpris for metoder"
"Default price:","Standardpris:"
"Delivery Address Category","Kategori for leveringsadresse"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Deaktiver standardmomstabeller"
"Eligible for protection: %s","Egnet til forsikring: %s"
"Enable","Aktiver"
"Enable Carrier Calculated","Aktiver fragtselskabsudregning"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Aktiver flat rate"
"Enable Merchant Calculated","Aktiver forhandlerudregning"
"Enable this if your checkout request is too big and being cut off.","Aktiver dette hvis dit bestillingskald er for stort og bliver afbrudt."
"Expiration: %s","Udløber: %s"
"Financial: %s -> %s","Finansiel: %s -> %s"
"Free Shipping","Gratis levering"
"Fulfillment: %s -> %s","Fuldendt: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google godkendelse:"
"Google Buyer Id: %s","Google køber ID: %s"
"Google Charge:","Google betaling:"
"Google Checkout","Google betaling"
"Google Checkout Shipping - Carrier Calculated","Google Checkout forsendelse - fragtfirmaberegnet"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Checkout forsendelse - fast takst"
"Google Checkout Shipping - Merchant Calculated","Google Checkout forsendelse - forhandlerberegnet"
"Google Checkout: %s","Google betaling: %s"
"Google Order Number: %s","Google ordrenr.: %s"
"Google Refund:","Google tilbagebetaling:"
"Google Risk Information:","Google risikoinformation:"
"Google order status change:","Ændring af Google ordrestatus:"
"Hide Cart Contents During Checkout","Skjul indkøbskurvens indhold under bestilling"
"IP Address: %s","IP-adresse: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Hvis aktiveret skjules kurvens indhold efter der klikkes på Google Checkout-knappen i indkøbskurve, og genskabes hvis ""Rediger kurv""-linket aktiveres."
"Invoice auto-created: %s","Autooprettet faktura: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Er køber villig til at modtage marketingmails: %s"
"Large - %s","Stor - %s"
"Latest Charge: %s","Seneste betaling: %s"
"Latest Refund: %s","Seneste tilbagebetaling: %s"
"Location","Beliggenhed"
"Medium - %s","Medium - %s"
"Merchant ID","Butiksindehaver ID"
"Merchant Key","Forhandlernøgle"
"Method","Method"
"New order status","Ny ordrestatus"
"No","Nej"
"Optional, leave empty for home page.","Valgfrit, lad stå tom for at gå til forside."
"Rate 1 Amount","Sats 1 beløb"
"Rate 1 Ship To Applicable Countries","Sats 1 - lever til relevante lande"
"Rate 1 Ship to Specific Countries","Sats 1 - lever til bestemte lande"
"Rate 1 Title","Sats 1 - titel"
"Rate 2 Amount","Sats 2 beløb"
"Rate 2 Ship To Applicable Countries","Sats 2 - lever til relevante lande"
"Rate 2 Ship to Specific Countries","Sats 2 - lever til bestemte lande"
"Rate 2 Title","Sats 2 - titel"
"Rate 3 Amount","Sats 3 beløb"
"Rate 3 Ship To Applicable Countries","Sats 3 - lever til relevante lande"
"Rate 3 Ship to Specific Countries","Sats 3 - lever til bestemte lande"
"Rate 3 Title","Sats 3 - titel"
"Remove","Fjern"
"Required for live Google Checkout transactions.","Krævet for live Google Checkout-transaktioner."
"Sandbox","Sandbox"
"Secure Callback URL","Sikker callback-URL"
"Small - %s","Lille - %s"
"Total Charged: %s","Total faktureret: %s"
"Total Refunded: %s","Total refunderet: %s"
"Transparent","Transparent"
"United Kingdom","Storbritannien"
"United States","USA"
"Virtual item to reflect discount total","Virtuel vare vil afspejle samlede rabat"
"White Background","Hvid baggrund"
"You will be redirected to GoogleCheckout in a few seconds.","Du bliver videresendt til Google Checkout om et par sekunder."
