"API Login ID","API Log ind ID"
"Authorize Only","Kun godkend"
"Authorize and Capture","Godkend og hæv"
"Authorize.net","Authorize.net"
"Credit Card Types","Kreditkorttyper"
"Credit Card Verification","Kreditkortbekræftelse"
"Debug","Debug"
"Email customer","Email kunde"
"Enabled","Aktiv"
"Error in authorizing the payment","En fejl opstod under godkendelsen af betaling"
"Error in capturing the payment","En fejl opstod under opfangning af betaling"
"Error in payment gateway","Fejl i betalingsgateway"
"Error in refunding the payment","Der opstod en fejl ved refundering af betaling"
"Error in refunding the payment.","En fejl opstod under refundering af betalingen."
"Error in retrieving the transaction","Fejl ved indlæsning af transaktionen"
"Fraud order status","Svindel ordre status"
"Gateway request error: %s","Gateway anmodningsfejl: %s"
"Invalid amount for authorization","Ugyldig beløb til godkendelse"
"Invalid amount for authorization.","Ugyldig beløb til godkendelse."
"Invalid transaction id","Ugyldig transaktions ID"
"Maximum Order Total","Maximalt ordrebeløb"
"Merchant Login","Forhandler-log ind"
"Merchant's email","Forhandlers email"
"Minimum Order Total","Minimum ordretotal"
"New order status","Ny ordrestatus"
"Partner","Partner"
"Password","Kodeord"
"Payflow Pro","Payflow Pro"
"Payment Action","Betalingsaktion"
"Payment authorization error.","Betalingsgodkendelsesfejl."
"Payment authorization transaction has been declined.","Godkendt betalingstransaktion er blevet afvist."
"Payment from Specific countries","Betaling fra specifikke lande"
"Payment from applicable countries","Betaling fra gældende lande"
"Proxy Host","Proxyvært"
"Proxy Port","Proxyport"
"Sort order","Sorteringsrækkefølge"
"TENDER","TILBUD"
"Test mode","Test brug"
"Title","Titel"
"Transaction key","Transaktionsnøgle"
"URL","URL"
"Use Proxy","Brug proxy"
"User","Bruger"
"VERBOSITY","DETALJE"
"Voided transaction","Annulleret transaktion"
