"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Tilføj ny regel"
"Apply Rules","Kør regler"
"Attribute Set","Sæt af egenskaber"
"Catalog","Katalog"
"Catalog Price Rule","Prisregel for katalog"
"Catalog Price Rules","Prisregler for katalog"
"Category","Kategori"
"Comments History","Kommentaroversigt"
"Conditions","Betingelser"
"Conditions (leave blank for all products)","Betingelser (udfyld ikke for produkter)"
"Conditions Combination","Betingelses-kombination"
"Credit Memos","Kreditnotaer"
"Customer Groups","Kundegrupper"
"Customer is new buyer: %s","Kunde er ny køber: %s"
"Customer registered: %s","Kunde har konto: %s"
"Date Expire","Udløbsdato"
"Date From","Dato fra"
"Date Start","Startdato"
"Date To","Dato til"
"Delete Rule","Slet regel"
"Description","Beskrivelse"
"Description: %s","Beskrivelse: %s"
"Edit Rule","Rediger regel"
"Edit Rule '%s'","Rediger regel '%s'"
"Expire at: %s","Udløber ved: %s"
"From Date","Startdato"
"General Information","Indhold"
"Gift Messages","Gavebeskeder"
"ID","ID"
"Inactive","Inaktiv"
"Invoices","Fakturaer"
"NOT LOGGED IN","Ikke logget ind"
"Name: %s","Navn: %s"
"New Rule","Ny regel"
"No","Nej"
"Options","Ekstra valgmuligheder"
"Order Credit Memos","Ordre - Kreditnotaer"
"Order Gift Messages","Ordre - Gavebeskeder"
"Order History","Ordrehistorik"
"Order Invoices","Ordre - fakturaer"
"Order Shipments","Ordre - leveringer"
"Priority","Prioritet"
"Product Attribute","Produktegenskab"
"Promotions","Prisregler"
"Rule Information","Regel - detaljer"
"Rule Name","Navn"
"Rule was successfully deleted","Regel er slettet"
"Rule was successfully saved","Regel er gemt"
"Rules were successfully applied","Reglerne er tildelt"
"Save Rule","Gem regel"
"Save and Apply","Gem og kør"
"Shipments","Leveringer"
"Start at: %s","Starter ved: %s"
"Status","Status"
"Stop further rules processing","Stop regelkørsel herefter"
"The page you are trying to save no longer exists","Siden du forsøger at gemme eksisterer ikke længere"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Der er regler, der er ændret, men ikke kørt. Klik 'Kør regler' for at se effekten i kataloget med det samme."
"This rule no longer exists","Denne regel eksisterer ikke længere"
"To Date","Udløbsdato"
"Unable to apply rules","Reglerne kunne ikke anvendes"
"Unable to find a page to delete","Systemet kunne ikke finde nogen sider"
"Update product's %s %s: %s","Opdater produkter %s %s: %s"
"Websites","Websites"
"Yes","Ja"
