"Account login","Kontologin"
"Account password","Kontopassword"
"Active","Aktiv"
"Add Attribute Mapping","Tilføj egenskabsmapping"
"Add New Attribute","Tilføj ny egenskab"
"Add to Google Base","Tilføj til Google Base"
"Are you sure?","Er du sikker?"
"Attribute","Egenskab"
"Attribute Set","Egenskabssæt"
"Attribute Set and Item Type","Egenskabssæt og produkttype"
"Attributes","Egenskaber"
"Attributes Set","Egenskabssæt"
"Attributes mapping","Egenskabsmapping"
"AuthSub","AuthSub"
"Available Products","Tilgængelige produkter"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmation error: %s","Captcha bekræftelsesfejl: %s"
"Captcha confirmed successfully","Captcha bekræftet"
"Clicks","Klik"
"ClientLogin","ClientLogin"
"Confirm","Bekræft"
"Current Mapping will be reloaded. Continue?","Den nuværende mapping genindlæses. Fortsæt?"
"Custom attribute, no mapping","Tilpasset egenskab, ingen mapping"
"Default Store (%s)","Standardbutik (%s)"
"Delete","Slet"
"Delete Mapping","Slet mapping"
"Edit Item Type","Rediger produkttype"
"Edit Item Type ""%s""","Rediger varetype ""%s"""
"Error: %s","Fejl: %s"
"Euro","Euro"
"Expires","Udløber"
"Germany","Tyskland"
"Google Base","Google Base"
"Google Base Attribute","Google Base egenskab"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base produkttype"
"Google Base Item type","Google Base produkttype"
"Google Base Items","Google Base produkter"
"Hide","Skjul"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ugyldig produktmodel for Google Base-produkt"
"Item Type was deleted","Produkttype slettet"
"Item Types","Produkttyper"
"Item model is not specified to delete Google Base entry","Produktmodel er ikke specificeret til at slette Google Base-indlæg"
"Item type was successfully saved","Produkttype er gemt"
"Items","Produkter"
"Manage Attribute Mapping","Administrer egenskabsmapping"
"Manage Attributes","Administrer egenskaber"
"Manage Items","Administrer produkter"
"New Item Type","Ny produkttype"
"No","Nej"
"No items were deleted from Google Base","Ingen produkter blev slettet fra Google Base"
"No items were published","Ingen produkter blev udgivet"
"No items were saved as Inactive items","Ingen produkter blev gemt som inaktive produkter"
"No products were added to Google Base","Ingen produkter blev tilføjet til Google Base"
"Object model is not specified to save Google Base entry","Objektmodel er ikke specificeret til at gemme Google Base-indlæg"
"Page views","Sidevisninger"
"Please, select Attribute Set and Google Item Type to load attributes","Vælg egenskabssæt og Google produkttype for at indlæse egenskaber"
"Product Name","Produktnavn"
"Publish","Udgiv"
"Published","Udgivet"
"Remove","Fjern"
"Save Mapping","Gem mapping"
"Synchronize","Synkroniser"
"Target Country","Målland"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Denne handling vil opdatere produktstatistik og fjerne de produkter, der ikke er tilgængelige i Google Base. Fortsæt?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","I alt %d produkt(er) blev slettet, i alt %d produkt(er) blev opdateret"
"Total of %d items(s) were successfully published","I alt %d produkt(er) blev udgivet"
"Total of %d items(s) were successfully removed from Google Base","I alt %d produkt(er) blev fjernet fra Google Base"
"Total of %d items(s) were successfully saved as Inactive items","I alt %d produkt(er) blev gemt som inaktive produkter"
"Total of %d product(s) were successfully added to Google Base","I alt %d produkt(er) blev tilføjet til Google Base"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kunne ikke forbinde til Google Base. Kontroller kontoindstillingerne."
"United Kingdom","Storbritannien"
"United States","USA"
"Update Google Base item when product is updated","Opdater Google Base-produkt når produktet opdateres"
"View Available Products","Vis tilgængelige produkter"
"View Item in Google Base","Vis produkt i Google Base"
"Yes","Ja"
