"%s was successfully added to your shopping cart.","%s blev tilføjet din indkøbskurv."
"&laquo; Back to Billing Information","&laquo; Tilbage til 'Betalingsoplysninger'"
"&laquo; Back to Select Addresses","&laquo; Tilbage til 'Vælg adresser'"
"&laquo; Back to Shopping Cart","&laquo; Tilbage til indkøbskurv"
"* Required Fields","* Skal udfyldes"
"Add New Address","Tilføj ny adresse"
"Add New Condition","Tilføj nyt vilkår"
"Add to Cart","Læg i kurv"
"Add to Compare","Tilføj til sammenligning"
"Add to Wishlist","Sæt på ønskeseddel"
"Address","Gade/vej"
"Address %s of %s","Adresse %s af %s"
"After adding a product redirect to shopping cart","Efter tilføjelse af produkt, gå til kurven"
"Allow Guest Checkout","Tillad gæstebestilling"
"Already registered?","Allerede oprettet?"
"An error occurred in the process of payment","En fejl opstod ved behandling af betalingen"
"Apply Coupon","Anvend kupon"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på, at varen skal fjernes fra kurven?"
"Back","Tilbage"
"Back to Shipping Information","Tilbage til leveringsinformation"
"Based on your selection, you may be interested in the following items:","Baseret på indholdet af din kurv vil du måske også være interesseret i følgende varer:"
"Billing Address","Betalingsadresse"
"Billing Information","Betalingsadresse"
"Billing Information - %s","Faktureringsinformation - %s"
"Can not add item to shopping cart","Varen kunne ikke lægges i kurven."
"Can not apply coupon code.","Rabatkoden kunne ikke tildeles."
"Can't open overview page","Kan ikke åbne oversigtsside"
"Cancel Coupon","Annuller rabatkupon"
"Cannot remove item","Produktet kunne ikke fjernes"
"Cannot update shopping cart","Indkøbskurv kan ikke opdateres"
"Card Verification Number Visual Reference","Kontrolcifre (visuel reference)"
"Cart Subtotal:","Indkøbskurv subtotal:"
"Change","Rediger"
"Change Billing Address","Skift betalingsadresse"
"Checkbox text","Checkbox tekst"
"Checkout","Bestilling"
"Checkout Conditions","Bestillingsvilkår"
"Checkout Options","Bestillingsmuligheder"
"Checkout Section","Bestillingssektion"
"Checkout Terms and Conditions","Bestillingsvilkår"
"Checkout as Guest","Bestil som gæst"
"Checkout as a Guest or Register","Gå til bestilling som gæst eller opret dig som bruger"
"Checkout method","Bestillingsmetode"
"Checkout with Multiple Addresses","Bestil til flere adresser"
"City","By"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" onclick=""this.target='_blank'"">her for at printe</a> en kopi af din ordrebekræftelse."
"Close","Luk"
"Company","Firma"
"Condition Name","Navn på vilkår"
"Condition was successfully deleted","Vilkåret er slettet"
"Condition was successfully saved","Vilkåret er gemt"
"Configurable product image","Konfigurerbart produktbillede"
"Confirm Password","Bekræft kodeord"
"Content","Indhold"
"Content Height","Indholdshøjde"
"Content Height (css)","Indholdshøjde (css)"
"Continue","Fortsæt"
"Continue Shopping","Fortsæt med at shoppe"
"Continue to Billing Information","Fortsæt til betalingsadresse"
"Continue to Review Your Order","Fortsæt til ordreoversigten"
