"Alert Email Sender","Overvågningsbesked - afsender"
"Alert subscription was deleted successfully","Overvågningen er slået fra"
"Alert subscription was saved successfully","Overvågningen er slået til"
"Allow alert when product comes back in stock","Modtag besked når varen er på lager igen"
"Allow alert when product price changes","Modtag besked når varens pris går op eller ned"
"Click here not to receive alerts for this product","Klik her for at slå prisovervågning fra for dette produkt"
"Error Email Recipient","Fejl - modtager"
"Error Email Sender","Fejl - afsender"
"Error Email Template","Fejl - e-mailskabelon"
"Frequency","Hyppighed"
"Not enough parameters","For få parametre angivet"
"Please try again later","Prøv venligst igen senere"
"Price alert Email Template","E-mailskabelon - Prisovervågning"
"Price:","Pris:"
"Product Alerts","Produktovervågning"
"Product Alerts Run Settings","Produktovervågning - kørselsindstillinger"
"Product alerts Cron error","Produktovervågning - Cron-fejl"
"Product not found","Produkt findes ikke"
"Product price alert","Prisovervågning"
"Product stock alert","Lagerovervågning"
"Sign up for price alert","ønsker du at modtage besked, når prisen på dette produkt ændrer sig?"
"Sign up to get notified when this product is back in stock","Ønsker du at modtage en besked, når vi igen har produktet på lager?"
"Special price:","Specialpris:"
"Start Time","Starttidspunkt"
"Stock alert Email Template","Varsel om lagerstatus - mailskabelon"
"Unsubscribe from all price alerts","Slå al prisovervågning fra"
"Unsubscribe from all stock alerts","Slå al lagerovervågning fra"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Følgende produkter er nu på lager igen:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Du modtager denne meddelelse, fordi du abonnerer på få besked, når priserne for de følgende produkter ændres:"
"You will no longer receive price alerts for this product","Prisovervågning for dette produkt er slået fra"
"You will no longer receive stock alerts","Lagerstatus-overvågning er slået fra"
"You will no longer receive stock alerts for this product","Lagerovervågning for dette produkt er slået fra"
