"All Websites","Alle websites"
"Apply Percent Discounts To FPT","Brug procentrabatter på fast produktmoms (FPT)"
"Apply Tax To FPT","Læg moms på fast produktmoms (FPT)"
"Display Prices In Emails","Vis priser i e-mails"
"Display Prices In Product Lists","Vis priser i produktlister"
"Display Prices In Sales Modules","Vis priser i salgsmoduler"
"Display Prices On Product View Page","Vis priser på produktside"
"Enable FPT","Aktiver fast produktmoms (FPT)"
"Excluding FPT","Ekskl. fast produktmoms (FPT)"
"Excluding FPT, FPT description, final price","Ekskl. FPT, FPT-beskrivelse, slutpris"
"Fixed Product Tax","Fast produktmoms (FPT)"
"Fixed Product Taxes","Fast produktmoms (FPT)"
"Include FPT In Subtotal","Inkluder FPT i subtotal"
"Including FPT and FPT description [excl. FPT VAT]","Inkl. FPT og FPT-beskrivelse [ekskl. FPT-moms]"
"Including FPT and FPT description [incl. FPT VAT]","Inkl. FPT og FPT-beskrivelse [inkl. FPT-moms]"
"Including FPT only","Kun med fast produktmoms"
"Total","Total"
"Total incl. tax","Total inkl. moms"
