"%s is not supported currency.","%s er ikke en understøttet valuta."
"Accept","Accepter"
"Basic","Basis"
"Cannot retreive rate from strikeirion.","Kan ikke hente kurs fra strikeirion."
"Cannot retrieve rate from %s to %s","Kan ikke hente kurs fra %s til %s"
"Check all email servers","Kontroller alle mailservere"
"Complete","Færdig"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"Customer Tax Class","Momsgruppe for kunder"
"Email Verification","Email-bekræftelse"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-mail-adressen kunne ikke bekræftes. Kontroller venligst at din e-mail-adresse er indtastet korrekt."
"Enable US address verification","Aktiver USA-adresseverifikation"
"Enable email verification","Aktiver e-mail-verifikation"
"Enable foreign exchange rate","Aktiver udenlandske vekselkurser"
"Enable global address verification","Aktiver global adresseverifikation"
"Enable sales and use tax","Aktiver salg og brug moms"
"Error Email Recipient","Fejlmail - modtager"
"Error Email Sender","Fejlmail - afsender"
"Error Email Template","Fejlmail - skabelon"
"Error address action","Handling for fejladresse"
"Foreign Exchange Rates","Udenlandske vekselkurser"
"Global Address Verification","Global adresseverifikation"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Hvis typen er færdig og postnummer tilhører flere momsrater, vælg om der skal opkræves minimum eller maximum momsrate."
"Invalid email address","Ugyldig e-mail-adresse"
"Maximum tax rate","Maximum momsrate"
"Minimum tax rate","Minimum momsrate"
"Password","Adgangskode"
"Pop up warning and accept","Pop up-advarsel og accept"
"Product Tax Class","Momsgruppe for produkter"
"Reject","Afvis"
"Sales and Use Tax","Salg og brug moms"
"Sales and Use Tax Type","Salg og brug momstype"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron konfig"
"Strikeiron Section","Strikeironsektion"
"Strikeiron foreign exchange rate is disabled","Strikeiron udenlandsk valutakurs er deaktiveret"
"Tax","Moms"
"There is an error in retrieving tax rate. Please contact us","Momsraten kunne ikke hentes. Kontakt os venligst"
"There is an error in verifying an email. Please contact us.","E-mailen kunne ikke verificeres. Kontakt os venligst"
"There is no more hits remaining for the foreign Exchange Rate Service.","Der er ikke flere hits tilbage på den udenlandske valutakurs-service."
"There is no response back from Strikeiron server","Strikeiron-serveren svarer ikke"
"US Address Verification","USA adresseverifikation"
"Undetermined email action","Udefineret e-mailhandling"
"Use","Brug"
"User ID","Bruger-ID"
"Verify address in admin","Verificer adresse i admin"
"Verify email in admin","Verificer e-mail i admin"
