"Add Recipient","Tilføj modtager"
"Allow for Guests","Tillad gæster at bruge denne funktion"
"Email Address","E-mailadresse"
"Email Address:","E-mailadresse:"
"Email templates","E-mailskabelon"
"Email to a Friend","Tip en ven"
"Email:","E-mail:"
"Enabled","Aktiv"
"Limit Sending By","Begræns afsending til"
"Link to a friend was sent.","Din ven blev tippet."
"Max Products Sent in 1 Hour","Maks. antal produkter sendt i timen"
"Max Recipients","Maks. antal modtagere"
"Maximum %d email addresses allowed.","Maksimum %d e-mailadresser tilladt."
"Message:","Besked:"
"Name","Navn"
"Name:","Navn:"
"Recipient:","Modtager:"
"Remove Email","Fjern e-mail"
"Select email template","Vælg skabelon"
"Send email","Send e-mail"
"Send product to a friend","Send produkt til en ven"
"Sender:","Afsender:"
"Some emails was not sent","Nogle e-mails kunne ikke sendes"
"Some problems with data.","Problemer med data."
"You cannot email this product to a friend","Dette produkt kan ikke sendes"
"You cannot send more than %d times in an hour","Du kan kun sende tips %d gange i løbet af en time"
