"Actions","Handlinger"
"Are you sure?","Er du sikker?"
"Date Added","Dato tilføjet"
"Error while marking as read. Please try again later.","Fejl ved markering som læst. Prøv igen senere."
"Error while marking. Please try again later.","Fejl ved markering. Prøv igen senere."
"Error while removing. Please try again later.","Fejl ved sletning. Prøv igen senere."
"Last update","Seneste opdatering"
"Mark as Read","Marker som læst"
"Mark as read","Marker som læst"
"Message","Besked"
"Message was successfully marked as read","Beskeden er markeret som læst"
"Message was successfully removed","Beskeden er slettet"
"Messages Inbox","Indbakke"
"Notifications","Notifikationer"
"Please select messages","Vælg beskeder"
"Read Details","Læs detaljer"
"Remove","Slet"
"Severity","Alvorlighed"
"Show List","Vis liste"
"Show Toolbar","Vis værktøjslinje"
"Total of %d record(s) were successfully marked as read","I alt %d beskeder blev markeret som læst"
"Total of %d record(s) were successfully removed","I alt %d beskeder blev slettet"
"Unable to proceed. Please, try again","Kan ikke fortsætte. Prøv igen"
"Update frequency","Opdateringsfrekvens"
"Use HTTPS to get feed","Brug HTTPS for at hente feed"
"critical","kritisk"
"major","større"
"minor","mindre"
"notice","notits"
