"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s er sat på din ønskeseddel. Klik <a href=""%2$s"">her</a> for at shoppe videre"
"%s's Wishlist","%s's Wishlist"
"* Required Fields","* Skal udfyldes"
"Add All to Cart","Læg alle ønsker i indkøbskurven"
"Add to Cart","Læg i kurv"
"Add to Wishlist","Tilføj til ønskeseddel"
"Added On","Tilføjet den"
"Are You sure?","Er du sikker?"
"Are you sure you want to remove this product from your wishlist?","Er du sikker på, at du vil fjerne produktet fra din ønskeseddel?"
"Are you sure you would like to remove this item from the wishlist?","Er du sikker på at du vil fjerne dette produkt fra ønskesedlen?"
"Back","Tilbage"
"Can't save description %s","Kan ikke gemme beskrivelse %s"
"Cannot create wishlist","Der opstod en fejl under oprettelse af ønskesedlen."
"Cannot specify product","Kan ikke specificere produkt"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Sæt kryds her for at aktivere link til modtagelse af RSS-feed fra ønskeseddel."
"Comment","Kommentar"
"Email Sender","Afsender"
"Email Template","Skabelon"
"Email address can't be empty.","E-mail-adresse må ikke være tom."
"Email addresses, separated by commas","E-mailadresser, adskilt med komma"
"Enabled","Aktiv"
"General Options","Generelt"
"Go to Wishlist","Se ønskeseddel"
"Last Added Items","Senest tilføjet"
"Message","Besked"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Min ønskeseddel (%d ønske)"
"My Wishlist (%d items)","Min ønskeseddel (%d ønsker)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Indtast venligst valide e-mailadresser adskilt med kommaer. For eksempel: lottejensen@adresse.dk, soren@eksempel.dk."
"Please, enter your comments...","Skriv dine kommentarer her..."
"Product","Produkt"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link til %s's ønskeseddel"
"Remove Item","Fjern ønske"
"Share Wishlist","Del din ønskeseddel med andre"
"Share Your Wishlist","Del din ønskeseddel med andre"
"Share options","Delingsindstillinger"
"Sharing Information","Delingsinformation"
"There was an error while adding item to wishlist.","Der opstod en fejl under tilføjelsen af en vare til ønskesedlen."
"There was an error while adding item to wishlist: %s","Der opstod en fejl, da varen skulle skrives på ønskesedlen. Fejl: %s"
"There was an error while deleting item from wishlist.","Der opstod en fejl under sletningen af en vare fra ønskesedlen."
"There was an error while deleting item from wishlist: %s","Der opstod en fejl, da varen skulle fjernes fra ønskesedlen. Fejl: %s"
"This product(s) is currently out of stock:","Følgende vare(r) er i øjeblikket ikke på lager:"
"Update Wishlist","Opdater ønskeseddel"
"View Product","Vis produkt"
"Wishlist","Ønskeseddel"
"Wishlist Section","Ønskeseddelsektion"
"Wishlist Sharing","Deling af ønskeseddel"
"Wishlist is empty now.","Ønskesedlen er tom."
"You have no items in your wishlist.","Ønskesedlen er tom."
"You input not valid email address.","E-mail-adressen er ikke gyldig."
"Your Wishlist was successfully shared","Din ønskeseddel er nu delt"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Min ønskeseddel"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
