"Add New Row","Tilføj ny række"
"An error occurred while saving the file(s).","Der opstod en fejl ved lagring af fil(erne)."
"Availability: In stock.","Status: På lager."
"Availability: Out of stock.","Status: Ikke på lager."
"Back","Tilbage"
"Can't connect to remote host, error: %s","Kan ikke forbinde til værten, fejl: %s"
"Canceled","Annulleret"
"Date","Dati"
"Default Link Title","Standardlinktitel"
"Default Maximum Number of Downloads","Standardantal maksimale downloads"
"Default Sample Title","Standardprøvetitel"
"Disable Guest Checkout if cart contains downloadable items","Deaktiver gæstebestilling hvis kurven indeholder virtuelle produkter"
"Downloadable Information","Virtuel information"
"Downloadable Product","Virtuelt produkt"
"Downloadable Product Options","Muligheder for virtuelt produkt"
"Downloadable product Section","Virtuel produktsektion"
"Excl. Tax","Ekskl. moms"
"File","Fil"
"File does not exists","Filen eksisterer ikke"
"From:","Fra:"
"Gift Message","Gavebesked"
"Go to <a href=""%s"">My Downloadable Products</a>","Gå til <a href=""%s"">Mine virtuelle produkter</a>"
"Guest checkout will only work with shareable","Gæstebestilling virker kun med deling"
"Incl. Tax","Inkl. moms"
"Invalid download URL host","Ugyldig URL-host for download"
"Invalid download URL scheme","Ugyldigt URL-scheme for download"
"Invalid download link type","Ugyldig linktype for download"
"Invoiced","Faktureret"
"Link has expired.","Linket er udløbet."
"Link is not available.","Linket er utilgængeligt."
"Links can be purchased separately","Links kan købes separat"
"Max. Downloads","Max. downloads"
"Message:","Besked:"
"My Downloadable Products","Mine virtuelle produkter"
"Open Links in New Window","Åbn links i nyt vindue"
"Order #","Ordre #"
"Order Item Status to enable Downloads","Ordrevarens status for at aktivere downloads"
"Ordered","Bestilt"
"Pending","Afventende"
"Please log in to download your product.","Log ind for at downloade dit produkt."
"Please set resource file and link type","Indstil venligst ressourcefil og linktype"
"Please specify product link(s).","Angiv venligst produktlink(s)."
"Price","Pris"
"Refunded","Refunderet"
"Remaining Downloads","Resterende downloads"
"Remove item","Fjern vare"
"Requested link doesn't exist.","Linket eksisterer ikke."
"Sample","Eksempel"
"Shareable","Deling muligt"
"Shipped","Afsendt"
"Sorry, the was an error getting requested content. Please contact store owner.","Beklager, der skete en fejl ved indlæsning. Kontakt venligst butiksejeren."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Beklager, der skete en fejl ved indlæsning. Kontakt venligst butiksejeren."
"Sort Order","Sorteringsrækkefølge"
"Start Download","Start download"
"Status","Status"
"Title","Titel"
"To:","Til:"
"U","U"
"Unlimited","Ubegrænset"
"View Order","Vis ordre"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"attachment","vedhæftning"
"download","download"
"inline","inline"
"sample","eksempel"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
