"-- Please select --","-- Vælg venligst --"
"Allowed currencies","Tilladte valutaer"
"Base currency","Basisvaluta"
"Cannot retrieve rate from %s","Kan ikke hente kurs fra %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Fortsæt &raquo;"
"Country","Land"
"Country Api","Lande-API"
"Country and Format Type combination should be unique","Kombination af land og formattype skal være unik"
"Currency","Valuta"
"Currency Options","Valuta (indstillinger)"
"Currency Setup","Valutaopsætning"
"Currency Update Warnings","Advarsler ved valutaopdatering"
"Currency will be used for all online payment transactions","Valutaen vil blive brugt til alle online betalingstransaktioner"
"Default display currency","Standard katalogvaluta"
"Directory","Register"
"Enabled","Aktiv"
"Error Email Recipient","Fejl: e-mailmodtager"
"Error Email Sender","Fejl: e-mailafsender"
"Error Email Template","Fejl: e-mailskabelon"
"FATAL ERROR:","FATAL FEJL:"
"Frequency","Frekvens"
"Installed Currencies","Installerede valutaer"
"Invalid Import Service Specified","Ugyldig import-service"
"Invalid country code: %s","Ugyldig landekode: %s"
"Invalid rates received","Ugyldige kurser blev modtaget"
"Invalid target currency","Ugyldig valuta"
"List of countries","Landeliste"
"List of regions in specified country","Liste over regioner i landet"
"Region","Region"
"Region Api","Regions-API"
"Remove space from currency sign","Fjern mellemrum fra valutasymbol"
"Scheduled Import Settings","Planlagt import (indstillinger)"
"Select Your Currency","Vælg valuta"
"Service","Service"
"Start Time","Starttidspunkt"
"State/Province","Region"
"Strikeiron Email Update Warnings","Strikeiron e-mail til opdateringsadvarsler"
"Unable to initialize import model","Import-model kunne ikke initialiseres"
"Undefined rate from ""%s-%s""","Undefined rate from ""%s-%s"""
"WARNING:","ADVARSEL:"
"Webservicex","Webservicex"
"Your current currency is: %s","Nuværende valuta: %s"
