"# of Use","# i brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s vare(r)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"(Will make search for the query above return results for this search.)","(Synonym vil give samme søgeresultater som søgningen ovenfor.)"
"* Required Fields","* Påkrævede felter"
"-- Please Select --","-- Vælg venligst --"
"A name is required","Navn skal udfyldes"
"ALL GROUPS","ALLE GRUPPER"
"AM","AM"
"Action","Handling"
"Add Attribute","Tilføj egenskab"
"Add Design Change","Tilføj designændring"
"Add Group","Tilføj gruppe"
"Add Items to Cart","Læg varer i kurven"
"Add New","Tilføj ny"
"Add New Attribute","Tilføj ny egenskab"
"Add New Attribute Set","Tilføj nyt egenskabssæt"
"Add New Group","Tilføj ny gruppe"
"Add New Images","Tilføj nye billeder"
"Add New Option","Tilføj ny valgmulighed"
"Add New Row","Tilføj række"
"Add New Search Term","Tilføj nyt søgeord"
"Add New Set","Tilføjt nyt sæt"
"Add Option","Tilføj mulighed"
"Add Product","Tilføj produkt"
"Add Product To Websites","Tilføj produkt til websites"
"Add Root Category","Tilføj rodkategori"
"Add Subcategory","Tilføj underkategori"
"Add Tax","Tilføj moms"
"Add Tier","Tilføj interval"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign med andre produkter"
"Add to My Wishlist","Tilføj til ønskeseddel"
"Add to Wishlist","Sæt på ønskeseddel"
"Additional Information","Yderligere information"
"All","Alle"
"All Product Types","Alle produkt typer"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle produkter med dette sæt vil blive slettet! Er du sikker på at du vil slette dette egenskabssæt?"
"Allow HTML-tags on Front-end","Tillad HTML-tags på frontend"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","Føj til"
"Apply To Configurable/Grouped Product","Tilføj til grupperet produkt"
"Approved","Godkendt"
"Are you sure you want to delete this category?","Er du sikker på, at kategorien skal slettes?"
"Are you sure you would like to remove all products from your comparison?","Er du sikker på at du vil fjerne alle produkter fra din sammenligning?"
"Are you sure you would like to remove this item from the compare products?","Er du sikker på at du vil fjerne denne vare fra sammenligningen?"
"Are you sure?","Er du sikker?"
"As low as:","Ned til:"
"Assign","Tildel"
"Assign product link","Tildel produktlink"
"Assign product to category","Tilknyt produkt til kategori"
"Assigned Products","Tilknyttede produkter"
"Associated Products","Relaterede produkter"
"Attrib. Set Name","Sæt af egenskaber"
"Attribute Code","Egenskabskode"
"Attribute Information","Egenskab - detaljer"
"Attribute Label","Titel"
"Attribute Model","Egenskabsmodel"
"Attribute Name:","Navn:"
"Attribute Properties","Indstillinger for egenskab"
"Attribute Set","Sæt af egenskaber"
"Attribute group with the ""/name/"" name already exists","Der eksisterer allerede en egenskabsgruppe med navnet ""/name/"""
"Attribute model not defined","Fejl: Model for attributter er ikke defineret"
"Attribute with the same code already exists","Egenskab med samme kode findes allerede"
"Attributes","Produktegenskaber"
"Attrribute names can be specified per store.","Egenskabsnavne kan specificeres for hver butik"
"Autogenerate","Autogenerer"
"Availability","Status"
"Availability: In stock.","Status: På lager."
"Availability: Out of stock.","Status: Ikke på lager."
"Back","Tilbage"
"Backend Model","Model (backend)"
"Backend Table","Tabel (backend)"
"Backend Table Title","Tabeltitel (backend)"
"Backorders","Restordrer"
"Base directory to upload image file is not specified","Rodfolder til upload af billede ikke angivet"
"Based On","Baseret på"
"Best Value","Bedste køb"
"Block after Info Column","Blok efter infosøjle"
"Bottom/Left","Bunden/venstre"
"Bottom/Right","Bunden/højre"
"Browse By","Vis efter"
"Buy %1$s for %2$s","Køb %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Køb %1$s for %2$s (%3$s inkl. moms) pr. styk"
"Buy %1$s for %2$s each","Køb %1$s for %2$s pr. stk."
"Can be used only with catalog input type Dropdown","Kan kun bruges som drop-down-felt"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan kun blive brugt ved katalog input type Dropdown, flere valg og pris"
"Can't create image.","Kan ikke oprette billede."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Egenskab for vare i kurv"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Kataloginput for ejer af forretning"
"Catalog Price Scope","Anvendelsesområde for katalogpriser"
"Catalog Section","Katalogsektion"
"Catalog, Search","Katalog, søgning"
"Categories","Kategorier"
"Categories Sitemap","Sitemap for kategorier"
"Category","Kategori"
"Category API","Kategori-API"
"Category Data","Kategori - detaljer"
"Category Navigation:","Gennemse kategorier:"
"Category Products","Produkter i denne kategori"
"Category Top Navigation","Topnavigation for kategorier"
"Category URL Suffix","Suffix for kategori-URLs"
"Category attributes API","Kategoriegenskabs-API"
"Category delete error","Fejl under sletning af kategori"
"Category deleted","Kategorien er slettet"
"Category move error","Fejl - kategorien kunne ikke flyttes"
"Category must be instance of Mage_Catalog_Model_Category","Kategori skal være en instans af Mage_Catalog_Model_Category"
"Category saved","Kategorien er gemt"
"Change","Rediger"
"Change or Retrieve attribute store view","Rediger eller hent forretningsvisning for egenskab"
"Change status","Ændre status"
