" and "," og "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolut sti eller relativ til Magento's rodmappe var/export)"
"(For US 2-letter state names)","(Til 2-bogstavsnavne på amerikanske stater)"
"(If left empty will be auto-generated)","(Autogenereres hvis udeladt)"
"(Leave empty for first spreadsheet)","(Første ark hvis udeladt)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter tilføjes/opdateres til denne butik hvis butikskolonnen er tom eller udeladt fra importfilen.)"
"(Shift-)Click or drag to change value","(Shift-)klik eller træk for at ændre"
"(Starting with)","(Stater med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ved nej importeres kun mappede felter. Ved mapping, brug 'kolonne1', 'kolonne2' osv.)"
"(You have to increase php memory_limit before changing this value)","(Du skal forøge php memory_limit før du ændrer denne værdi)"
"(\t for tab)","(\t for tab)"
"- Click on any of the time parts to increase it","- Klik på en tidsdel for at forøge den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen nede på en knap for hurtigere udvælgelse."
"- Use the %s buttons to select month","- Brug %s-knapperne for at vælge måned"
"- Use the %s, %s buttons to select year","- Brug %s, %s-knapperne for at vælge år"
"- or Shift-click to decrease it","- eller shift-klik for at formindske den"
"- or click and drag for faster selection.","- eller klik og træk for hurtigere udvælgelse."
"API:","API:"
"About the calendar","Om kalenderen"
"Access Denied.","Adgang nægtet."
"Account Created in:","Konto oprettet i:"
"Account Created on (%s):","Konto oprettet på (%s):"
"Account Created on:","Konto oprettet:"
"Action","Handling"
"Actions","Handlinger"
"Add","Add"
"Add Contents Path","Tilføj indholdssti"
"Add Field with URL:","Tilføj felt med URL:"
"Add Maintainer","Tilføj vedligeholder"
"Add New Role","Tilføj ny rolle"
"Add New Template","Tilføj ny skabelon"
"Add New User","Tilføj ny bruger"
"Add PHP Extension dependency","Tilføj afhængighed af PHP extension"
"Add Package dependency","Tilføj pakkeafhængighed"
"Add Subpackage dependency","Tilføj subpakkeafhængighed"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","Adressetype:"
"All","Alle"
"All Websites","Alle websites"
"All fields","Alle felter"
"Archive file name:","Arkivfil:"
"Are you sure that you want to delete this template?","Er du sikker på at du vil slette denne skabelon?"
"Are you sure that you want to strip tags?","Er du sikker på at du vil fjerne tags?"
"Attribute Set Name:","Navn på egenskabssæt:"
"Attributes","Egenskaber"
"Available Products","Tilgængelige produkter"
"Big Image","Stort billede"
"Billing Address","Faktureringsadresse"
"Bundle Items","Sammensatte varer"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Sammensat vare med dynamisk prissætning må ikke indeholde tilpassede valgmuligheder. Tilpasningsmulighederne vil ikke blive gemt."
"CSV / Tab separated","CSV/tab-separeret"
"Card Verification Number","Verifikationskode for kort"
