"* Required Fields","* Skal udfyldes"
"A new password was sent","Nyt kodeord blev sendt til kunden"
"Account Dashboard","Kontooversigt"
"Account Information","Log ind-oplysninger"
"Account Sharing Options","Indstillinger for kontodeling"
"Account information was successfully saved","Kontoændringer blev gemt"
"Action","Handling"
"Add New Address","Tilføj ny adresse"
"Add New Customer","Tilføj kunde"
"Add New Customer Group","Tilføj ny kundegruppe"
"Added From","Tilføjet fra"
"Additional Address Entries","Yderligere adresser"
"Address","Gade/vej"
"Address Book","Adresser"
"Address Information","Adresseinformation"
"Addresses","Adresser"
"Admin","Admin"
"All","Alle"
"All Store Views","Alle forretningsvisninger"
"All countries","Alle lande"
"Always optional","Altid valgfrit"
"Amount","Beløb"
"Approved","Godkendt"
"Are you sure that you want to remove this item?","Er du sikker på, at du ønsker at fjerne dette?"
"Are you sure you want to cancel adding of this address?","Er du sikker på, at du vil annullere tilføjelsen af adressen?"
"Are you sure you want to delete this address?","Er du sikker på, at du vil slette denne adresse?"
"Are you sure?","Er du sikker?"
"Array of Entity collections is expected","En array med enhedsliste (entity collection) blev forventet."
"Assign a customer group","Tildel kundegruppe"
"Average Sale","Gns. pris for salg"
"Back","Tilbage"
"Back to Login","Tilbage til log ind"
"Bad request.","Ugyldig forespørgsel."
"Bill to Name","Faktureringsnavn"
"Billing Information","Betalingsinformation"
"Bought From","Købt i"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved at oprette en konto i vores shop, vil du være i stand til at <br>(1) gennemføre dine køb meget hurtigere<br>(2) gemme flere leveringsadresser<br>(3) se og spore dine ordrer på din konto og meget mere."
"CSV","CSV"
"Can't save address","Kan ikke gemme adresse"
"Can't save customer","Kan ikke gemme kunde"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Kan ikke dele kundekonto globalt, da der findes kundekonti med samme e-mail-adresser på flere websites, som ikke kan flettes sammen."
"Cancel","Annuller"
"Change Account Password","Rediger kodeord for konto"
"Change Billing Address","Rediger betalingsadresse"
"Change Password","Skift kodeord"
"Change Shipping Address","Rediger leveringsadresse"
"City","By"
"Company","Firma"
"Config","Konfiguration"
"Confirm New Password","Bekræft nyt kodeord"
"Confirm Password","Bekræft kodeord"
"Confirmation Link Email","Bekræftelsesmail"
"Confirmed","Bekræftet"
"Contact Information","Kontaktinformation"
"Continue Shopping","Køb flere varer"
"Country","Land"
"Create","Opret"
"Create New Account Options","Indstillinger for kontooprettelse"
"Create New Customer Account","Opret ny kundekonto"
"Create Order","Opret ordre"
"Create an Account","Opret konto"
"Create customer","Opret kunde"
"Create customer address","Opret kundeadresse"
"Current Password","Nuværende kodeord"
"Customer","Kunde"
"Customer Addresses","Kundeadresser"
"Customer Api","Kunde-API"
"Customer Configuration","Kundekonfiguration"
"Customer Group","Kundegruppe"
"Customer Group was successfully deleted","Kundegruppe er slettet"
"Customer Group was successfully saved","Kundegruppe er gemt"
"Customer Groups","Kundegrupper"
"Customer Information","Kundedetaljer"
"Customer Login","Log-ind"
"Customer Since","Oprettet"
"Customer View","Kundedetaljer"
"Customer collection expected","En liste af kunder forventes"
"Customer doesn't have primary billing address","Kunden har ingen primær faktureringsadresse"
"Customer email already exists","E-mailadresse eksisterer allerede"
"Customer website id must be specified, when using website scope.","Website-ID for kunde skal angives når anvendelsesområdet website benyttes"
"Customers","Kunder"
"Customers Only","Kun for kunder"
"Customers Section","Kundesektion"
"DD","DD"
"Date","Dato"
"Date Added","Tilføjet d."
"Date of Birth","Fødselsdato"
"Date of Birth is required.","Fødselsdato kræves."
"Day","Dag"
"Days in Wishlist","Antal dage på ønskeseddel"
"Default Addresses","Adresser (standard)"
"Default Billing Address","Standard betalingsadresse"
"Default Email Domain","Domæne for e-mail (standard)"
"Default Group","Gruppe (standard)"
"Default Shipping Address","Standard leveringsadresse"
"Default Welcome Email","Standardvelkomstmail"
"Delete","Slet"
"Delete Address","Slet adresse"
"Delete Customer","Slet kunde"
"Delete Customer Group","Slet kundegruppe"
"Delete customer","Slet kunde"
"Delete customer address","Slet kundeadresse"
"Deleted Stores","Slettede forretninger"
"Details","Detaljer"
"Disabled","Inaktiv"
"Edit","Rediger"
"Edit Account Info","Rediger kontoinfo"
"Edit Account Information","Rediger kontoinformation"
"Edit Address","Rediger adresse"
"Edit Address Entry","Rediger adresse"
"Edit Customer Group ""%s""","Rediger kundegruppe ""%s"""
"Edit Customer Groups","Rediger kundegrupper"
"Edit Customer's Address","Rediger kundens adresse"
"Edit Group","Rediger gruppe"
"Edit Newsletter Subscription","Tilmeld/frameld nyhedsbrev"
"Edit Newsletters","Rediger nyhedsbreve"
"Edit Personal Information","Rediger personlig information"
"Email","E-mail"
"Email Address","E-mailadresse"
"Email Sender","Afsender"
"Entity collection is expected","Enhedsliste blev forventet"
"Error during retrieval of option value: %s","Værdi for mulighed %s kunne ikke hentes"
"Ext. Price","Vejledende udsalg"
"Failed to confirm customer account.","Bekræftelse af kundekonto mislykkedes."
"Fax","Fax"
"First Name","Fornavn"
"First name can't be empty","Fornavn må ikke stå tomt"
"Forgot Email Sender","Glemt afsender"
"Forgot Email Template","Glemt e-mailskabelon"
"Forgot Your Password?","Glemt dit kodeord?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","I kontooversigten kan du se de seneste bevægelser og opdatere din kontoinformation. Vælg et link nedenfor for at se eller ændre information."
"General Subscription","Generelt nyhedsbrev"
"Global","Global"
"Go to Address Book","Gå til adressebog"
"Grand Total","Total"
"Grand Total: %s","Total: <strong>%s</strong>"
"Group","Gruppe"
"Group ""%s"" can not be deleted","Gruppen ""%s"" kan ikke slettes"
"Group Information","Gruppe-detaljer"
"Group Name","Gruppenavn"
"Guest","Gæst"
"HTML","HTML"
"Hello, %s!","Velkommen %s!"
"ID","ID"
"IP Address","IP-adresse"
"If you have an account with us, please log in.","Har du allerede en konto hos os, kan du logge på her."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ugyldig værdi i mulighed for egenskab %s (%s), posten springes over…"
"Invalid attribute set specified, skipping the record","Ugyldigt sæt af egenskaber, posten springes over…"
"Invalid current password","Nuværende kodeord er ugyldigt"
"Invalid customer data","Ugyldig kundedata"
"Invalid email address","Ugyldig e-mailadresse"
"Invalid email address ""%s""","Ugyldig e-mail-adresse ""%s"""
"Invalid login or password.","Ugyldigt login eller password."
"Invalid option id specified for %s (%s), skipping the record","Ugyldigt muligheds-ID specificeret for %s (%s), posten springes over..."
"Invalid store specified, skipping the record","Ugyldig forretning specificeret, posten springes over…"
"Items Order","Ordreoversigter"
"Last 5 Orders","Sidste 5 ordrer"
"Last Activity","Sidste aktivitet"
"Last Name","Efternavn"
"Last Url","Sidste URL"
"Last Viewed Items","Seneste viste varer"
"Last date subscribed","Tilmeldt - sidste dato"
"Last date unsubscribed","Frameldt - sidste dato"
"Last name can't be empty","Efternavn må ikke stå tomt"
"Leave empty for default (15 minutes).","Udfyld ikke for standardværdi (15 minutter)."
"Leave empty for default (2). Valid range: 1-4","Udfyld ikke for standardværdi (2). Gyldigt interval: 1-4"
"Lifetime Sales","Samlet salg"
"Log In","Log ind"
"Log Out","Log af"
"Log in or Create an Account","Log ind eller opret en konto"
"Login","Log ind"
"Login Information","Log-ind information"
"Login and password are required","Log ind og password er påkrævet"
"Login or Create an Account","Log ind eller opret konto"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Rediger adresser"
"Manage Customers","Kunder"
"Missing email, skipping the record","Mangler e-mail, posten springes over..."
"Missing firstname, skipping the record","Mangler fornavn, posten springes over..."
"Missing lastname, skipping the record","Mangler efternavn, posten springes over..."
"Month","Måned"
"My Account","Min konto"
"My Account Dashboard","Min kontooversigt"
"My Dashboard","Min oversigt"
"My Orders","Mine ordrer"
"My Reviews","Mine bedømmelser"
"My Tags","Mine tags"
"My Wishlist","Min ønskeseddel"
"Name","Navn"
"Name and Address Options","Muligheder for navn og adresse"
"Never","Aldrig"
"New Address","Ny adresse"
"New Address Entry","Indtast ny adresse"
"New Customer","Ny kunde"
"New Customer Address","Ny kundeadresse"
"New Customer Group","Ny kundegruppe"
"New Customer Groups","Nye kundegrupper"
"New Customers","Nye kunder"
"New Group","Ny gruppe"
"New Password","Nyt kodeord"
"New account","Ny konto"
"New account confirmation key","Bekræftelsesnøgle for ny konto"
"New account confirmed","Ny konto bekræftet"
"New password","Nyt password"
"Newsletter","Nyhedsbrev"
"Newsletter Finish","Nyhedsbrev - slut"
"Newsletter Information","Nyhedsbrev - detaljer"
"Newsletter Received","Har modtaget nyhedsbrev"
"Newsletter Start","Nyhedsbrev - start"
"Newsletter Subscription","Abonnement på nyhedsbrev"
"Newsletters","Nyhedsbreve"
"No Items Found","Ingen emner fundet"
"No Newsletter Found","Ingen nyhedsbreve oprettet"
"No item specified.","Intet element angivet."
"No product collections found","Der blev ikke fundet nogen produkter."
"Not Sent","Ikke sendt"
"Not confirmed, can login","Ikke bekræftet, kan logge ind"
"Not confirmed, cannot login","Ikke bekræftet, kan ikke logge ind"
"Number of lines in a street address ","Antal linier i en adresse "
"Offline","Offline"
"Online","Online"
"Online Customers","Kunder online"
"Online Customers Options","Muligheder for online kunder"
"Online Minutes Interval","Interval for onlineminutter"
"Order #","Ordre #"
"Order #%s (%s)","Ordre #%s (%s)"
"Order List...","Ordreoversigt"
"Order Total","Ordretotal"
"Orders","Ordrer"
"PDF","PDF"
"Password","Kodeord"
"Password Management","Administrer kodeord"
"Password Options","Indstillinger for kodeord"
"Password can't be empty","Adgangskode må ikke stå tomt"
"Password fields can't be empty.","Adgangskodefelter må ikke være tomme."
"Password forgotten","Password glemt"
"Password minimal length must be more %s","Min-længde for password skal være mere %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Kodeord skal bestå af min. 6 tegn (mellemrum før og efter kodeordet fjernes automatisk)."
"Paused","Sat på pause"
"Payment Method","Betalingsform"
"Pending","Uafsluttet"
"Per Website","Pr. website"
"Personal Information","Personlig information"
"Please enter your email below and we'll send you a new password.","Skriv din e-mail-adresse nedenfor, så sender vi dig en ny adgangskode."
"Please enter your email below and we'll send you confirmation link for it.","Skriv din e-mail-adresse nedenfor, så sender vi dig et bekræftelseslink."
"Please enter your email.","Indtast venligst din email."
"Please make sure your passwords match.","Verificer venligst de indtastede kodeord er ens."
"Please select","Vælg venligst"
"Please select region, state or province","Vælg venligst region"
"Please, check your e-mail for confirmation key.","Check din e-mail for bekræftelsesnøgle."
"Prefix","Præfix"
"Prefix dropdown options","Præfix drop-down-muligheder"
"Price","Pris"
"Primary Billing Address","Primær betalingsadresse"
"Primary Shipping Address","Primær leveringsadresse"
"Problem saving the collection, aborting. Error: %s","Listen kunne ikke gemmes, afbryder. Fejl: %s"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Name","Produktnavn"
"Product Reviews","Produktbedømmelser"
"Product Tags","Produkt-tags"
"Product name","Produktnavn"
"Purchase On","Købt den"
"Purchased at","Købt i"
"Qty","Antal"
"Recent Orders","Seneste ordrer"
"Records for ""","Poster for """
"Refunded","Refunderet"
"Registered Customers","Registrerede kunder"
"Remove","Fjern"
"Require Emails Confirmation","Kræv bekræftelse på e-mails"
"Retrieve address data","Hent adressedata"
"Retrieve address info","Hent adresseinfo"
"Retrieve customer addresses","Hent kundeadresser"
"Retrieve customer data","Hent kundedata"
"Retrieve customer's groups","Hent kundens grupper"
"Retrieve customers","Hent kunder"
"Retrieve customers info","Hent kundeinfo"
"Retrieve your confirmation link here","Hent dit bekræftelseslink her"
"Retrieve your password here","Få dit kodeord tilsendt her"
"SKU","Varenummer"
"Sales Statistics","Salgsstatistik"
"Save","Gem"
"Save Address","Gem adresse"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Gem kunde"
"Save Customer Group","Gem kundegruppe"
"Save Password","Gem kodeord"
"Saved ","Gemt "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semikolon-separerede værdier (;).<br/>Start med semikolon for at lade den første mulighed være tom.<br/>Udfyld ikke for åbent tekstfelt."
"Send Welcome Email after Confirmation","Send velkomstmail efter bekræftelse"
"Send auto-generated password","Send automatisk genereret kodeord"
"Send confirmation link","Send bekræftelseslink"
"Send welcome email","Send velkomst-e-mail"
"Sending","Sender"
"Sent","Sendt"
"Session Start Time","Session start"
"Set as Default Billing Address","Sæt som primær betalingsadresse"
"Set as Default Shipping Address","Sæt som primær leveringsadresse"
"Share Customer Accounts","Del kundekonti"
"Ship to First name","Levering til fornavn"
"Ship to Last name","Levering til efternavn"
"Shipped to First Name","Leveret til fornavn"
"Shipped to Last Name","Efternavn (levering)"
"Shipped to Name","Sendt til navn"
"Shipping Information","Forsendelsesinformation"
"Shipping Method","Forsendelsesmetode"
"Shopping Cart","Indkøbskurv"
"Shopping Cart - %d item(s)","Indkøbskurv - %d vare(r)"
"Show Tax/VAT number","Vis momsnummer"
"Show date of birth","Vis fødselsdato"
"Show middle name (initial)","Vis mellemnavn"
"Show prefix","Vis præfix"
"Show suffix","Vis suffix"
"Sign Up for Newsletter","Ja tak, jeg ønsker at modtage nyhedsbrev"
"Sign up for our newsletter","Tilmeld dig vores nyhedsbrev"
"Skip import row, required field ""%s"" not defined","Springer over importrække, påkrævet felt ""%s"" er ikke defineret"
"Skip import row, website ""%s"" field not exists","Springer over importrække, websitefeltet ""%s"" eksisterer ikke"
"State/Province","Region"
"Status","Status"
"Store","Forretning"
"Store View","Forretningsvisning"
"Street Address","Gade/vej"
"Street Address ","Gade/vej "
"Subject","Overskrift"
"Submit","Gennemfør"
"Subscribe","Tilmeld"
"Subscribe to newsletter","Tilmeld nyhedsbrev"
"Subscribed to Newsletter?","Tilmeldt nyhedsbrev?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown-muligheder"
"TAX/VAT number is required.","Momsnummer kræves."
"Tag Name","Navn"
"Tax Class","Momsgruppe"
"Tax class","Momsgruppe"
"Tax/VAT number","Momsnummer"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Tekst én linie"
"Thank you for registering with %s","Velkommen! Vi takker for din konto oprettelse hos %s"
"The address does not belong to this customer","Adressen tilhører ikke denne kunde"
"The address was successfully deleted","Adressen blev slettet"
"The address was successfully saved","Adressseændringer blev gemt"
"The suffix that goes after name (Jr., Sr., etc.)","Suffix efter navnet (hr., fru etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Titel før navnet (hr., fru etc.)"
"There are no items in customer's wishlist at the moment","Der er ingen varer på kundens ønskeseddel i øjeblikket"
"There are no items in customer's shopping cart at the moment","Der er ingen varer i kundens indkøbskurv i øjeblikket"
"There was an error while deleting the address","Fejl - adressen kunne ikke slettes"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Denne e-mail sendes i stedet for velkomstmailen efter bekræftelse af konto."
"This account is not confirmed.","Denne konto er ikke bekræftet."
"This customer has no saved addresses.","Der er ingen adresser gemt for denne kunde."
"This e-mail does not require confirmation.","Denne e-mail kræver ikke bekræftelse."
"This email address was not found in our records","E-mailadressen findes ikke i systemet"
"This is My Primary %s Address","Dette er min primære <strong>%s </strong> adresse"
"To Cart","Gå til din indkøbskurv"
"Total","Total"
"Type","Type"
"Unknown","Ukendt"
"Unsubscribe from newsletter","Frameld nyhedsbrev"
"Update","Opdater"
"Update customer address data","Opdater adresseinfo for kunde"
"Update customer data","Opdater kundedata"
"Use as My Primary %s Address","Brug min primære <strong>%s</strong> adresse"
"Use as my default billing address","Brug min standard <strong>betalingsadresse</strong>"
